# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;خندېدلی مخ;خندېدلی مخ|مخ|مسکا|مسکېدلی مخ
🚣‍♀️;ښځه کښتۍ چلوي;ښځه|ښځه کښتۍ چلوي|کښتۍ|کښتۍ چلول
	🚣🏻‍♀️;ښځه کښتۍ چلوي: د روڼ پوستکي ټون;د روڼ پوستکي ټون|ښځه|ښځه کښتۍ چلوي|ښځه کښتۍ چلوي: د روڼ پوستکي ټون|کښتۍ|کښتۍ چلول
	🚣🏼‍♀️;ښځه کښتۍ چلوي: غنمی-روښانه پوستکۍ;ښځه|ښځه کښتۍ چلوي|ښځه کښتۍ چلوي: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|کښتۍ|کښتۍ چلول
	🚣🏽‍♀️;ښځه کښتۍ چلوي: غنم رنګه;ښځه|ښځه کښتۍ چلوي|ښځه کښتۍ چلوي: غنم رنګه|غنم رنګه|کښتۍ|کښتۍ چلول
	🚣🏾‍♀️;ښځه کښتۍ چلوي: غنمی-تورنګه پوستکۍ;ښځه|ښځه کښتۍ چلوي|ښځه کښتۍ چلوي: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|کښتۍ|کښتۍ چلول
	🚣🏿‍♀️;ښځه کښتۍ چلوي: تور پوستکۍ;تور پوستکۍ|ښځه|ښځه کښتۍ چلوي|ښځه کښتۍ چلوي: تور پوستکۍ|کښتۍ|کښتۍ چلول
🏊;شخص لامبو وهي;شخص لامبو وهي|لامبو
	🏊🏻;شخص لامبو وهي: د روڼ پوستکي ټون;د روڼ پوستکي ټون|شخص لامبو وهي|شخص لامبو وهي: د روڼ پوستکي ټون|لامبو
	🏊🏼;شخص لامبو وهي: غنمی-روښانه پوستکۍ;شخص لامبو وهي|شخص لامبو وهي: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|لامبو
	🏊🏽;شخص لامبو وهي: غنم رنګه;شخص لامبو وهي|شخص لامبو وهي: غنم رنګه|غنم رنګه|لامبو
	🏊🏾;شخص لامبو وهي: غنمی-تورنګه پوستکۍ;شخص لامبو وهي|شخص لامبو وهي: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|لامبو
	🏊🏿;شخص لامبو وهي: تور پوستکۍ;تور پوستکۍ|شخص لامبو وهي|شخص لامبو وهي: تور پوستکۍ|لامبو
🏊‍♂️;سړی لامبو وهي;سړی|سړی لامبو وهي|لامبو
	🏊🏻‍♂️;سړی لامبو وهي: د روڼ پوستکي ټون;د روڼ پوستکي ټون|سړی|سړی لامبو وهي|سړی لامبو وهي: د روڼ پوستکي ټون|لامبو
	🏊🏼‍♂️;سړی لامبو وهي: غنمی-روښانه پوستکۍ;سړی|سړی لامبو وهي|سړی لامبو وهي: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|لامبو
	🏊🏽‍♂️;سړی لامبو وهي: غنم رنګه;سړی|سړی لامبو وهي|سړی لامبو وهي: غنم رنګه|غنم رنګه|لامبو
	🏊🏾‍♂️;سړی لامبو وهي: غنمی-تورنګه پوستکۍ;سړی|سړی لامبو وهي|سړی لامبو وهي: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|لامبو
	🏊🏿‍♂️;سړی لامبو وهي: تور پوستکۍ;تور پوستکۍ|سړی|سړی لامبو وهي|سړی لامبو وهي: تور پوستکۍ|لامبو
🏊‍♀️;ښځه لامبو وهي;ښځه|ښځه لامبو وهي|لامبو
	🏊🏻‍♀️;ښځه لامبو وهي: د روڼ پوستکي ټون;د روڼ پوستکي ټون|ښځه|ښځه لامبو وهي|ښځه لامبو وهي: د روڼ پوستکي ټون|لامبو
	🏊🏼‍♀️;ښځه لامبو وهي: غنمی-روښانه پوستکۍ;ښځه|ښځه لامبو وهي|ښځه لامبو وهي: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|لامبو
	🏊🏽‍♀️;ښځه لامبو وهي: غنم رنګه;ښځه|ښځه لامبو وهي|ښځه لامبو وهي: غنم رنګه|غنم رنګه|لامبو
	🏊🏾‍♀️;ښځه لامبو وهي: غنمی-تورنګه پوستکۍ;ښځه|ښځه لامبو وهي|ښځه لامبو وهي: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|لامبو
	🏊🏿‍♀️;ښځه لامبو وهي: تور پوستکۍ;تور پوستکۍ|ښځه|ښځه لامبو وهي|ښځه لامبو وهي: تور پوستکۍ|لامبو
⛹️;شخص بال تمبوي;بال|شخص بال تمبوي
	⛹🏻;شخص بال تمبوي: د روڼ پوستکي ټون;بال|د روڼ پوستکي ټون|شخص بال تمبوي|شخص بال تمبوي: د روڼ پوستکي ټون
	⛹🏼;شخص بال تمبوي: غنمی-روښانه پوستکۍ;بال|شخص بال تمبوي|شخص بال تمبوي: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ
	⛹🏽;شخص بال تمبوي: غنم رنګه;بال|شخص بال تمبوي|شخص بال تمبوي: غنم رنګه|غنم رنګه
	⛹🏾;شخص بال تمبوي: غنمی-تورنګه پوستکۍ;بال|شخص بال تمبوي|شخص بال تمبوي: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ
	⛹🏿;شخص بال تمبوي: تور پوستکۍ;بال|تور پوستکۍ|شخص بال تمبوي|شخص بال تمبوي: تور پوستکۍ
⛹️‍♂️;سړی بال تمبوي;بال|سړی|سړی بال تمبوي
	⛹🏻‍♂️;سړی بال تمبوي: د روڼ پوستکي ټون;بال|د روڼ پوستکي ټون|سړی|سړی بال تمبوي|سړی بال تمبوي: د روڼ پوستکي ټون
	⛹🏼‍♂️;سړی بال تمبوي: غنمی-روښانه پوستکۍ;بال|سړی|سړی بال تمبوي|سړی بال تمبوي: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ
	⛹🏽‍♂️;سړی بال تمبوي: غنم رنګه;بال|سړی|سړی بال تمبوي|سړی بال تمبوي: غنم رنګه|غنم رنګه
	⛹🏾‍♂️;سړی بال تمبوي: غنمی-تورنګه پوستکۍ;بال|سړی|سړی بال تمبوي|سړی بال تمبوي: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ
	⛹🏿‍♂️;سړی بال تمبوي: تور پوستکۍ;بال|تور پوستکۍ|سړی|سړی بال تمبوي|سړی بال تمبوي: تور پوستکۍ
⛹️‍♀️;ښځه بال تمبوي;بال|ښځه|ښځه بال تمبوي
	⛹🏻‍♀️;ښځه بال تمبوي: د روڼ پوستکي ټون;بال|د روڼ پوستکي ټون|ښځه|ښځه بال تمبوي|ښځه بال تمبوي: د روڼ پوستکي ټون
	⛹🏼‍♀️;ښځه بال تمبوي: غنمی-روښانه پوستکۍ;بال|ښځه|ښځه بال تمبوي|ښځه بال تمبوي: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ
	⛹🏽‍♀️;ښځه بال تمبوي: غنم رنګه;بال|ښځه|ښځه بال تمبوي|ښځه بال تمبوي: غنم رنګه|غنم رنګه
	⛹🏾‍♀️;ښځه بال تمبوي: غنمی-تورنګه پوستکۍ;بال|ښځه|ښځه بال تمبوي|ښځه بال تمبوي: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ
	⛹🏿‍♀️;ښځه بال تمبوي: تور پوستکۍ;بال|تور پوستکۍ|ښځه|ښځه بال تمبوي|ښځه بال تمبوي: تور پوستکۍ
🏋️;شخص وزن پورته کوي;اوچتوونکی|شخص وزن پورته کوي|وزن
	🏋🏻;شخص وزن پورته کوي: د روڼ پوستکي ټون;اوچتوونکی|د روڼ پوستکي ټون|شخص وزن پورته کوي|شخص وزن پورته کوي: د روڼ پوستکي ټون|وزن
	🏋🏼;شخص وزن پورته کوي: غنمی-روښانه پوستکۍ;اوچتوونکی|شخص وزن پورته کوي|شخص وزن پورته کوي: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|وزن
	🏋🏽;شخص وزن پورته کوي: غنم رنګه;اوچتوونکی|شخص وزن پورته کوي|شخص وزن پورته کوي: غنم رنګه|غنم رنګه|وزن
	🏋🏾;شخص وزن پورته کوي: غنمی-تورنګه پوستکۍ;اوچتوونکی|شخص وزن پورته کوي|شخص وزن پورته کوي: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|وزن
	🏋🏿;شخص وزن پورته کوي: تور پوستکۍ;اوچتوونکی|تور پوستکۍ|شخص وزن پورته کوي|شخص وزن پورته کوي: تور پوستکۍ|وزن
🏋️‍♂️;سړی وزن پورته کوي;سړی|سړی وزن پورته کوي|وزن اوچتوونکی
	🏋🏻‍♂️;سړی وزن پورته کوي: د روڼ پوستکي ټون;د روڼ پوستکي ټون|سړی|سړی وزن پورته کوي|سړی وزن پورته کوي: د روڼ پوستکي ټون|وزن اوچتوونکی
	🏋🏼‍♂️;سړی وزن پورته کوي: غنمی-روښانه پوستکۍ;سړی|سړی وزن پورته کوي|سړی وزن پورته کوي: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|وزن اوچتوونکی
	🏋🏽‍♂️;سړی وزن پورته کوي: غنم رنګه;سړی|سړی وزن پورته کوي|سړی وزن پورته کوي: غنم رنګه|غنم رنګه|وزن اوچتوونکی
	🏋🏾‍♂️;سړی وزن پورته کوي: غنمی-تورنګه پوستکۍ;سړی|سړی وزن پورته کوي|سړی وزن پورته کوي: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|وزن اوچتوونکی
	🏋🏿‍♂️;سړی وزن پورته کوي: تور پوستکۍ;تور پوستکۍ|سړی|سړی وزن پورته کوي|سړی وزن پورته کوي: تور پوستکۍ|وزن اوچتوونکی
🏋️‍♀️;ښځه وزن پورته کوي;ښځه|ښځه وزن پورته کوي|وزن اوچتوونکی
	🏋🏻‍♀️;ښځه وزن پورته کوي: د روڼ پوستکي ټون;د روڼ پوستکي ټون|ښځه|ښځه وزن پورته کوي|ښځه وزن پورته کوي: د روڼ پوستکي ټون|وزن اوچتوونکی
	🏋🏼‍♀️;ښځه وزن پورته کوي: غنمی-روښانه پوستکۍ;ښځه|ښځه وزن پورته کوي|ښځه وزن پورته کوي: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|وزن اوچتوونکی
	🏋🏽‍♀️;ښځه وزن پورته کوي: غنم رنګه;ښځه|ښځه وزن پورته کوي|ښځه وزن پورته کوي: غنم رنګه|غنم رنګه|وزن اوچتوونکی
	🏋🏾‍♀️;ښځه وزن پورته کوي: غنمی-تورنګه پوستکۍ;ښځه|ښځه وزن پورته کوي|ښځه وزن پورته کوي: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|وزن اوچتوونکی
	🏋🏿‍♀️;ښځه وزن پورته کوي: تور پوستکۍ;تور پوستکۍ|ښځه|ښځه وزن پورته کوي|ښځه وزن پورته کوي: تور پوستکۍ|وزن اوچتوونکی
🚴;شخص بايک چلوي;بايسيکل|سايکل چلول|سيکل چلوونکی|شخص بايک چلوي
	🚴🏻;شخص بايک چلوي: د روڼ پوستکي ټون;بايسيکل|د روڼ پوستکي ټون|سايکل چلول|سيکل چلوونکی|شخص بايک چلوي|شخص بايک چلوي: د روڼ پوستکي ټون
	🚴🏼;شخص بايک چلوي: غنمی-روښانه پوستکۍ;بايسيکل|سايکل چلول|سيکل چلوونکی|شخص بايک چلوي|شخص بايک چلوي: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ
	🚴🏽;شخص بايک چلوي: غنم رنګه;بايسيکل|سايکل چلول|سيکل چلوونکی|شخص بايک چلوي|شخص بايک چلوي: غنم رنګه|غنم رنګه
	🚴🏾;شخص بايک چلوي: غنمی-تورنګه پوستکۍ;بايسيکل|سايکل چلول|سيکل چلوونکی|شخص بايک چلوي|شخص بايک چلوي: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ
	🚴🏿;شخص بايک چلوي: تور پوستکۍ;بايسيکل|تور پوستکۍ|سايکل چلول|سيکل چلوونکی|شخص بايک چلوي|شخص بايک چلوي: تور پوستکۍ
🚴‍♂️;سړی بايک چلوي;بايسيکل|سايکل چلول|سړی|سړی بايک چلوي|سيکل چلوونکی
	🚴🏻‍♂️;سړی بايک چلوي: د روڼ پوستکي ټون;بايسيکل|د روڼ پوستکي ټون|سايکل چلول|سړی|سړی بايک چلوي|سړی بايک چلوي: د روڼ پوستکي ټون|سيکل چلوونکی
	🚴🏼‍♂️;سړی بايک چلوي: غنمی-روښانه پوستکۍ;بايسيکل|سايکل چلول|سړی|سړی بايک چلوي|سړی بايک چلوي: غنمی-روښانه پوستکۍ|سيکل چلوونکی|غنمی-روښانه پوستکۍ
	🚴🏽‍♂️;سړی بايک چلوي: غنم رنګه;بايسيکل|سايکل چلول|سړی|سړی بايک چلوي|سړی بايک چلوي: غنم رنګه|سيکل چلوونکی|غنم رنګه
	🚴🏾‍♂️;سړی بايک چلوي: غنمی-تورنګه پوستکۍ;بايسيکل|سايکل چلول|سړی|سړی بايک چلوي|سړی بايک چلوي: غنمی-تورنګه پوستکۍ|سيکل چلوونکی|غنمی-تورنګه پوستکۍ
	🚴🏿‍♂️;سړی بايک چلوي: تور پوستکۍ;بايسيکل|تور پوستکۍ|سايکل چلول|سړی|سړی بايک چلوي|سړی بايک چلوي: تور پوستکۍ|سيکل چلوونکی
🚴‍♀️;ښځه بايک چلوي;بايسيکل|بايکنګ|سايکل چلوونکی|ښځه|ښځه بايک چلوي
	🚴🏻‍♀️;ښځه بايک چلوي: د روڼ پوستکي ټون;بايسيکل|بايکنګ|د روڼ پوستکي ټون|سايکل چلوونکی|ښځه|ښځه بايک چلوي|ښځه بايک چلوي: د روڼ پوستکي ټون
	🚴🏼‍♀️;ښځه بايک چلوي: غنمی-روښانه پوستکۍ;بايسيکل|بايکنګ|سايکل چلوونکی|ښځه|ښځه بايک چلوي|ښځه بايک چلوي: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ
	🚴🏽‍♀️;ښځه بايک چلوي: غنم رنګه;بايسيکل|بايکنګ|سايکل چلوونکی|ښځه|ښځه بايک چلوي|ښځه بايک چلوي: غنم رنګه|غنم رنګه
	🚴🏾‍♀️;ښځه بايک چلوي: غنمی-تورنګه پوستکۍ;بايسيکل|بايکنګ|سايکل چلوونکی|ښځه|ښځه بايک چلوي|ښځه بايک چلوي: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ
	🚴🏿‍♀️;ښځه بايک چلوي: تور پوستکۍ;بايسيکل|بايکنګ|تور پوستکۍ|سايکل چلوونکی|ښځه|ښځه بايک چلوي|ښځه بايک چلوي: تور پوستکۍ
🚵;شخص په غر بايک چلوي;بايسيکل|بايسيکل چلوونکی|سايکل چلوونکی|شخص په غر بايک چلوي|غر
	🚵🏻;شخص په غر بايک چلوي: د روڼ پوستکي ټون;بايسيکل|بايسيکل چلوونکی|د روڼ پوستکي ټون|سايکل چلوونکی|شخص په غر بايک چلوي|شخص په غر بايک چلوي: د روڼ پوستکي ټون|غر
	🚵🏼;شخص په غر بايک چلوي: غنمی-روښانه پوستکۍ;بايسيکل|بايسيکل چلوونکی|سايکل چلوونکی|شخص په غر بايک چلوي|شخص په غر بايک چلوي: غنمی-روښانه پوستکۍ|غر|غنمی-روښانه پوستکۍ
	🚵🏽;شخص په غر بايک چلوي: غنم رنګه;بايسيکل|بايسيکل چلوونکی|سايکل چلوونکی|شخص په غر بايک چلوي|شخص په غر بايک چلوي: غنم رنګه|غر|غنم رنګه
	🚵🏾;شخص په غر بايک چلوي: غنمی-تورنګه پوستکۍ;بايسيکل|بايسيکل چلوونکی|سايکل چلوونکی|شخص په غر بايک چلوي|شخص په غر بايک چلوي: غنمی-تورنګه پوستکۍ|غر|غنمی-تورنګه پوستکۍ
	🚵🏿;شخص په غر بايک چلوي: تور پوستکۍ;بايسيکل|بايسيکل چلوونکی|تور پوستکۍ|سايکل چلوونکی|شخص په غر بايک چلوي|شخص په غر بايک چلوي: تور پوستکۍ|غر
🚵‍♂️;سړی په غر بايک چلوي;بايسيکل|بايسيکل چلوونکی|سايکل چلوونکی|سړی په غر بايک چلوي|غر
	🚵🏻‍♂️;سړی په غر بايک چلوي: د روڼ پوستکي ټون;بايسيکل|بايسيکل چلوونکی|د روڼ پوستکي ټون|سايکل چلوونکی|سړی په غر بايک چلوي|سړی په غر بايک چلوي: د روڼ پوستکي ټون|غر
	🚵🏼‍♂️;سړی په غر بايک چلوي: غنمی-روښانه پوستکۍ;بايسيکل|بايسيکل چلوونکی|سايکل چلوونکی|سړی په غر بايک چلوي|سړی په غر بايک چلوي: غنمی-روښانه پوستکۍ|غر|غنمی-روښانه پوستکۍ
	🚵🏽‍♂️;سړی په غر بايک چلوي: غنم رنګه;بايسيکل|بايسيکل چلوونکی|سايکل چلوونکی|سړی په غر بايک چلوي|سړی په غر بايک چلوي: غنم رنګه|غر|غنم رنګه
	🚵🏾‍♂️;سړی په غر بايک چلوي: غنمی-تورنګه پوستکۍ;بايسيکل|بايسيکل چلوونکی|سايکل چلوونکی|سړی په غر بايک چلوي|سړی په غر بايک چلوي: غنمی-تورنګه پوستکۍ|غر|غنمی-تورنګه پوستکۍ
	🚵🏿‍♂️;سړی په غر بايک چلوي: تور پوستکۍ;بايسيکل|بايسيکل چلوونکی|تور پوستکۍ|سايکل چلوونکی|سړی په غر بايک چلوي|سړی په غر بايک چلوي: تور پوستکۍ|غر
