# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;nevető arc;arc|nevetés|nevető arc
	👩🏽‍🦼;nő motoros kerekesszékben: közepes bőrtónus;akadálymentesség|kerekesszék|közepes bőrtónus|nő|nő motoros kerekesszékben|nő motoros kerekesszékben: közepes bőrtónus
	👩🏾‍🦼;nő motoros kerekesszékben: közepesen sötét bőrtónus;akadálymentesség|kerekesszék|közepesen sötét bőrtónus|nő|nő motoros kerekesszékben|nő motoros kerekesszékben: közepesen sötét bőrtónus
	👩🏿‍🦼;nő motoros kerekesszékben: sötét bőrtónus;akadálymentesség|kerekesszék|nő|nő motoros kerekesszékben|nő motoros kerekesszékben: sötét bőrtónus|sötét bőrtónus
👩‍🦼‍➡️;jobbra néző nő motoros kerekesszékben;akadálymentesség|jobbra néző nő motoros kerekesszékben|kerekesszék|nő|nő motoros kerekesszékben
	👩🏻‍🦼‍➡️;jobbra néző nő motoros kerekesszékben;akadálymentesség|jobbra néző nő motoros kerekesszékben|kerekesszék|nő|nő motoros kerekesszékben
	👩🏼‍🦼‍➡️;jobbra néző nő motoros kerekesszékben;akadálymentesség|jobbra néző nő motoros kerekesszékben|kerekesszék|nő|nő motoros kerekesszékben
	👩🏽‍🦼‍➡️;jobbra néző nő motoros kerekesszékben;akadálymentesség|jobbra néző nő motoros kerekesszékben|kerekesszék|nő|nő motoros kerekesszékben
	👩🏾‍🦼‍➡️;jobbra néző nő motoros kerekesszékben;akadálymentesség|jobbra néző nő motoros kerekesszékben|kerekesszék|nő|nő motoros kerekesszékben
	👩🏿‍🦼‍➡️;jobbra néző nő motoros kerekesszékben;akadálymentesség|jobbra néző nő motoros kerekesszékben|kerekesszék|nő|nő motoros kerekesszékben
🧑‍🦽;kerekesszékes ember;akadálymentesség|kerekesszék|kerekesszékes ember
	🧑🏻‍🦽;kerekesszékes ember: világos bőrtónus;akadálymentesség|kerekesszék|kerekesszékes ember|kerekesszékes ember: világos bőrtónus|világos bőrtónus
	🧑🏼‍🦽;kerekesszékes ember: közepesen világos bőrtónus;akadálymentesség|kerekesszék|kerekesszékes ember|kerekesszékes ember: közepesen világos bőrtónus|közepesen világos bőrtónus
	🧑🏽‍🦽;kerekesszékes ember: közepes bőrtónus;akadálymentesség|kerekesszék|kerekesszékes ember|kerekesszékes ember: közepes bőrtónus|közepes bőrtónus
	🧑🏾‍🦽;kerekesszékes ember: közepesen sötét bőrtónus;akadálymentesség|kerekesszék|kerekesszékes ember|kerekesszékes ember: közepesen sötét bőrtónus|közepesen sötét bőrtónus
	🧑🏿‍🦽;kerekesszékes ember: sötét bőrtónus;akadálymentesség|kerekesszék|kerekesszékes ember|kerekesszékes ember: sötét bőrtónus|sötét bőrtónus
🧑‍🦽‍➡️;jobbra néző kerekesszékes ember;akadálymentesség|jobbra néző kerekesszékes ember|kerekesszék|kerekesszékes ember
	🧑🏻‍🦽‍➡️;jobbra néző kerekesszékes ember;akadálymentesség|jobbra néző kerekesszékes ember|kerekesszék|kerekesszékes ember
	🧑🏼‍🦽‍➡️;jobbra néző kerekesszékes ember;akadálymentesség|jobbra néző kerekesszékes ember|kerekesszék|kerekesszékes ember
	🧑🏽‍🦽‍➡️;jobbra néző kerekesszékes ember;akadálymentesség|jobbra néző kerekesszékes ember|kerekesszék|kerekesszékes ember
	🧑🏾‍🦽‍➡️;jobbra néző kerekesszékes ember;akadálymentesség|jobbra néző kerekesszékes ember|kerekesszék|kerekesszékes ember
	🧑🏿‍🦽‍➡️;jobbra néző kerekesszékes ember;akadálymentesség|jobbra néző kerekesszékes ember|kerekesszék|kerekesszékes ember
👨‍🦽;férfi kézi hajtású kerekesszékben;akadálymentesség|férfi|férfi kézi hajtású kerekesszékben|kerekesszék
	👨🏻‍🦽;férfi kézi hajtású kerekesszékben: világos bőrtónus;akadálymentesség|férfi|férfi kézi hajtású kerekesszékben|férfi kézi hajtású kerekesszékben: világos bőrtónus|kerekesszék|világos bőrtónus
	👨🏼‍🦽;férfi kézi hajtású kerekesszékben: közepesen világos bőrtónus;akadálymentesség|férfi|férfi kézi hajtású kerekesszékben|férfi kézi hajtású kerekesszékben: közepesen világos bőrtónus|kerekesszék|közepesen világos bőrtónus
	👨🏽‍🦽;férfi kézi hajtású kerekesszékben: közepes bőrtónus;akadálymentesség|férfi|férfi kézi hajtású kerekesszékben|férfi kézi hajtású kerekesszékben: közepes bőrtónus|kerekesszék|közepes bőrtónus
	👨🏾‍🦽;férfi kézi hajtású kerekesszékben: közepesen sötét bőrtónus;akadálymentesség|férfi|férfi kézi hajtású kerekesszékben|férfi kézi hajtású kerekesszékben: közepesen sötét bőrtónus|kerekesszék|közepesen sötét bőrtónus
	👨🏿‍🦽;férfi kézi hajtású kerekesszékben: sötét bőrtónus;akadálymentesség|férfi|férfi kézi hajtású kerekesszékben|férfi kézi hajtású kerekesszékben: sötét bőrtónus|kerekesszék|sötét bőrtónus
👨‍🦽‍➡️;jobbra néző férfi kézi hajtású kerekesszékben;akadálymentesség|férfi|férfi kézi hajtású kerekesszékben|jobbra néző férfi kézi hajtású kerekesszékben|kerekesszék
	👨🏻‍🦽‍➡️;jobbra néző férfi kézi hajtású kerekesszékben;akadálymentesség|férfi|férfi kézi hajtású kerekesszékben|jobbra néző férfi kézi hajtású kerekesszékben|kerekesszék
	👨🏼‍🦽‍➡️;jobbra néző férfi kézi hajtású kerekesszékben;akadálymentesség|férfi|férfi kézi hajtású kerekesszékben|jobbra néző férfi kézi hajtású kerekesszékben|kerekesszék
	👨🏽‍🦽‍➡️;jobbra néző férfi kézi hajtású kerekesszékben;akadálymentesség|férfi|férfi kézi hajtású kerekesszékben|jobbra néző férfi kézi hajtású kerekesszékben|kerekesszék
	👨🏾‍🦽‍➡️;jobbra néző férfi kézi hajtású kerekesszékben;akadálymentesség|férfi|férfi kézi hajtású kerekesszékben|jobbra néző férfi kézi hajtású kerekesszékben|kerekesszék
	👨🏿‍🦽‍➡️;jobbra néző férfi kézi hajtású kerekesszékben;akadálymentesség|férfi|férfi kézi hajtású kerekesszékben|jobbra néző férfi kézi hajtású kerekesszékben|kerekesszék
👩‍🦽;nő kézi hajtású kerekesszékben;akadálymentesség|kerekesszék|nő|nő kézi hajtású kerekesszékben
	👩🏻‍🦽;nő kézi hajtású kerekesszékben: világos bőrtónus;akadálymentesség|kerekesszék|nő|nő kézi hajtású kerekesszékben|nő kézi hajtású kerekesszékben: világos bőrtónus|világos bőrtónus
	👩🏼‍🦽;nő kézi hajtású kerekesszékben: közepesen világos bőrtónus;akadálymentesség|kerekesszék|közepesen világos bőrtónus|nő|nő kézi hajtású kerekesszékben|nő kézi hajtású kerekesszékben: közepesen világos bőrtónus
	👩🏽‍🦽;nő kézi hajtású kerekesszékben: közepes bőrtónus;akadálymentesség|kerekesszék|közepes bőrtónus|nő|nő kézi hajtású kerekesszékben|nő kézi hajtású kerekesszékben: közepes bőrtónus
	👩🏾‍🦽;nő kézi hajtású kerekesszékben: közepesen sötét bőrtónus;akadálymentesség|kerekesszék|közepesen sötét bőrtónus|nő|nő kézi hajtású kerekesszékben|nő kézi hajtású kerekesszékben: közepesen sötét bőrtónus
	👩🏿‍🦽;nő kézi hajtású kerekesszékben: sötét bőrtónus;akadálymentesség|kerekesszék|nő|nő kézi hajtású kerekesszékben|nő kézi hajtású kerekesszékben: sötét bőrtónus|sötét bőrtónus
👩‍🦽‍➡️;jobbra néző nő kézi hajtású kerekesszékben;akadálymentesség|jobbra néző nő kézi hajtású kerekesszékben|kerekesszék|nő|nő kézi hajtású kerekesszékben
	👩🏻‍🦽‍➡️;jobbra néző nő kézi hajtású kerekesszékben;akadálymentesség|jobbra néző nő kézi hajtású kerekesszékben|kerekesszék|nő|nő kézi hajtású kerekesszékben
	👩🏼‍🦽‍➡️;jobbra néző nő kézi hajtású kerekesszékben;akadálymentesség|jobbra néző nő kézi hajtású kerekesszékben|kerekesszék|nő|nő kézi hajtású kerekesszékben
	👩🏽‍🦽‍➡️;jobbra néző nő kézi hajtású kerekesszékben;akadálymentesség|jobbra néző nő kézi hajtású kerekesszékben|kerekesszék|nő|nő kézi hajtású kerekesszékben
	👩🏾‍🦽‍➡️;jobbra néző nő kézi hajtású kerekesszékben;akadálymentesség|jobbra néző nő kézi hajtású kerekesszékben|kerekesszék|nő|nő kézi hajtású kerekesszékben
	👩🏿‍🦽‍➡️;jobbra néző nő kézi hajtású kerekesszékben;akadálymentesség|jobbra néző nő kézi hajtású kerekesszékben|kerekesszék|nő|nő kézi hajtású kerekesszékben
🏃;futó;futás|futó|maraton
	🏃🏻;futó: világos bőrtónus;futás|futó|futó: világos bőrtónus|maraton|világos bőrtónus
	🏃🏼;futó: közepesen világos bőrtónus;futás|futó|futó: közepesen világos bőrtónus|közepesen világos bőrtónus|maraton
	🏃🏽;futó: közepes bőrtónus;futás|futó|futó: közepes bőrtónus|közepes bőrtónus|maraton
	🏃🏾;futó: közepesen sötét bőrtónus;futás|futó|futó: közepesen sötét bőrtónus|közepesen sötét bőrtónus|maraton
	🏃🏿;futó: sötét bőrtónus;futás|futó|futó: sötét bőrtónus|maraton|sötét bőrtónus
🏃‍♂️;futó férfi;férfi|fut|futás|futó férfi|maraton|verseny
	🏃🏻‍♂️;futó férfi: világos bőrtónus;férfi|fut|futás|futó férfi|futó férfi: világos bőrtónus|maraton|verseny|világos bőrtónus
	🏃🏼‍♂️;futó férfi: közepesen világos bőrtónus;férfi|fut|futás|futó férfi|futó férfi: közepesen világos bőrtónus|közepesen világos bőrtónus|maraton|verseny
	🏃🏽‍♂️;futó férfi: közepes bőrtónus;férfi|fut|futás|futó férfi|futó férfi: közepes bőrtónus|közepes bőrtónus|maraton|verseny
	🏃🏾‍♂️;futó férfi: közepesen sötét bőrtónus;férfi|fut|futás|futó férfi|futó férfi: közepesen sötét bőrtónus|közepesen sötét bőrtónus|maraton|verseny
	🏃🏿‍♂️;futó férfi: sötét bőrtónus;férfi|fut|futás|futó férfi|futó férfi: sötét bőrtónus|maraton|sötét bőrtónus|verseny
🏃‍♀️;futó nő;fut|futás|futó nő|maraton|nő|verseny
	🏃🏻‍♀️;futó nő: világos bőrtónus;fut|futás|futó nő|futó nő: világos bőrtónus|maraton|nő|verseny|világos bőrtónus
	🏃🏼‍♀️;futó nő: közepesen világos bőrtónus;fut|futás|futó nő|futó nő: közepesen világos bőrtónus|közepesen világos bőrtónus|maraton|nő|verseny
	🏃🏽‍♀️;futó nő: közepes bőrtónus;fut|futás|futó nő|futó nő: közepes bőrtónus|közepes bőrtónus|maraton|nő|verseny
	🏃🏾‍♀️;futó nő: közepesen sötét bőrtónus;fut|futás|futó nő|futó nő: közepesen sötét bőrtónus|közepesen sötét bőrtónus|maraton|nő|verseny
	🏃🏿‍♀️;futó nő: sötét bőrtónus;fut|futás|futó nő|futó nő: sötét bőrtónus|maraton|nő|sötét bőrtónus|verseny
🏃‍➡️;jobbra néző futó;futás|futó|jobbra néző futó|maraton
	🏃🏻‍➡️;jobbra néző futó;futás|futó|jobbra néző futó|maraton
	🏃🏼‍➡️;jobbra néző futó;futás|futó|jobbra néző futó|maraton
	🏃🏽‍➡️;jobbra néző futó;futás|futó|jobbra néző futó|maraton
	🏃🏾‍➡️;jobbra néző futó;futás|futó|jobbra néző futó|maraton
	🏃🏿‍➡️;jobbra néző futó;futás|futó|jobbra néző futó|maraton
🏃‍♀️‍➡️;jobbra néző futó nő;fut|futás|futó nő|jobbra néző futó nő|maraton|nő|verseny
	🏃🏻‍♀️‍➡️;jobbra néző futó nő;fut|futás|futó nő|jobbra néző futó nő|maraton|nő|verseny
	🏃🏼‍♀️‍➡️;jobbra néző futó nő;fut|futás|futó nő|jobbra néző futó nő|maraton|nő|verseny
	🏃🏽‍♀️‍➡️;jobbra néző futó nő;fut|futás|futó nő|jobbra néző futó nő|maraton|nő|verseny
	🏃🏾‍♀️‍➡️;jobbra néző futó nő;fut|futás|futó nő|jobbra néző futó nő|maraton|nő|verseny
	🏃🏿‍♀️‍➡️;jobbra néző futó nő;fut|futás|futó nő|jobbra néző futó nő|maraton|nő|verseny
🏃‍♂️‍➡️;jobbra néző futó férfi;férfi|fut|futás|futó férfi|jobbra néző futó férfi|maraton|verseny
	🏃🏻‍♂️‍➡️;jobbra néző futó férfi;férfi|fut|futás|futó férfi|jobbra néző futó férfi|maraton|verseny
	🏃🏼‍♂️‍➡️;jobbra néző futó férfi;férfi|fut|futás|futó férfi|jobbra néző futó férfi|maraton|verseny
	🏃🏽‍♂️‍➡️;jobbra néző futó férfi;férfi|fut|futás|futó férfi|jobbra néző futó férfi|maraton|verseny
	🏃🏾‍♂️‍➡️;jobbra néző futó férfi;férfi|fut|futás|futó férfi|jobbra néző futó férfi|maraton|verseny
	🏃🏿‍♂️‍➡️;jobbra néző futó férfi;férfi|fut|futás|futó férfi|jobbra néző futó férfi|maraton|verseny
💃;táncoló nő;nő|tánc|táncoló
	💃🏻;táncoló nő: világos bőrtónus;nő|tánc|táncoló|táncoló nő: világos bőrtónus|világos bőrtónus
	💃🏼;táncoló nő: közepesen világos bőrtónus;közepesen világos bőrtónus|nő|tánc|táncoló|táncoló nő: közepesen világos bőrtónus
	💃🏽;táncoló nő: közepes bőrtónus;közepes bőrtónus|nő|tánc|táncoló|táncoló nő: közepes bőrtónus
	💃🏾;táncoló nő: közepesen sötét bőrtónus;közepesen sötét bőrtónus|nő|tánc|táncoló|táncoló nő: közepesen sötét bőrtónus
	💃🏿;táncoló nő: sötét bőrtónus;nő|sötét bőrtónus|tánc|táncoló|táncoló nő: sötét bőrtónus
🕺;táncoló férfi;férfi|tánc|táncoló férfi
	🕺🏻;táncoló férfi: világos bőrtónus;férfi|tánc|táncoló férfi|táncoló férfi: világos bőrtónus|világos bőrtónus
	🕺🏼;táncoló férfi: közepesen világos bőrtónus;férfi|közepesen világos bőrtónus|tánc|táncoló férfi|táncoló férfi: közepesen világos bőrtónus
	🕺🏽;táncoló férfi: közepes bőrtónus;férfi|közepes bőrtónus|tánc|táncoló férfi|táncoló férfi: közepes bőrtónus
	🕺🏾;táncoló férfi: közepesen sötét bőrtónus;férfi|közepesen sötét bőrtónus|tánc|táncoló férfi|táncoló férfi: közepesen sötét bőrtónus
	🕺🏿;táncoló férfi: sötét bőrtónus;férfi|sötét bőrtónus|tánc|táncoló férfi|táncoló férfi: sötét bőrtónus
🕴️;öltönyös, lebegő ember;lebegő ember|öltöny|öltönyös|öltönyös, lebegő ember|üzletember
	🕴🏻;öltönyös, lebegő ember: világos bőrtónus;lebegő ember|öltöny|öltönyös|öltönyös, lebegő ember|öltönyös, lebegő ember: világos bőrtónus|üzletember|világos bőrtónus
	🕴🏼;öltönyös, lebegő ember: közepesen világos bőrtónus;közepesen világos bőrtónus|lebegő ember|öltöny|öltönyös|öltönyös, lebegő ember|öltönyös, lebegő ember: közepesen világos bőrtónus|üzletember
	🕴🏽;öltönyös, lebegő ember: közepes bőrtónus;közepes bőrtónus|lebegő ember|öltöny|öltönyös|öltönyös, lebegő ember|öltönyös, lebegő ember: közepes bőrtónus|üzletember
	🕴🏾;öltönyös, lebegő ember: közepesen sötét bőrtónus;közepesen sötét bőrtónus|lebegő ember|öltöny|öltönyös|öltönyös, lebegő ember|öltönyös, lebegő ember: közepesen sötét bőrtónus|üzletember
	🕴🏿;öltönyös, lebegő ember: sötét bőrtónus;lebegő ember|öltöny|öltönyös|öltönyös, lebegő ember|öltönyös, lebegő ember: sötét bőrtónus|sötét bőrtónus|üzletember
👯;bulizó emberek;buli|bulizó emberek|lányok|nő|nyuszi|nyuszifül|parti
👯‍♂️;bulizó férfiak;buil|bulizó férfiak|férfi|férfiak|nyuszifül|parti|táncos
👯‍♀️;bulizó nők;buil|bulizó nők|nő|nők|nyuszifül|parti|táncos
🧖;ember a gőzfürdőben;ember a gőzfürdőben|gőzfürdő|szauna
	🧖🏻;ember a gőzfürdőben: világos bőrtónus;ember a gőzfürdőben|ember a gőzfürdőben: világos bőrtónus|gőzfürdő|szauna|világos bőrtónus
	🧖🏼;ember a gőzfürdőben: közepesen világos bőrtónus;ember a gőzfürdőben|ember a gőzfürdőben: közepesen világos bőrtónus|gőzfürdő|közepesen világos bőrtónus|szauna
	🧖🏽;ember a gőzfürdőben: közepes bőrtónus;ember a gőzfürdőben|ember a gőzfürdőben: közepes bőrtónus|gőzfürdő|közepes bőrtónus|szauna
	🧖🏾;ember a gőzfürdőben: közepesen sötét bőrtónus;ember a gőzfürdőben|ember a gőzfürdőben: közepesen sötét bőrtónus|gőzfürdő|közepesen sötét bőrtónus|szauna
	🧖🏿;ember a gőzfürdőben: sötét bőrtónus;ember a gőzfürdőben|ember a gőzfürdőben: sötét bőrtónus|gőzfürdő|sötét bőrtónus|szauna
🧖‍♂️;férfi a gőzfürdőben;férfi a gőzfürdőben|gőzfürdő|szauna
	🧖🏻‍♂️;férfi a gőzfürdőben: világos bőrtónus;férfi a gőzfürdőben|férfi a gőzfürdőben: világos bőrtónus|gőzfürdő|szauna|világos bőrtónus
	🧖🏼‍♂️;férfi a gőzfürdőben: közepesen világos bőrtónus;férfi a gőzfürdőben|férfi a gőzfürdőben: közepesen világos bőrtónus|gőzfürdő|közepesen világos bőrtónus|szauna
	🧖🏽‍♂️;férfi a gőzfürdőben: közepes bőrtónus;férfi a gőzfürdőben|férfi a gőzfürdőben: közepes bőrtónus|gőzfürdő|közepes bőrtónus|szauna
