# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;کھل کے ہنستا چہرہ;چہرہ|کھل کے ہنستا چہرہ|کھلا|منہ|ہنسی
👨‍🦽‍➡️;دستی وہیل چئیر میں مرد دائیں طرف دیکھنے والا;دسترس|دستی وہیل چئیر میں مرد|دستی وہیل چئیر میں مرد دائیں طرف دیکھنے والا|مرد|وہیل چئیر
	👨🏻‍🦽‍➡️;دستی وہیل چئیر میں مرد دائیں طرف دیکھنے والا;دسترس|دستی وہیل چئیر میں مرد|دستی وہیل چئیر میں مرد دائیں طرف دیکھنے والا|مرد|وہیل چئیر
	👨🏼‍🦽‍➡️;دستی وہیل چئیر میں مرد دائیں طرف دیکھنے والا;دسترس|دستی وہیل چئیر میں مرد|دستی وہیل چئیر میں مرد دائیں طرف دیکھنے والا|مرد|وہیل چئیر
	👨🏽‍🦽‍➡️;دستی وہیل چئیر میں مرد دائیں طرف دیکھنے والا;دسترس|دستی وہیل چئیر میں مرد|دستی وہیل چئیر میں مرد دائیں طرف دیکھنے والا|مرد|وہیل چئیر
	👨🏾‍🦽‍➡️;دستی وہیل چئیر میں مرد دائیں طرف دیکھنے والا;دسترس|دستی وہیل چئیر میں مرد|دستی وہیل چئیر میں مرد دائیں طرف دیکھنے والا|مرد|وہیل چئیر
	👨🏿‍🦽‍➡️;دستی وہیل چئیر میں مرد دائیں طرف دیکھنے والا;دسترس|دستی وہیل چئیر میں مرد|دستی وہیل چئیر میں مرد دائیں طرف دیکھنے والا|مرد|وہیل چئیر
👩‍🦽;دستی وہیل چئیر میں عورت;دسترس|دستی وہیل چئیر میں عورت|عورت|وہیل چئیر
	👩🏻‍🦽;دستی وہیل چئیر میں عورت: جلد کی ہلکی رنگت;جلد کی ہلکی رنگت|دسترس|دستی وہیل چئیر میں عورت|دستی وہیل چئیر میں عورت: جلد کی ہلکی رنگت|عورت|وہیل چئیر
	👩🏼‍🦽;دستی وہیل چئیر میں عورت: جلد کی درمیانی -ہلکی رنگت;جلد کی درمیانی -ہلکی رنگت|دسترس|دستی وہیل چئیر میں عورت|دستی وہیل چئیر میں عورت: جلد کی درمیانی -ہلکی رنگت|عورت|وہیل چئیر
	👩🏽‍🦽;دستی وہیل چئیر میں عورت: جلد کی درمیانی رنگت;جلد کی درمیانی رنگت|دسترس|دستی وہیل چئیر میں عورت|دستی وہیل چئیر میں عورت: جلد کی درمیانی رنگت|عورت|وہیل چئیر
	👩🏾‍🦽;دستی وہیل چئیر میں عورت: جلد کی درمیانی سیاہ رنگت;جلد کی درمیانی سیاہ رنگت|دسترس|دستی وہیل چئیر میں عورت|دستی وہیل چئیر میں عورت: جلد کی درمیانی سیاہ رنگت|عورت|وہیل چئیر
	👩🏿‍🦽;دستی وہیل چئیر میں عورت: جلد کی سیاہ رنگت;جلد کی سیاہ رنگت|دسترس|دستی وہیل چئیر میں عورت|دستی وہیل چئیر میں عورت: جلد کی سیاہ رنگت|عورت|وہیل چئیر
👩‍🦽‍➡️;دستی وہیل چئیر میں عورت دائیں طرف دیکھنے والا;دسترس|دستی وہیل چئیر میں عورت|دستی وہیل چئیر میں عورت دائیں طرف دیکھنے والا|عورت|وہیل چئیر
	👩🏻‍🦽‍➡️;دستی وہیل چئیر میں عورت دائیں طرف دیکھنے والا;دسترس|دستی وہیل چئیر میں عورت|دستی وہیل چئیر میں عورت دائیں طرف دیکھنے والا|عورت|وہیل چئیر
	👩🏼‍🦽‍➡️;دستی وہیل چئیر میں عورت دائیں طرف دیکھنے والا;دسترس|دستی وہیل چئیر میں عورت|دستی وہیل چئیر میں عورت دائیں طرف دیکھنے والا|عورت|وہیل چئیر
	👩🏽‍🦽‍➡️;دستی وہیل چئیر میں عورت دائیں طرف دیکھنے والا;دسترس|دستی وہیل چئیر میں عورت|دستی وہیل چئیر میں عورت دائیں طرف دیکھنے والا|عورت|وہیل چئیر
	👩🏾‍🦽‍➡️;دستی وہیل چئیر میں عورت دائیں طرف دیکھنے والا;دسترس|دستی وہیل چئیر میں عورت|دستی وہیل چئیر میں عورت دائیں طرف دیکھنے والا|عورت|وہیل چئیر
	👩🏿‍🦽‍➡️;دستی وہیل چئیر میں عورت دائیں طرف دیکھنے والا;دسترس|دستی وہیل چئیر میں عورت|دستی وہیل چئیر میں عورت دائیں طرف دیکھنے والا|عورت|وہیل چئیر
🏃;دوڑتا ہوا شخص;دوڑتا ہوا شخص|دوڑنا|شخص
	🏃🏻;دوڑتا ہوا شخص: جلد کی ہلکی رنگت;جلد کی ہلکی رنگت|دوڑتا ہوا شخص|دوڑتا ہوا شخص: جلد کی ہلکی رنگت|دوڑنا|شخص
	🏃🏼;دوڑتا ہوا شخص: جلد کی درمیانی -ہلکی رنگت;جلد کی درمیانی -ہلکی رنگت|دوڑتا ہوا شخص|دوڑتا ہوا شخص: جلد کی درمیانی -ہلکی رنگت|دوڑنا|شخص
	🏃🏽;دوڑتا ہوا شخص: جلد کی درمیانی رنگت;جلد کی درمیانی رنگت|دوڑتا ہوا شخص|دوڑتا ہوا شخص: جلد کی درمیانی رنگت|دوڑنا|شخص
	🏃🏾;دوڑتا ہوا شخص: جلد کی درمیانی سیاہ رنگت;جلد کی درمیانی سیاہ رنگت|دوڑتا ہوا شخص|دوڑتا ہوا شخص: جلد کی درمیانی سیاہ رنگت|دوڑنا|شخص
	🏃🏿;دوڑتا ہوا شخص: جلد کی سیاہ رنگت;جلد کی سیاہ رنگت|دوڑتا ہوا شخص|دوڑتا ہوا شخص: جلد کی سیاہ رنگت|دوڑنا|شخص
🏃‍♂️;دوڑتا ہوا مرد;بھاگنا|تیز چلنا|دوڑتا ہوا مرد|دوڑنا|مرد
	🏃🏻‍♂️;دوڑتا ہوا مرد: جلد کی ہلکی رنگت;بھاگنا|تیز چلنا|جلد کی ہلکی رنگت|دوڑتا ہوا مرد|دوڑتا ہوا مرد: جلد کی ہلکی رنگت|دوڑنا|مرد
	🏃🏼‍♂️;دوڑتا ہوا مرد: جلد کی درمیانی -ہلکی رنگت;بھاگنا|تیز چلنا|جلد کی درمیانی -ہلکی رنگت|دوڑتا ہوا مرد|دوڑتا ہوا مرد: جلد کی درمیانی -ہلکی رنگت|دوڑنا|مرد
	🏃🏽‍♂️;دوڑتا ہوا مرد: جلد کی درمیانی رنگت;بھاگنا|تیز چلنا|جلد کی درمیانی رنگت|دوڑتا ہوا مرد|دوڑتا ہوا مرد: جلد کی درمیانی رنگت|دوڑنا|مرد
	🏃🏾‍♂️;دوڑتا ہوا مرد: جلد کی درمیانی سیاہ رنگت;بھاگنا|تیز چلنا|جلد کی درمیانی سیاہ رنگت|دوڑتا ہوا مرد|دوڑتا ہوا مرد: جلد کی درمیانی سیاہ رنگت|دوڑنا|مرد
	🏃🏿‍♂️;دوڑتا ہوا مرد: جلد کی سیاہ رنگت;بھاگنا|تیز چلنا|جلد کی سیاہ رنگت|دوڑتا ہوا مرد|دوڑتا ہوا مرد: جلد کی سیاہ رنگت|دوڑنا|مرد
🏃‍♀️;دوڑتی ہوئی عورت;بھاگنا|تیز چلنا|دوڑتی ہوئی عورت|دوڑنا|عورت
	🏃🏻‍♀️;دوڑتی ہوئی عورت: جلد کی ہلکی رنگت;بھاگنا|تیز چلنا|جلد کی ہلکی رنگت|دوڑتی ہوئی عورت|دوڑتی ہوئی عورت: جلد کی ہلکی رنگت|دوڑنا|عورت
	🏃🏼‍♀️;دوڑتی ہوئی عورت: جلد کی درمیانی -ہلکی رنگت;بھاگنا|تیز چلنا|جلد کی درمیانی -ہلکی رنگت|دوڑتی ہوئی عورت|دوڑتی ہوئی عورت: جلد کی درمیانی -ہلکی رنگت|دوڑنا|عورت
	🏃🏽‍♀️;دوڑتی ہوئی عورت: جلد کی درمیانی رنگت;بھاگنا|تیز چلنا|جلد کی درمیانی رنگت|دوڑتی ہوئی عورت|دوڑتی ہوئی عورت: جلد کی درمیانی رنگت|دوڑنا|عورت
	🏃🏾‍♀️;دوڑتی ہوئی عورت: جلد کی درمیانی سیاہ رنگت;بھاگنا|تیز چلنا|جلد کی درمیانی سیاہ رنگت|دوڑتی ہوئی عورت|دوڑتی ہوئی عورت: جلد کی درمیانی سیاہ رنگت|دوڑنا|عورت
	🏃🏿‍♀️;دوڑتی ہوئی عورت: جلد کی سیاہ رنگت;بھاگنا|تیز چلنا|جلد کی سیاہ رنگت|دوڑتی ہوئی عورت|دوڑتی ہوئی عورت: جلد کی سیاہ رنگت|دوڑنا|عورت
🏃‍➡️;دوڑتا ہوا شخص دائیں طرف دیکھنے والا;دوڑتا ہوا شخص|دوڑتا ہوا شخص دائیں طرف دیکھنے والا|دوڑنا|شخص
	🏃🏻‍➡️;دوڑتا ہوا شخص دائیں طرف دیکھنے والا;دوڑتا ہوا شخص|دوڑتا ہوا شخص دائیں طرف دیکھنے والا|دوڑنا|شخص
	🏃🏼‍➡️;دوڑتا ہوا شخص دائیں طرف دیکھنے والا;دوڑتا ہوا شخص|دوڑتا ہوا شخص دائیں طرف دیکھنے والا|دوڑنا|شخص
	🏃🏽‍➡️;دوڑتا ہوا شخص دائیں طرف دیکھنے والا;دوڑتا ہوا شخص|دوڑتا ہوا شخص دائیں طرف دیکھنے والا|دوڑنا|شخص
	🏃🏾‍➡️;دوڑتا ہوا شخص دائیں طرف دیکھنے والا;دوڑتا ہوا شخص|دوڑتا ہوا شخص دائیں طرف دیکھنے والا|دوڑنا|شخص
	🏃🏿‍➡️;دوڑتا ہوا شخص دائیں طرف دیکھنے والا;دوڑتا ہوا شخص|دوڑتا ہوا شخص دائیں طرف دیکھنے والا|دوڑنا|شخص
🏃‍♀️‍➡️;دوڑتی ہوئی عورت دائیں طرف دیکھنے والا;بھاگنا|تیز چلنا|دوڑتی ہوئی عورت|دوڑتی ہوئی عورت دائیں طرف دیکھنے والا|دوڑنا|عورت
	🏃🏻‍♀️‍➡️;دوڑتی ہوئی عورت دائیں طرف دیکھنے والا;بھاگنا|تیز چلنا|دوڑتی ہوئی عورت|دوڑتی ہوئی عورت دائیں طرف دیکھنے والا|دوڑنا|عورت
	🏃🏼‍♀️‍➡️;دوڑتی ہوئی عورت دائیں طرف دیکھنے والا;بھاگنا|تیز چلنا|دوڑتی ہوئی عورت|دوڑتی ہوئی عورت دائیں طرف دیکھنے والا|دوڑنا|عورت
	🏃🏽‍♀️‍➡️;دوڑتی ہوئی عورت دائیں طرف دیکھنے والا;بھاگنا|تیز چلنا|دوڑتی ہوئی عورت|دوڑتی ہوئی عورت دائیں طرف دیکھنے والا|دوڑنا|عورت
	🏃🏾‍♀️‍➡️;دوڑتی ہوئی عورت دائیں طرف دیکھنے والا;بھاگنا|تیز چلنا|دوڑتی ہوئی عورت|دوڑتی ہوئی عورت دائیں طرف دیکھنے والا|دوڑنا|عورت
	🏃🏿‍♀️‍➡️;دوڑتی ہوئی عورت دائیں طرف دیکھنے والا;بھاگنا|تیز چلنا|دوڑتی ہوئی عورت|دوڑتی ہوئی عورت دائیں طرف دیکھنے والا|دوڑنا|عورت
🏃‍♂️‍➡️;دوڑتا ہوا مرد دائیں طرف دیکھنے والا;بھاگنا|تیز چلنا|دوڑتا ہوا مرد|دوڑتا ہوا مرد دائیں طرف دیکھنے والا|دوڑنا|مرد
	🏃🏻‍♂️‍➡️;دوڑتا ہوا مرد دائیں طرف دیکھنے والا;بھاگنا|تیز چلنا|دوڑتا ہوا مرد|دوڑتا ہوا مرد دائیں طرف دیکھنے والا|دوڑنا|مرد
	🏃🏼‍♂️‍➡️;دوڑتا ہوا مرد دائیں طرف دیکھنے والا;بھاگنا|تیز چلنا|دوڑتا ہوا مرد|دوڑتا ہوا مرد دائیں طرف دیکھنے والا|دوڑنا|مرد
	🏃🏽‍♂️‍➡️;دوڑتا ہوا مرد دائیں طرف دیکھنے والا;بھاگنا|تیز چلنا|دوڑتا ہوا مرد|دوڑتا ہوا مرد دائیں طرف دیکھنے والا|دوڑنا|مرد
	🏃🏾‍♂️‍➡️;دوڑتا ہوا مرد دائیں طرف دیکھنے والا;بھاگنا|تیز چلنا|دوڑتا ہوا مرد|دوڑتا ہوا مرد دائیں طرف دیکھنے والا|دوڑنا|مرد
	🏃🏿‍♂️‍➡️;دوڑتا ہوا مرد دائیں طرف دیکھنے والا;بھاگنا|تیز چلنا|دوڑتا ہوا مرد|دوڑتا ہوا مرد دائیں طرف دیکھنے والا|دوڑنا|مرد
💃;ڈانسر;ڈانس|ڈانسر|لڑکی
	💃🏻;ڈانسر: جلد کی ہلکی رنگت;جلد کی ہلکی رنگت|ڈانس|ڈانسر|ڈانسر: جلد کی ہلکی رنگت|لڑکی
	💃🏼;ڈانسر: جلد کی درمیانی -ہلکی رنگت;جلد کی درمیانی -ہلکی رنگت|ڈانس|ڈانسر|ڈانسر: جلد کی درمیانی -ہلکی رنگت|لڑکی
	💃🏽;ڈانسر: جلد کی درمیانی رنگت;جلد کی درمیانی رنگت|ڈانس|ڈانسر|ڈانسر: جلد کی درمیانی رنگت|لڑکی
	💃🏾;ڈانسر: جلد کی درمیانی سیاہ رنگت;جلد کی درمیانی سیاہ رنگت|ڈانس|ڈانسر|ڈانسر: جلد کی درمیانی سیاہ رنگت|لڑکی
	💃🏿;ڈانسر: جلد کی سیاہ رنگت;جلد کی سیاہ رنگت|ڈانس|ڈانسر|ڈانسر: جلد کی سیاہ رنگت|لڑکی
🕺;ناچتا ہوا شخص;آدمی|ناچ|ناچتا ہوا شخص
	🕺🏻;ناچتا ہوا شخص: جلد کی ہلکی رنگت;آدمی|جلد کی ہلکی رنگت|ناچ|ناچتا ہوا شخص|ناچتا ہوا شخص: جلد کی ہلکی رنگت
	🕺🏼;ناچتا ہوا شخص: جلد کی درمیانی -ہلکی رنگت;آدمی|جلد کی درمیانی -ہلکی رنگت|ناچ|ناچتا ہوا شخص|ناچتا ہوا شخص: جلد کی درمیانی -ہلکی رنگت
	🕺🏽;ناچتا ہوا شخص: جلد کی درمیانی رنگت;آدمی|جلد کی درمیانی رنگت|ناچ|ناچتا ہوا شخص|ناچتا ہوا شخص: جلد کی درمیانی رنگت
