# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;рӯи хандон;рӯи хандон|рӯй|фарох табассум кардан
👯‍♂️;мардони бо гӯшҳои харгӯш хурсандӣ карда истода;гӯшҳои харгӯш|мардон|мардони бо гӯшҳои харгӯш хурсандӣ карда истода|раққос|хурсандӣ кардан
👯‍♀️;занони бо гӯшҳои харгӯш хурсандӣ карда истода;гӯшҳои харгӯш|занони бо гӯшҳои харгӯш хурсандӣ карда истода|занҳо|раққос|хурсандӣ кардан
🧖;шахсе дар ҳуҷраи буғ;сауна|ҳуҷраи буғ|шахсе дар ҳуҷраи буғ
	🧖🏻;шахсе дар ҳуҷраи буғ: ранги равшани пӯст;ранги равшани пӯст|сауна|ҳуҷраи буғ|шахсе дар ҳуҷраи буғ|шахсе дар ҳуҷраи буғ: ранги равшани пӯст
	🧖🏼;шахсе дар ҳуҷраи буғ: ранги равшании миёнаи пӯст;ранги равшании миёнаи пӯст|сауна|ҳуҷраи буғ|шахсе дар ҳуҷраи буғ|шахсе дар ҳуҷраи буғ: ранги равшании миёнаи пӯст
	🧖🏽;шахсе дар ҳуҷраи буғ: ранги миёнаи пӯст;ранги миёнаи пӯст|сауна|ҳуҷраи буғ|шахсе дар ҳуҷраи буғ|шахсе дар ҳуҷраи буғ: ранги миёнаи пӯст
	🧖🏾;шахсе дар ҳуҷраи буғ: ранги торики миёнаи пӯст;ранги торики миёнаи пӯст|сауна|ҳуҷраи буғ|шахсе дар ҳуҷраи буғ|шахсе дар ҳуҷраи буғ: ранги торики миёнаи пӯст
	🧖🏿;шахсе дар ҳуҷраи буғ: ранги торики пӯст;ранги торики пӯст|сауна|ҳуҷраи буғ|шахсе дар ҳуҷраи буғ|шахсе дар ҳуҷраи буғ: ранги торики пӯст
🧖‍♂️;марде дар ҳуҷраи буғ;марде дар ҳуҷраи буғ|сауна|ҳуҷраи буғ
	🧖🏻‍♂️;марде дар ҳуҷраи буғ: ранги равшани пӯст;марде дар ҳуҷраи буғ|марде дар ҳуҷраи буғ: ранги равшани пӯст|ранги равшани пӯст|сауна|ҳуҷраи буғ
	🧖🏼‍♂️;марде дар ҳуҷраи буғ: ранги равшании миёнаи пӯст;марде дар ҳуҷраи буғ|марде дар ҳуҷраи буғ: ранги равшании миёнаи пӯст|ранги равшании миёнаи пӯст|сауна|ҳуҷраи буғ
	🧖🏽‍♂️;марде дар ҳуҷраи буғ: ранги миёнаи пӯст;марде дар ҳуҷраи буғ|марде дар ҳуҷраи буғ: ранги миёнаи пӯст|ранги миёнаи пӯст|сауна|ҳуҷраи буғ
	🧖🏾‍♂️;марде дар ҳуҷраи буғ: ранги торики миёнаи пӯст;марде дар ҳуҷраи буғ|марде дар ҳуҷраи буғ: ранги торики миёнаи пӯст|ранги торики миёнаи пӯст|сауна|ҳуҷраи буғ
	🧖🏿‍♂️;марде дар ҳуҷраи буғ: ранги торики пӯст;марде дар ҳуҷраи буғ|марде дар ҳуҷраи буғ: ранги торики пӯст|ранги торики пӯст|сауна|ҳуҷраи буғ
🧖‍♀️;зане дар ҳуҷраи буғ;зане дар ҳуҷраи буғ|сауна|ҳуҷраи буғ
	🧖🏻‍♀️;зане дар ҳуҷраи буғ: ранги равшани пӯст;зане дар ҳуҷраи буғ|зане дар ҳуҷраи буғ: ранги равшани пӯст|ранги равшани пӯст|сауна|ҳуҷраи буғ
	🧖🏼‍♀️;зане дар ҳуҷраи буғ: ранги равшании миёнаи пӯст;зане дар ҳуҷраи буғ|зане дар ҳуҷраи буғ: ранги равшании миёнаи пӯст|ранги равшании миёнаи пӯст|сауна|ҳуҷраи буғ
	🧖🏽‍♀️;зане дар ҳуҷраи буғ: ранги миёнаи пӯст;зане дар ҳуҷраи буғ|зане дар ҳуҷраи буғ: ранги миёнаи пӯст|ранги миёнаи пӯст|сауна|ҳуҷраи буғ
	🧖🏾‍♀️;зане дар ҳуҷраи буғ: ранги торики миёнаи пӯст;зане дар ҳуҷраи буғ|зане дар ҳуҷраи буғ: ранги торики миёнаи пӯст|ранги торики миёнаи пӯст|сауна|ҳуҷраи буғ
	🧖🏿‍♀️;зане дар ҳуҷраи буғ: ранги торики пӯст;зане дар ҳуҷраи буғ|зане дар ҳуҷраи буғ: ранги торики пӯст|ранги торики пӯст|сауна|ҳуҷраи буғ
🧗;шахсе, ки баромада истодааст;ки баромада истодааст|кӯҳнавард|шахсе|шахсе, ки баромада истодааст
	🧗🏻;шахсе, ки баромада истодааст: ранги равшани пӯст;ки баромада истодааст|кӯҳнавард|ранги равшани пӯст|шахсе|шахсе, ки баромада истодааст|шахсе, ки баромада истодааст: ранги равшани пӯст
	🧗🏼;шахсе, ки баромада истодааст: ранги равшании миёнаи пӯст;ки баромада истодааст|кӯҳнавард|ранги равшании миёнаи пӯст|шахсе|шахсе, ки баромада истодааст|шахсе, ки баромада истодааст: ранги равшании миёнаи пӯст
	🧗🏽;шахсе, ки баромада истодааст: ранги миёнаи пӯст;ки баромада истодааст|кӯҳнавард|ранги миёнаи пӯст|шахсе|шахсе, ки баромада истодааст|шахсе, ки баромада истодааст: ранги миёнаи пӯст
	🧗🏾;шахсе, ки баромада истодааст: ранги торики миёнаи пӯст;ки баромада истодааст|кӯҳнавард|ранги торики миёнаи пӯст|шахсе|шахсе, ки баромада истодааст|шахсе, ки баромада истодааст: ранги торики миёнаи пӯст
	🧗🏿;шахсе, ки баромада истодааст: ранги торики пӯст;ки баромада истодааст|кӯҳнавард|ранги торики пӯст|шахсе|шахсе, ки баромада истодааст|шахсе, ки баромада истодааст: ранги торики пӯст
🧗‍♂️;марде, ки баромада истодааст;ки баромада истодааст|кӯҳнавард|марде|марде, ки баромада истодааст
	🧗🏻‍♂️;марде, ки баромада истодааст: ранги равшани пӯст;ки баромада истодааст|кӯҳнавард|марде|марде, ки баромада истодааст|марде, ки баромада истодааст: ранги равшани пӯст|ранги равшани пӯст
