# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;وجه بابتسامة عريضة;ابتسام|ضحك|وجه بابتسامة عريضة|وجه مبتسم
	👨🏽‍🦽;رجل على كرسي متحرك يدوي: بشرة بلون معتدل;إمكانية الوصول|احتياجات خاصة|بشرة بلون معتدل|رجل|رجل على كرسي متحرك يدوي|رجل على كرسي متحرك يدوي: بشرة بلون معتدل|كرسي متحرك
	👨🏾‍🦽;رجل على كرسي متحرك يدوي: بشرة بلون معتدل مائل للغامق;إمكانية الوصول|احتياجات خاصة|بشرة بلون معتدل مائل للغامق|رجل|رجل على كرسي متحرك يدوي|رجل على كرسي متحرك يدوي: بشرة بلون معتدل مائل للغامق|كرسي متحرك
	👨🏿‍🦽;رجل على كرسي متحرك يدوي: بشرة بلون غامق;إمكانية الوصول|احتياجات خاصة|بشرة بلون غامق|رجل|رجل على كرسي متحرك يدوي|رجل على كرسي متحرك يدوي: بشرة بلون غامق|كرسي متحرك
👨‍🦽‍➡️;رجل على كرسي متحرك يدوي متجه لليمين;إمكانية الوصول|احتياجات خاصة|رجل|رجل على كرسي متحرك يدوي|رجل على كرسي متحرك يدوي متجه لليمين|كرسي متحرك
	👨🏻‍🦽‍➡️;رجل على كرسي متحرك يدوي متجه لليمين;إمكانية الوصول|احتياجات خاصة|رجل|رجل على كرسي متحرك يدوي|رجل على كرسي متحرك يدوي متجه لليمين|كرسي متحرك
	👨🏼‍🦽‍➡️;رجل على كرسي متحرك يدوي متجه لليمين;إمكانية الوصول|احتياجات خاصة|رجل|رجل على كرسي متحرك يدوي|رجل على كرسي متحرك يدوي متجه لليمين|كرسي متحرك
	👨🏽‍🦽‍➡️;رجل على كرسي متحرك يدوي متجه لليمين;إمكانية الوصول|احتياجات خاصة|رجل|رجل على كرسي متحرك يدوي|رجل على كرسي متحرك يدوي متجه لليمين|كرسي متحرك
	👨🏾‍🦽‍➡️;رجل على كرسي متحرك يدوي متجه لليمين;إمكانية الوصول|احتياجات خاصة|رجل|رجل على كرسي متحرك يدوي|رجل على كرسي متحرك يدوي متجه لليمين|كرسي متحرك
	👨🏿‍🦽‍➡️;رجل على كرسي متحرك يدوي متجه لليمين;إمكانية الوصول|احتياجات خاصة|رجل|رجل على كرسي متحرك يدوي|رجل على كرسي متحرك يدوي متجه لليمين|كرسي متحرك
👩‍🦽;سيدة على كرسي متحرك يدوي;إمكانية الوصول|احتياجات خاصة|سيدة|سيدة على كرسي متحرك يدوي|كرسي متحرك
	👩🏻‍🦽;سيدة على كرسي متحرك يدوي: بشرة بلون فاتح;إمكانية الوصول|احتياجات خاصة|بشرة بلون فاتح|سيدة|سيدة على كرسي متحرك يدوي|سيدة على كرسي متحرك يدوي: بشرة بلون فاتح|كرسي متحرك
	👩🏼‍🦽;سيدة على كرسي متحرك يدوي: بشرة بلون فاتح ومعتدل;إمكانية الوصول|احتياجات خاصة|بشرة بلون فاتح ومعتدل|سيدة|سيدة على كرسي متحرك يدوي|سيدة على كرسي متحرك يدوي: بشرة بلون فاتح ومعتدل|كرسي متحرك
	👩🏽‍🦽;سيدة على كرسي متحرك يدوي: بشرة بلون معتدل;إمكانية الوصول|احتياجات خاصة|بشرة بلون معتدل|سيدة|سيدة على كرسي متحرك يدوي|سيدة على كرسي متحرك يدوي: بشرة بلون معتدل|كرسي متحرك
	👩🏾‍🦽;سيدة على كرسي متحرك يدوي: بشرة بلون معتدل مائل للغامق;إمكانية الوصول|احتياجات خاصة|بشرة بلون معتدل مائل للغامق|سيدة|سيدة على كرسي متحرك يدوي|سيدة على كرسي متحرك يدوي: بشرة بلون معتدل مائل للغامق|كرسي متحرك
	👩🏿‍🦽;سيدة على كرسي متحرك يدوي: بشرة بلون غامق;إمكانية الوصول|احتياجات خاصة|بشرة بلون غامق|سيدة|سيدة على كرسي متحرك يدوي|سيدة على كرسي متحرك يدوي: بشرة بلون غامق|كرسي متحرك
👩‍🦽‍➡️;سيدة على كرسي متحرك يدوي متجه لليمين;إمكانية الوصول|احتياجات خاصة|سيدة|سيدة على كرسي متحرك يدوي|سيدة على كرسي متحرك يدوي متجه لليمين|كرسي متحرك
	👩🏻‍🦽‍➡️;سيدة على كرسي متحرك يدوي متجه لليمين;إمكانية الوصول|احتياجات خاصة|سيدة|سيدة على كرسي متحرك يدوي|سيدة على كرسي متحرك يدوي متجه لليمين|كرسي متحرك
	👩🏼‍🦽‍➡️;سيدة على كرسي متحرك يدوي متجه لليمين;إمكانية الوصول|احتياجات خاصة|سيدة|سيدة على كرسي متحرك يدوي|سيدة على كرسي متحرك يدوي متجه لليمين|كرسي متحرك
	👩🏽‍🦽‍➡️;سيدة على كرسي متحرك يدوي متجه لليمين;إمكانية الوصول|احتياجات خاصة|سيدة|سيدة على كرسي متحرك يدوي|سيدة على كرسي متحرك يدوي متجه لليمين|كرسي متحرك
	👩🏾‍🦽‍➡️;سيدة على كرسي متحرك يدوي متجه لليمين;إمكانية الوصول|احتياجات خاصة|سيدة|سيدة على كرسي متحرك يدوي|سيدة على كرسي متحرك يدوي متجه لليمين|كرسي متحرك
	👩🏿‍🦽‍➡️;سيدة على كرسي متحرك يدوي متجه لليمين;إمكانية الوصول|احتياجات خاصة|سيدة|سيدة على كرسي متحرك يدوي|سيدة على كرسي متحرك يدوي متجه لليمين|كرسي متحرك
🏃;شخص يجري;رياضة|شخص يجري|ماراثون
	🏃🏻;شخص يجري: بشرة بلون فاتح;بشرة بلون فاتح|رياضة|شخص يجري|شخص يجري: بشرة بلون فاتح|ماراثون
	🏃🏼;شخص يجري: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|رياضة|شخص يجري|شخص يجري: بشرة بلون فاتح ومعتدل|ماراثون
	🏃🏽;شخص يجري: بشرة بلون معتدل;بشرة بلون معتدل|رياضة|شخص يجري|شخص يجري: بشرة بلون معتدل|ماراثون
	🏃🏾;شخص يجري: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|رياضة|شخص يجري|شخص يجري: بشرة بلون معتدل مائل للغامق|ماراثون
	🏃🏿;شخص يجري: بشرة بلون غامق;بشرة بلون غامق|رياضة|شخص يجري|شخص يجري: بشرة بلون غامق|ماراثون
🏃‍♂️;راكض;راكض|يجري|يركض|يعدو
	🏃🏻‍♂️;راكض: بشرة بلون فاتح;بشرة بلون فاتح|راكض|راكض: بشرة بلون فاتح|يجري|يركض|يعدو
	🏃🏼‍♂️;راكض: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|راكض|راكض: بشرة بلون فاتح ومعتدل|يجري|يركض|يعدو
	🏃🏽‍♂️;راكض: بشرة بلون معتدل;بشرة بلون معتدل|راكض|راكض: بشرة بلون معتدل|يجري|يركض|يعدو
	🏃🏾‍♂️;راكض: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|راكض|راكض: بشرة بلون معتدل مائل للغامق|يجري|يركض|يعدو
	🏃🏿‍♂️;راكض: بشرة بلون غامق;بشرة بلون غامق|راكض|راكض: بشرة بلون غامق|يجري|يركض|يعدو
🏃‍♀️;راكضة;تجري|تركض|تعدو|راكضة
	🏃🏻‍♀️;راكضة: بشرة بلون فاتح;بشرة بلون فاتح|تجري|تركض|تعدو|راكضة|راكضة: بشرة بلون فاتح
	🏃🏼‍♀️;راكضة: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|تجري|تركض|تعدو|راكضة|راكضة: بشرة بلون فاتح ومعتدل
	🏃🏽‍♀️;راكضة: بشرة بلون معتدل;بشرة بلون معتدل|تجري|تركض|تعدو|راكضة|راكضة: بشرة بلون معتدل
	🏃🏾‍♀️;راكضة: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|تجري|تركض|تعدو|راكضة|راكضة: بشرة بلون معتدل مائل للغامق
	🏃🏿‍♀️;راكضة: بشرة بلون غامق;بشرة بلون غامق|تجري|تركض|تعدو|راكضة|راكضة: بشرة بلون غامق
🏃‍➡️;شخص يجري متجه لليمين;رياضة|شخص يجري|شخص يجري متجه لليمين|ماراثون
	🏃🏻‍➡️;شخص يجري متجه لليمين;رياضة|شخص يجري|شخص يجري متجه لليمين|ماراثون
	🏃🏼‍➡️;شخص يجري متجه لليمين;رياضة|شخص يجري|شخص يجري متجه لليمين|ماراثون
	🏃🏽‍➡️;شخص يجري متجه لليمين;رياضة|شخص يجري|شخص يجري متجه لليمين|ماراثون
	🏃🏾‍➡️;شخص يجري متجه لليمين;رياضة|شخص يجري|شخص يجري متجه لليمين|ماراثون
	🏃🏿‍➡️;شخص يجري متجه لليمين;رياضة|شخص يجري|شخص يجري متجه لليمين|ماراثون
🏃‍♀️‍➡️;راكضة متجه لليمين;تجري|تركض|تعدو|راكضة|راكضة متجه لليمين
	🏃🏻‍♀️‍➡️;راكضة متجه لليمين;تجري|تركض|تعدو|راكضة|راكضة متجه لليمين
	🏃🏼‍♀️‍➡️;راكضة متجه لليمين;تجري|تركض|تعدو|راكضة|راكضة متجه لليمين
	🏃🏽‍♀️‍➡️;راكضة متجه لليمين;تجري|تركض|تعدو|راكضة|راكضة متجه لليمين
	🏃🏾‍♀️‍➡️;راكضة متجه لليمين;تجري|تركض|تعدو|راكضة|راكضة متجه لليمين
	🏃🏿‍♀️‍➡️;راكضة متجه لليمين;تجري|تركض|تعدو|راكضة|راكضة متجه لليمين
🏃‍♂️‍➡️;راكض متجه لليمين;راكض|راكض متجه لليمين|يجري|يركض|يعدو
	🏃🏻‍♂️‍➡️;راكض متجه لليمين;راكض|راكض متجه لليمين|يجري|يركض|يعدو
	🏃🏼‍♂️‍➡️;راكض متجه لليمين;راكض|راكض متجه لليمين|يجري|يركض|يعدو
	🏃🏽‍♂️‍➡️;راكض متجه لليمين;راكض|راكض متجه لليمين|يجري|يركض|يعدو
	🏃🏾‍♂️‍➡️;راكض متجه لليمين;راكض|راكض متجه لليمين|يجري|يركض|يعدو
	🏃🏿‍♂️‍➡️;راكض متجه لليمين;راكض|راكض متجه لليمين|يجري|يركض|يعدو
💃;راقصة;أشخاص|راقصة|رقص
	💃🏻;راقصة: بشرة بلون فاتح;أشخاص|بشرة بلون فاتح|راقصة|راقصة: بشرة بلون فاتح|رقص
	💃🏼;راقصة: بشرة بلون فاتح ومعتدل;أشخاص|بشرة بلون فاتح ومعتدل|راقصة|راقصة: بشرة بلون فاتح ومعتدل|رقص
	💃🏽;راقصة: بشرة بلون معتدل;أشخاص|بشرة بلون معتدل|راقصة|راقصة: بشرة بلون معتدل|رقص
	💃🏾;راقصة: بشرة بلون معتدل مائل للغامق;أشخاص|بشرة بلون معتدل مائل للغامق|راقصة|راقصة: بشرة بلون معتدل مائل للغامق|رقص
