[smileys_emotion]
😀;ಹಾಸ್ಯದ ಮುಖ;ಮುಖ|ಹಾಸ್ಯ|ಹಾಸ್ಯದ ಮುಖ
	🧑🏼‍🍼;ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಆರೈಕೆ|ಮಗು|ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ|ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ವ್ಯಕ್ತಿ|ಹಾಲೂಡಿಸುವುದು
	🧑🏽‍🍼;ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಆರೈಕೆ|ಮಗು|ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ|ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ವ್ಯಕ್ತಿ|ಹಾಲೂಡಿಸುವುದು
	🧑🏾‍🍼;ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಆರೈಕೆ|ಮಗು|ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ|ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ವ್ಯಕ್ತಿ|ಹಾಲೂಡಿಸುವುದು
	🧑🏿‍🍼;ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಆರೈಕೆ|ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮಗು|ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ|ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ವ್ಯಕ್ತಿ|ಹಾಲೂಡಿಸುವುದು
👼;ಶಿಶು ದೇವತೆ;ದೇವತೆ|ಶಿಶು ದೇವತೆ
	👼🏻;ಶಿಶು ದೇವತೆ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ದೇವತೆ|ಶಿಶು ದೇವತೆ|ಶಿಶು ದೇವತೆ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	👼🏼;ಶಿಶು ದೇವತೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ದೇವತೆ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಶಿಶು ದೇವತೆ|ಶಿಶು ದೇವತೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	👼🏽;ಶಿಶು ದೇವತೆ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ದೇವತೆ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಶಿಶು ದೇವತೆ|ಶಿಶು ದೇವತೆ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
	👼🏾;ಶಿಶು ದೇವತೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ದೇವತೆ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಶಿಶು ದೇವತೆ|ಶಿಶು ದೇವತೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
	👼🏿;ಶಿಶು ದೇವತೆ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ದೇವತೆ|ಶಿಶು ದೇವತೆ|ಶಿಶು ದೇವತೆ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🎅;ಸಾಂತಾ ಕ್ಲಾಜ್;ಆಚರಣೆ|ಕ್ರಿಸ್ಮಸ್|ಕ್ಲಾಸ್|ತಂದೆ|ಸಂತಾ|ಸಾಂಟಾ ಕ್ಲಾಸ್|ಸಾಂತಾ ಕ್ಲಾಜ್
	🎅🏻;ಸಾಂತಾ ಕ್ಲಾಜ್: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಆಚರಣೆ|ಕ್ರಿಸ್ಮಸ್|ಕ್ಲಾಸ್|ತಂದೆ|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಸಂತಾ|ಸಾಂಟಾ ಕ್ಲಾಸ್|ಸಾಂತಾ ಕ್ಲಾಜ್|ಸಾಂತಾ ಕ್ಲಾಜ್: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	🎅🏼;ಸಾಂತಾ ಕ್ಲಾಜ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಆಚರಣೆ|ಕ್ರಿಸ್ಮಸ್|ಕ್ಲಾಸ್|ತಂದೆ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಸಂತಾ|ಸಾಂಟಾ ಕ್ಲಾಸ್|ಸಾಂತಾ ಕ್ಲಾಜ್|ಸಾಂತಾ ಕ್ಲಾಜ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	🎅🏽;ಸಾಂತಾ ಕ್ಲಾಜ್: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಆಚರಣೆ|ಕ್ರಿಸ್ಮಸ್|ಕ್ಲಾಸ್|ತಂದೆ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಸಂತಾ|ಸಾಂಟಾ ಕ್ಲಾಸ್|ಸಾಂತಾ ಕ್ಲಾಜ್|ಸಾಂತಾ ಕ್ಲಾಜ್: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
	🎅🏾;ಸಾಂತಾ ಕ್ಲಾಜ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಆಚರಣೆ|ಕ್ರಿಸ್ಮಸ್|ಕ್ಲಾಸ್|ತಂದೆ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಸಂತಾ|ಸಾಂಟಾ ಕ್ಲಾಸ್|ಸಾಂತಾ ಕ್ಲಾಜ್|ಸಾಂತಾ ಕ್ಲಾಜ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
	🎅🏿;ಸಾಂತಾ ಕ್ಲಾಜ್: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಆಚರಣೆ|ಕ್ರಿಸ್ಮಸ್|ಕ್ಲಾಸ್|ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ತಂದೆ|ಸಂತಾ|ಸಾಂಟಾ ಕ್ಲಾಸ್|ಸಾಂತಾ ಕ್ಲಾಜ್|ಸಾಂತಾ ಕ್ಲಾಜ್: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🤶;ಕ್ರಿಸ್‌ಮಸ್ ತಾಯಿ;ಕ್ರಿಸ್‌ಮಸ್|ತಾಯಿ|ಮಿ. ಕ್ಲಾಸ್
	🤶🏻;ಕ್ರಿಸ್‌ಮಸ್ ತಾಯಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಕ್ರಿಸ್‌ಮಸ್|ಕ್ರಿಸ್‌ಮಸ್ ತಾಯಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ತಾಯಿ|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಿ. ಕ್ಲಾಸ್
	🤶🏼;ಕ್ರಿಸ್‌ಮಸ್ ತಾಯಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಕ್ರಿಸ್‌ಮಸ್|ಕ್ರಿಸ್‌ಮಸ್ ತಾಯಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ತಾಯಿ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಿ. ಕ್ಲಾಸ್
	🤶🏽;ಕ್ರಿಸ್‌ಮಸ್ ತಾಯಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಕ್ರಿಸ್‌ಮಸ್|ಕ್ರಿಸ್‌ಮಸ್ ತಾಯಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ತಾಯಿ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಮಿ. ಕ್ಲಾಸ್
	🤶🏾;ಕ್ರಿಸ್‌ಮಸ್ ತಾಯಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಕ್ರಿಸ್‌ಮಸ್|ಕ್ರಿಸ್‌ಮಸ್ ತಾಯಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ತಾಯಿ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮಿ. ಕ್ಲಾಸ್
	🤶🏿;ಕ್ರಿಸ್‌ಮಸ್ ತಾಯಿ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಕ್ರಿಸ್‌ಮಸ್|ಕ್ರಿಸ್‌ಮಸ್ ತಾಯಿ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ತಾಯಿ|ಮಿ. ಕ್ಲಾಸ್
🧑‍🎄;ಎಂಎಕ್ಸ್‌ ಕ್ಲಾಸ್‌;ಎಂಎಕ್ಸ್‌ ಕ್ಲಾಸ್‌|ಕ್ರಿಸ್‌ಮಸ್‌|ಕ್ಲಾಸ್
	🧑🏻‍🎄;ಎಂಎಕ್ಸ್‌ ಕ್ಲಾಸ್‌: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಎಂಎಕ್ಸ್‌ ಕ್ಲಾಸ್‌|ಎಂಎಕ್ಸ್‌ ಕ್ಲಾಸ್‌: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಕ್ರಿಸ್‌ಮಸ್‌|ಕ್ಲಾಸ್|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	🧑🏼‍🎄;ಎಂಎಕ್ಸ್‌ ಕ್ಲಾಸ್‌: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಎಂಎಕ್ಸ್‌ ಕ್ಲಾಸ್‌|ಎಂಎಕ್ಸ್‌ ಕ್ಲಾಸ್‌: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಕ್ರಿಸ್‌ಮಸ್‌|ಕ್ಲಾಸ್|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	🧑🏽‍🎄;ಎಂಎಕ್ಸ್‌ ಕ್ಲಾಸ್‌: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಎಂಎಕ್ಸ್‌ ಕ್ಲಾಸ್‌|ಎಂಎಕ್ಸ್‌ ಕ್ಲಾಸ್‌: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಕ್ರಿಸ್‌ಮಸ್‌|ಕ್ಲಾಸ್|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
	🧑🏾‍🎄;ಎಂಎಕ್ಸ್‌ ಕ್ಲಾಸ್‌: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಎಂಎಕ್ಸ್‌ ಕ್ಲಾಸ್‌|ಎಂಎಕ್ಸ್‌ ಕ್ಲಾಸ್‌: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಕ್ರಿಸ್‌ಮಸ್‌|ಕ್ಲಾಸ್|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
	🧑🏿‍🎄;ಎಂಎಕ್ಸ್‌ ಕ್ಲಾಸ್‌: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಎಂಎಕ್ಸ್‌ ಕ್ಲಾಸ್‌|ಎಂಎಕ್ಸ್‌ ಕ್ಲಾಸ್‌: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಕ್ರಿಸ್‌ಮಸ್‌|ಕ್ಲಾಸ್|ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🦸;ಸೂಪರ್‌ಹೀರೊ;ಉತ್ತಮ|ಸೂಪರ್‌ಪವರ್|ಸೂಪರ್‌ಹೀರೊ|ಹೀರೊ|ಹೀರೊಯಿನ್
	🦸🏻;ಸೂಪರ್‌ಹೀರೊ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಉತ್ತಮ|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಸೂಪರ್‌ಪವರ್|ಸೂಪರ್‌ಹೀರೊ|ಸೂಪರ್‌ಹೀರೊ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಹೀರೊ|ಹೀರೊಯಿನ್
	🦸🏼;ಸೂಪರ್‌ಹೀರೊ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಉತ್ತಮ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಸೂಪರ್‌ಪವರ್|ಸೂಪರ್‌ಹೀರೊ|ಸೂಪರ್‌ಹೀರೊ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಹೀರೊ|ಹೀರೊಯಿನ್
	🦸🏽;ಸೂಪರ್‌ಹೀರೊ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಉತ್ತಮ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಸೂಪರ್‌ಪವರ್|ಸೂಪರ್‌ಹೀರೊ|ಸೂಪರ್‌ಹೀರೊ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಹೀರೊ|ಹೀರೊಯಿನ್
	🦸🏾;ಸೂಪರ್‌ಹೀರೊ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಉತ್ತಮ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಸೂಪರ್‌ಪವರ್|ಸೂಪರ್‌ಹೀರೊ|ಸೂಪರ್‌ಹೀರೊ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಹೀರೊ|ಹೀರೊಯಿನ್
	🦸🏿;ಸೂಪರ್‌ಹೀರೊ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಉತ್ತಮ|ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಸೂಪರ್‌ಪವರ್|ಸೂಪರ್‌ಹೀರೊ|ಸೂಪರ್‌ಹೀರೊ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಹೀರೊ|ಹೀರೊಯಿನ್
🦸‍♂️;ಪುರುಷ ಸೂಪರ್‌ಹೀರೊ;ಉತ್ತಮ|ಪುರುಷ|ಪುರುಷ ಸೂಪರ್‌ಹೀರೊ|ಸೂಪರ್‌ಪವರ್|ಹೀರೊ
	🦸🏻‍♂️;ಪುರುಷ ಸೂಪರ್‌ಹೀರೊ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಉತ್ತಮ|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ|ಪುರುಷ ಸೂಪರ್‌ಹೀರೊ|ಪುರುಷ ಸೂಪರ್‌ಹೀರೊ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಸೂಪರ್‌ಪವರ್|ಹೀರೊ
	🦸🏼‍♂️;ಪುರುಷ ಸೂಪರ್‌ಹೀರೊ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಉತ್ತಮ|ಪುರುಷ|ಪುರುಷ ಸೂಪರ್‌ಹೀರೊ|ಪುರುಷ ಸೂಪರ್‌ಹೀರೊ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಸೂಪರ್‌ಪವರ್|ಹೀರೊ
	🦸🏽‍♂️;ಪುರುಷ ಸೂಪರ್‌ಹೀರೊ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಉತ್ತಮ|ಪುರುಷ|ಪುರುಷ ಸೂಪರ್‌ಹೀರೊ|ಪುರುಷ ಸೂಪರ್‌ಹೀರೊ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಸೂಪರ್‌ಪವರ್|ಹೀರೊ
	🦸🏾‍♂️;ಪುರುಷ ಸೂಪರ್‌ಹೀರೊ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಉತ್ತಮ|ಪುರುಷ|ಪುರುಷ ಸೂಪರ್‌ಹೀರೊ|ಪುರುಷ ಸೂಪರ್‌ಹೀರೊ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಸೂಪರ್‌ಪವರ್|ಹೀರೊ
	🦸🏿‍♂️;ಪುರುಷ ಸೂಪರ್‌ಹೀರೊ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಉತ್ತಮ|ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ|ಪುರುಷ ಸೂಪರ್‌ಹೀರೊ|ಪುರುಷ ಸೂಪರ್‌ಹೀರೊ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಸೂಪರ್‌ಪವರ್|ಹೀರೊ
🦸‍♀️;ಮಹಿಳಾ ಸೂಪರ್‌ಹೀರೊ;ಉತ್ತಮ|ಮಹಿಳಾ ಸೂಪರ್‌ಹೀರೊ|ಮಹಿಳೆ|ಸೂಪರ್‌ಪವರ್|ಹೀರೊ|ಹೀರೊಯಿನ್
	🦸🏻‍♀️;ಮಹಿಳಾ ಸೂಪರ್‌ಹೀರೊ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಉತ್ತಮ|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳಾ ಸೂಪರ್‌ಹೀರೊ|ಮಹಿಳಾ ಸೂಪರ್‌ಹೀರೊ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ|ಸೂಪರ್‌ಪವರ್|ಹೀರೊ|ಹೀರೊಯಿನ್
	🦸🏼‍♀️;ಮಹಿಳಾ ಸೂಪರ್‌ಹೀರೊ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಉತ್ತಮ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳಾ ಸೂಪರ್‌ಹೀರೊ|ಮಹಿಳಾ ಸೂಪರ್‌ಹೀರೊ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ|ಸೂಪರ್‌ಪವರ್|ಹೀರೊ|ಹೀರೊಯಿನ್
	🦸🏽‍♀️;ಮಹಿಳಾ ಸೂಪರ್‌ಹೀರೊ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಉತ್ತಮ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳಾ ಸೂಪರ್‌ಹೀರೊ|ಮಹಿಳಾ ಸೂಪರ್‌ಹೀರೊ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ|ಸೂಪರ್‌ಪವರ್|ಹೀರೊ|ಹೀರೊಯಿನ್
	🦸🏾‍♀️;ಮಹಿಳಾ ಸೂಪರ್‌ಹೀರೊ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಉತ್ತಮ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳಾ ಸೂಪರ್‌ಹೀರೊ|ಮಹಿಳಾ ಸೂಪರ್‌ಹೀರೊ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ|ಸೂಪರ್‌ಪವರ್|ಹೀರೊ|ಹೀರೊಯಿನ್
	🦸🏿‍♀️;ಮಹಿಳಾ ಸೂಪರ್‌ಹೀರೊ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಉತ್ತಮ|ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳಾ ಸೂಪರ್‌ಹೀರೊ|ಮಹಿಳಾ ಸೂಪರ್‌ಹೀರೊ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ|ಸೂಪರ್‌ಪವರ್|ಹೀರೊ|ಹೀರೊಯಿನ್
🦹;ಸೂಪರ್‌ವಿಲನ್;ಅಪರಾಧಿ|ಖಳನಾಯಕ|ದುಷ್ಟ|ಸೂಪರ್‌ಪವರ್|ಸೂಪರ್‌ವಿಲನ್
	🦹🏻;ಸೂಪರ್‌ವಿಲನ್: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಅಪರಾಧಿ|ಖಳನಾಯಕ|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ದುಷ್ಟ|ಸೂಪರ್‌ಪವರ್|ಸೂಪರ್‌ವಿಲನ್|ಸೂಪರ್‌ವಿಲನ್: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	🦹🏼;ಸೂಪರ್‌ವಿಲನ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಅಪರಾಧಿ|ಖಳನಾಯಕ|ದುಷ್ಟ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಸೂಪರ್‌ಪವರ್|ಸೂಪರ್‌ವಿಲನ್|ಸೂಪರ್‌ವಿಲನ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	🦹🏽;ಸೂಪರ್‌ವಿಲನ್: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಅಪರಾಧಿ|ಖಳನಾಯಕ|ದುಷ್ಟ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಸೂಪರ್‌ಪವರ್|ಸೂಪರ್‌ವಿಲನ್|ಸೂಪರ್‌ವಿಲನ್: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
	🦹🏾;ಸೂಪರ್‌ವಿಲನ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಅಪರಾಧಿ|ಖಳನಾಯಕ|ದುಷ್ಟ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಸೂಪರ್‌ಪವರ್|ಸೂಪರ್‌ವಿಲನ್|ಸೂಪರ್‌ವಿಲನ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
	🦹🏿;ಸೂಪರ್‌ವಿಲನ್: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಅಪರಾಧಿ|ಖಳನಾಯಕ|ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ದುಷ್ಟ|ಸೂಪರ್‌ಪವರ್|ಸೂಪರ್‌ವಿಲನ್|ಸೂಪರ್‌ವಿಲನ್: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🦹‍♂️;ಪುರುಷ ಸೂಪರ್‌ವಿಲನ್;ಅಪರಾಧಿ|ದುಷ್ಟ|ಪುರುಷ|ಪುರುಷ ಸೂಪರ್‌ವಿಲನ್|ವಿಲನ್|ಸೂಪರ್‌ಪವರ್
	🦹🏻‍♂️;ಪುರುಷ ಸೂಪರ್‌ವಿಲನ್: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಅಪರಾಧಿ|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ದುಷ್ಟ|ಪುರುಷ|ಪುರುಷ ಸೂಪರ್‌ವಿಲನ್|ಪುರುಷ ಸೂಪರ್‌ವಿಲನ್: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ವಿಲನ್|ಸೂಪರ್‌ಪವರ್
	🦹🏼‍♂️;ಪುರುಷ ಸೂಪರ್‌ವಿಲನ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಅಪರಾಧಿ|ದುಷ್ಟ|ಪುರುಷ|ಪುರುಷ ಸೂಪರ್‌ವಿಲನ್|ಪುರುಷ ಸೂಪರ್‌ವಿಲನ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ವಿಲನ್|ಸೂಪರ್‌ಪವರ್
	🦹🏽‍♂️;ಪುರುಷ ಸೂಪರ್‌ವಿಲನ್: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಅಪರಾಧಿ|ದುಷ್ಟ|ಪುರುಷ|ಪುರುಷ ಸೂಪರ್‌ವಿಲನ್|ಪುರುಷ ಸೂಪರ್‌ವಿಲನ್: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ವಿಲನ್|ಸೂಪರ್‌ಪವರ್
