# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;dareenka wajiga;dareenka wajiga|gariir|wajiga
🥠;buskud macaan;buskud macaan|qof xariif ah|saadaalinta
🥡;sabduuqa lohodka lagu qaato;sabduuqa lohodka lagu qaato
🦀;carsaanyo;carsaanyo|kansar|mactab meecaad
🦞;argoosto;argoosto|ciddiyaha|cunno badeed|maraq dufan ee kalluun
🦐;kalluun qolof la shiilay;cunto|kalluun qolof la shiilay|qolof kalluun|qolof kalluun la shiilay|yar
🦑;xayawaan badeed;cunto|xayawaan badeed
🦪;lohod;lohod|luul|quusidda
🍦;jallaato jilicsan;baraf|jallaata|jallaato jilicsan|jilicsan|labeen|macaan|macmacaan
🍧;macmacaan baraf la buburiyay;baraf|la burburiyay|macaan|macmacaan|macmacaan baraf la buburiyay
🍨;jallaato;baraf|jallaato|labeen|macaan|macmacaan
🍩;keek macaan loo shiilan cajiin ahaan;burcad|keek macaan loo shiilan cajiin ahaan|macmacaan
🍪;keeg macaan;buskud macaan|keeg macaan|macaan|macmacaan
🎂;keegga maalinka dhalashada;cajiin|dabbaaldeg|keegga|keegga maalinka dhalashada|maalinka dhalashada|macaan|macmacaan
🍰;keeg yar;cajiin|gabal|keeg|keeg yar|macaan|macmacaan
🧁;koob keeg;goob rooti lagu dubo|koob keeg|macaan
🥧;doolsho;buuxinta|cajiinka|doolsho
🍫;shukulaato;gabal|macaan|macmacaanka|shukulaato
🍬;nacnac;macaan|macmacaan|nacnac
🍭;nacnac ul ballaaran;macaan|macmacaan|nacnac|nacnac ul ballaaran
🍮;labaniyad;dubista|labaniyad|macaan|macmacaan
🍯;digsi malab;digsi|macaan|malab
🍼;dhalada ilmaha;caano|cab|dhalada ilmaha|dhalo|ilma
🥛;galaas caano ah;caano|cab|galaas|galaas caano ah
☕;cabitaan kulul;bun|cab|cabbitaan|cabitaan kulul|kulul|shah|uumiyaynta
🫖;kirli;cab|jalmad|kirli|shaah
🍵;koob shah ah oon sidda lahayn;cab|cabbitaan|koob|koob shah ah oon sidda lahayn|shah
🍶;khamro jabbaan;baar|cab|cabbitaan|dhalo|khamra jabbaan|khamro jabbaan|koob
🍾;dhalo khamri ubrinaysa;baar|dhalo|gufka|khamri|ubrinaysa
🍷;galaas khamri ah;baar|cab|cabbitaan|galaas|galaas khamri ah|khamri
🍸;galaas kooktayl ah;baar|cab|galaas|galaas kooktayl ah|kooktayl
🍹;khamriga kulul;baar|khamri|khamriga kulul|kulul
🍺;koob khamri ah;baar|cab|khamri|koob|koob khamri ah
🍻;isku dhufsashada koobab khamri ah;baar|cab|isku dhufashada koobab khamri|isku dhufsashada koobab khamri ah|khamri|koob|ku dhufo
🥂;galaasyo isku dhufashada;cab|dabbaldeg|galaas|galaasyo isku dhufashada|ku dhufo
🥃;galaas dhalo;gaaban|galaas|galaas dhalo|khamri|khamri culus
🫗;ku shubaya dareere;cab|daadi|dhamee|galaas|ku shubaya dareere
🥤;koob wata istaroow;casiir|koob iyo istaroow|koob wata istaroow|soodha
🧋;shaah xumbaale;caano|luul|shaah|shaah xumbaale|xumbo
🧃;sanduuq cabitaan;sanduuq cabitaan|sanduuq casiir ah
🧉;lamaane;cab|lamaane
🧊;baraf;baraf|jabal baraf ah|qaboow
🥢;qori wax lagu cuno;qori wax lagu cuno
🍽️;saxan iyo fargeeta iyo mindi;fargeeta|karinta|mindi|saxan|saxan iyo fargeeta iyo mindi
🍴;fargeeta iyo mindi;fargeeta|fargeeta iyo mindi|karinta|mindi|qalabka mindiyaha
🥄;qaaddo;qaaddo|saxamada miiska cuntada
🔪;mindi kushiin;karinta|mindi|mindi kushiin|qalab
🫙;dhalo;dhalo|faaruq ah|kaydso|maraqa|udgoon|weel
🏺;jeeg dheer labo sidda leh;jeeg|jeeg dheer labo sidda leh|karinta|khamri

[travel_places]
🌍;adduunka muujinaya Yurub-Afrika;adduunka|adduunka muujinaya Yurub-Afrika|Afrika|dhulka|dunida|Yurub
🌎;adduunka oo muujinaya Ameerika;adduunka|adduunka muujinaya Ameerika|adduunka oo muujinaya Ameerika|Ameerika|dhulka|dunida
🌏;adduunka muujinaya Aasiya-Awstaraaliya;Aasiya|adduunka|adduunka muujinaya Aasiya-Awstaraaliya|Awstaraaliya|dhulka|dunida
🌐;adduunka oo leh dhigo;adduunka|adduunka oo leh dhigo|dhigo|dhulka|dunida
🗺️;khariiradadda dunida;dunida|khariirad|khariiradadda dunida
🗾;khariidadda Jabbaan;Jabbaan|khariidad|khariidadda Jabbaan
🧭;jiheeye;birlabeed|haggaajinta|jiheeye|maaxid
🏔️;buur baraf ah;baraf|buur|buur baraf ah|qabow
⛰️;buur;buur
🌋;folkano;buur|folkano|qarax
🗻;buurta fuji;buur|buurta fuji|fuji
🏕️;xero;xero
🏖️;dallad kula xeeb qaadashada;dallad|dallad kula xeeb qaadashada|xeeb
🏜️;lamadegaan;lamadegaan
🏝️;jasiirad lamadegaan ah;jasiirad lamadegaan ah|lamadegaan
🏞️;carwo qaran;carwo|carwo qaran
🏟️;garoon;garoon
🏛️;dhismo heer sare ah;dhismo heer sare ah|heer sare
🏗️;daar dhisidda;daar dhisidda|dhismaha
🧱;bulukeeti;bulukeeti|bulukeetiyo|derbi|dhoobo|shamiito &amp; dhoob isku qasan
🪨;dhagax;culeeys|dhagax|dhagax weeyn
🪵;xaabo;alwaax|jar|orri haabo leh|xaabo
🛖;aqal hoori;aqal hoori|guri|guri-wareega|qol
🏘️;guryo;guryo
🏚️;guri burbursan;burbur|guri|guri burbursan
🏠;guri;guri
🏡;guri beer leh;beer|guri|guri beer leh
🏢;dhismo xafiis;dhismo|dhismo xafiis
🏣;xafiiska boostada ee Jabbaanka;dir|Jabbaanka|xafiiska boostada ee Jabbaanka
🏤;xafiis boosto;dir|xafiis boosto|Yurub ah
🏥;isbitaal;daawo|dhakhtar|isbitaal
🏦;bangi;bangi|dhismo
🏨;hudheel;dhismo|hudheel
🏩;hudheel Jaceyl;hudheel|jaceyl
🏪;bakhaar habboon;bakhaar|habboon
🏫;dugsi;dhismo|dugsi
🏬;waax bakhaar;bakhaar|waax
🏭;warshad;dhismo|warshad
🏯;dabaqa Jabbaanka;dabaq|dabaqa Jabbaanka|Jabbaanka
🏰;dabaq;dabaq|Yurub ah
💒;aroos;aroos|caashaq|kaniisad yar
🗼;munaaradda Tokyo;munaarad|munaaradda Tokyo|Tokyo
🗽;Taalada Xurriyadda;Taalada|xurriyadda
⛪;Kaniisad;diin|Kaniisad|mactab|masiixi
🕌;masaajid;diin|Islaam|masaajid|Muslim
🛕;macbadka hindida;hindi|macbadka|macbadka hindida
🕍;kaniisad Yuhuud;diin|kaniisad Yuhuud|Macbadka|Yuhuud|Yuhuudi
⛩️;Meel Caabudaad;diin|diinta Jabbaan|Meel Caabudaad
🕋;Kacbah;diin|Islaam|Kacbah|Muslim
⛲;tuubo biyo kor u ganta;tuubo biyo kor u ganta
⛺;teendho;teendho|xero
🌁;ciryaamo leh;ciiryaamo|ciiryaamo leh|ciryaamo leh
🌃;habbeenka xiddigaha;habbeenka xiddigaha|habeenka xiddigaha|xiddig
🏙️;muuqaal magaalo;magaalo|muuqaal magaalo
🌄;qorrax ka soo baxa buuraha;buur|qorrax|qorrax ka soo baxa buuraha|qorrax soo bax|subax
🌅;qorrax soo bax;qorrax|qorrax soo bax|subax
🌆;muuqaal magaalo ee qorrax dhaca;dhicista|fiid|magaalo|muuqaal magaalo|muuqaal magaalo ee qorrax dhaca|qorrax dhac
🌇;qorrax dhac;qorrax|qorrax dhac|qorrax dhaca
🌉;buundada habeenkii;buundada habeenkii|buundo|habeen
♨️;ilo kulul;ilo|kulul|uumigga
🎠;faraska farxad wareegga;faras|faraska farxad wareegga|farxad wareeg
🛝;Barxadda ciyaarta;Barxadda ciyaarta|beerta madadaalada|ciyaaro
🎡;shaagga gaariga markabka;carwada maddadaalada|gaariga markabka|shaagga|shaagga gaariga markabka
🎢;dusha sare ee tareeka;carwada maddadaalada|dusha sare ee tareeka
💈;tiirka tima-jaraha;tiir|tiirka tima-jaraha|timo-jare|timo-jaris
🎪;teendho rogad;rogadka|teendho|teendho rogad
🚂;dhaqdhaqaaq;dhaqdhaqaaq|jidka tareenka|matoor|tareen
🚃;gaariga jidka tareenka;baska ragaad|gaari|gaariga jidka tareenka|jidka tareenka|koronto|taraam|tareen
🚄;tareen aad u dheereeya;jidka tareenka|tareen|tareen aad u dheereeya|tareen xawaare sare|xawaare
🚅;tareen xawaare sare;jidka tareenka|rasaas|tareen|tareen xawaare sare|xawaare
🚆;tareen;jidka tareenka|tareen|tareenka
🚇;waddo hoose;waddo hoose
🚈;tareenka fudud;jidka tareenka|tareenka fudud
🚉;saldhig;jidka tareenka|saldhig|saldhigga|tareen
🚊;taraam;baska ragaad|taraam
🚝;hal jid tareen kor u qaadan;gaari|hal jid tareen kor u qaadan
🚞;jidka tareenka buurta;buur|gaari|jidka tareenka|jidka tareenka buurta
🚋;gaariga taraam;baska ragaad|gaari|gaariga taraam|taraam
🚌;bas;bas|gaari
🚍;bas soo socda;bas|bas soo socda|soo socda
🚎;baska ragaad;bas|baska ragaad|ragaad|taraam
🚐;bas yar;bas|bas yar
🚑;ambalaas;ambalaas|gaari
🚒;mashiinka dabka;dab|gaari xammuul|mashiinka dabka|matoor
🚓;gaari boolis;boolis|gaari|ilaalinta
🚔;gaari boolis soo socda;boolis|gaari|gaari boolis soo socda|soo socda
🚕;taksi;gaari|taksi
🚖;taksi soo socda;taksi|taksi soo socda
🚗;baabuur;baabuur|gaari|gawaari
🚘;gaari soo socda;gaari|gaari soo socda|gawaarida|soo socda
🚙;gaadiidka cayaaraha;gaadiidka cayaaraha|maddadaalo ah
🛻;qabaalka;gaari xamuul ah|gaariga soo qaadista|qaado|qabaalka
🚚;gaari xammuulka adeegga;gaari xammuul|gaari xammuulka adeegga|geynta
🚛;looriga xammuulka;bar|gaari xammuul|loori|looriga xammuulka
🚜;cagaf-cagaf;cagaf-cagaf|gaari
🏎️;tartan gaari;gaari|tartan gaari|tartanka
🏍️;mooto;mootada|mooto|tartanka
🛵;mooto matoor qaawan;matoor|mooto matoor qaawan|mooto qaawan
🦽;kursiga curyaanka macmalka ah;awood u yeelid|kursiga curyaanka macmalka ah
🦼;kursiga curyaanka korontada ku shaqeeya;awood u yeelid|kursiga curyaanka korontada ku shaqeeya
🛺;jiide is-wada;jiide is-wada|tuk-tuk
🚲;baaskiil;baaskiil|bushkuleeti
🛴;mooto laadid;laad|mooto|mooto laadid
🛹;alwaaxa qalfoofka;alwaax|alwaaxa qalfoofka
🛼;skaytka kaha;duub|iskeeti ciyaarista|skaytka kaha
🚏;boosteejada;bas|boosteejada|joogsiga
🛣️;waddo ballaaran;waddo ballaaran|waddo weyn
🛤️;jidka waddada tareenka;jid tareen|jidka waddada tareenka|raadka jidka tareenka
🛢️;durbaan saliid ah;durbaan|durbaan saliid ah|saliid
⛽;bamka shidaalka;bamba|bamka shidaalka|gaas|naafta|saldhig|shidaal
🛞;gaari;gaari|goobaabin|leexo|taayir
🚨;iftiinka gaariga booliska;boolis|dib-unoqoshada|gaari|iftiin|iftiinka gaariga booliska|minaarad
🚥;iftiinka taraafikada oo jiifta;iftiin|iftiinka taraafikada oo jiifta|seenyaale|taraafik
🚦;iftiin taraafika oo toosan;iftiin|iftiin taraafika oo taaggan|iftiin taraafika oo toosan|seenyaale|taraafik
🛑;calaamad joogsi;calaamad|calaamad joogsi|joogso|siddeed geesle
🚧;dhismo;caqabad|dhismo
⚓;baroosinka;baroosinka|markab|qalab
🛟;giraan sabanaysa;badqab|giraan sabanaysa|naf badbaadiyaha|naf-badbaadiyaha|sabayn|samatabbixin
⛵;doon shiraac;badda|dalxiis|doon|doon shiraac|tartan doonyaad
🛶;huuri;doon|huuri
🚤;doon dheeraysa;doon|doon dheeraysa
🛳️;rakaab markab;markab|rakaab
⛴️;rakaab qaadis;doon|rakaab|rakaab qaadis
🛥️;doon matoor;doon matoor
🚢;markab;doon|markab|rakaab
✈️;diyaarad;dayuurad|diyaarad
🛩️;diyaarad yar;dayuurad|diyaarad|diyaarad yar
🛫;bixitaanka diyaaradda;bixitaanada|bixitaanka|bixitaanka diyaaradda|dayuurad|diyaarad|is xaadirid
🛬;immaanshaha diyaaradda;dadka immaanaya|dayuurad|diyaarad|Imaanaya|immaanshaha diyaaradda|soo degidda
🪂;baarashuud;baarashuud|cir-jiir|dabeylaha|heebaabaya
💺;fadhi;fadhi|kursi
🚁;diyaarad helikobtar;diyaarad helikobtar|gaari
🚟;joojinta jidka tareenka;jidka tareenka|joojinta|joojinta jidka tareenka
🚠;waddo fiilo buureed;buur|fiilo|gondoola|waddo fiilo buureed
🚡;waddada tareenka oo hawada ah;fiilo koronto|gondoola|hawood ku jire|waddada tareenka|waddada tareenka oo hawada ah
🛰️;dayax gacmeed;dayax gacmeed|fagaaga
🚀;gantaal;fagaaga|gantaal
🛸;shey sidii digsi oo duulaya;shey sidii digsi oo duulaya
🛎️;boorsa-qaade;boorsa-qaade|gambaleel|hudheel
🧳;boorsooyin;boorsooyin|safar|xirxirid
⌛;dhalada saacad-beegtada ah oo dhamaysay;ciid|dhalada saacad-beegtada ah oo dhamaysay|goor-sheegge
⏳;dhalada saacad-beegtada ah wali ma dhamayn;ciid|dhalada saacad-beegtada ah wali ma dhamayn|dhalo saacad-beegta ah|goor-sheegge
⌚;goor-sheeg;goor-sheeg|ilaalin|saacad
⏰;saacadda qaylo-dhaanta;qaylo-dhaan|saacad|saacadda qaylo-dhaanta
⏱️;saacad-joojin;saacad|saacad-joojin
⏲️;saacadda goor-sheegtada ah;goor-sheegge|saacad|saacadda goor-sheegtada ah
🕰️;qaanadda kore ee saacadda;qaanadda kore ee saacadda|qaanadda kore saacadda|saacad weyn
🕛;toban iyo labadii iyo bar;00|12|12:00|saac|saacad|toban iyo laba|toban iyo labadii iyo bar
🕧;laba iyo tobanki iyo bar;12|12:30|bar|laba iyo tobanki iyo bar|saacad|toban iyo laba
🕐;hal saac;00|1|1:00|hal|saac|saacad
🕜;hal saac iyo bar;1|1:30|bar|hal|hal saac iyo bar|saacad
🕑;laba saac;00|2|2:00|laba saac|labo|saac|saacad
🕝;labadii iyo bar;2|2:30|bar|labadii iyo bar|labo|saacad
🕒;saddex saac;00|3|3:00|saac|saacad|saddex
🕞;saddexdii iyo bar;3|3:30|bar|saacad|saddex|saddexdii iyo bar
🕓;afar saac;00|4|4:00|afar|saac|saacad
🕟;afartii iyo bar;4|4:30|afar|afartii iyo bar|bar|saacad
🕔;shan saac;00|5|5:00|saac|saacad|shan
🕠;shantii iyo bar;5|5:30|bar|saacad|shan|shantii iyo bar
🕕;lix saac;00|6|6:00|lix|saac|saacad
🕡;lixdii iyo bar;6|6:30|bar|lix|lixdii iyo bar|saacad
🕖;toddoba saac;00|7|7:00|saac|saacad|toddoba
🕢;toddobadii iyo bar;7|7:30|bar|saacad|toddobadii|toddobadii iyo bar
🕗;siddeed saac;00|8|8:00|saacad|siddeed|siddeed saac
🕣;siddeeddi iyo bar;8|8:30|bar|saacad|siddeed|siddeeddi iyo bar
🕘;sagaal saac;00|9|9:00|saacad|sagaal saac
🕤;sagaal iyo bar;9|9:30|bar|saacad|sagaal|sagaal iyo bar
🕙;toban saac;00|10|10:00|saac|saacad|toban
🕥;tobanki iyo bar;10|10:30|bar|saacad|toban|tobanki iyo bar
🕚;kow iyo toban saac;00|11|11:00|kow iyo toban|kow iyo toban saac|saac|saacad
🕦;kow iyo toban iyo bar;11|11:30|bar|kow iyo toban|kow iyo toban iyo bar|saacad
🌑;dayaxa cusub;dayax|dayaxa cusub|madoow
🌒;qoolaabanka dayaxa oo badanaya;badidoodka|bil qoolaaban|dayax|qoolaabanka dayaxa oo badanaya
🌓;rubaca hore ee dayaxa;dayax|rubac|rubaca hore ee dayaxa
🌔;weynaanta dayaxa oo sii badanaya;badidood|dayaxa|weynaanta|weynaanta dayaxa oo sii badanaya
🌕;dayax buuxa;buuxa|dayax
🌖;gaabinta wayninka dayaxa;dayaxa|gaabinta|gaabinta wayninka dayaxa|weynaanta
🌗;rubaca dambe ee dayaxa;dayax|rubac|rubaca dambe ee dayaxa
🌘;gaabinta dayaxa qoolaaban;bil qoolaaban|dayax|gaabinta|gaabinta dayaxa qoolaaban
🌙;dayax qoolaaban;bil qoolaaban|dayax|dayax qoolaaban
🌚;waji daxeedka cusub;dayax|waji|waji daxeedka cusub
🌛;rubaca hore ee waji dayaxeedka;dayax|rubac|rubaca hore ee waji dayaxeedka|rubaca hore waji dayaxeedka|waji
🌜;waji dayaxeedda rubaca dambe;waji|waji dayaxeedda rubaca dambe
🌡️;heerkul-beegge;heerkul-beegge
☀️;qorrax;dhalaal|fallaar-ilays|qorrax|qorrax leh
🌝;waji dayaxeed buuxa;buuxa|dayax|dhalaal|waji|waji dayaxeed buuxa
🌞;qorrax wajiyeed;dhalaal|qorrax|qorrax wajiyeed|waji
🪐;meeraha gaaban;damman|meeraha gaaban|meeraha lixaad
⭐;Summadda xiddigta;Summadda xiddigta|xidig
🌟;xiddig kaahaya;dhalaalaya|ifid|kaah|quruxsan|xiddig|xiddig kaahaya
🌠;waran cireed;soo dhacaya|toogasho|waran cireed|xiddig
🌌;habarjiid;dululaati|habarjiid
☁️;daruur;cimilo|daruur
⛅;qorrax ka dambaysa daruur;daruur|qorrax|qorrax ka dambaysa daruur
⛈️;daruur leh hillaac iyo roob;daruur|daruur leh hillaac iyo roob|onkod|roob
🌤️;qorrax ka dambaysa daruur yar;daruur|qorrax|qorrax ka dambaysa daruur yar
🌥️;qorrax ka dambaysa daruur weyn;daruur|qorrax|qorrax ka dambaysa daruur weyn
🌦️;qorrax ka dambaysa daruur roobeed;daruur|qorrax|qorrax ka dambaysa daruur roobeed|roob
🌧️;daruur roobeed;darruur wadata baraf|daruur|daruur roobeed|roob
🌨️;darruur wadata baraf;baraf|darruur wadata baraf|daruur|qaboow
🌩️;daruur hillaac leh;daruur|daruur hillaac leh|hillaac
🌪️;tornaado;daruur|meerkac dabayleed|tornaado
🌫️;ciiryaamo;ciiryaamo|daruur
🌬️;waji dabayl;afuuf|dabayl|daruur|waji
🌀;gufaaco;dabakhsan|duufaan|gufaaco|maroojiye|tayfuun
🌈;qaanso-roobaad;qaanso-roobaad|roob
🌂;dallad xiran;dallad|dallad daboolan|dallad xiran|dhar|roob
☂️;dallad;dallad|dhar|roob
☔;dallad leh dhibco roob;dallad|dallad leh dhibco roob|dhar|dhib|roob
⛱️;daallad dhulka ka taagan;daallad dhulka ka taagan|dallad|dallan ka taagan dhulka|qorrax|roob
⚡;tamar sare;dhawaaq|hilaac|khatar|koronto|maanyo-dab|tamar sare
❄️;baraf-qolof;baraf|baraf-qolof|qaboow
☃️;baraf-naag;baraf|baraf-naag|qaboow
⛄;baraf-naag oo naag la’aan ah;baraf-naag|baraf-naag oo naag la’aan ah|baraf-nin|qaboow
☄️;dhagax-xiddig;dhagax-xiddig|dulduleelaati
🔥;dab;dab|olol|qalab
💧;dhibicda;dhibic|dhibicda|dhidid|majaajilo|qabow
🌊;hirka biyaha;badweyn|hirka biyaha

[activities]
🎃;jack-o-cirifka;cirifka|dabaaldag|halloween|jack|jack-o-cirifka
🎄;geedka Ciid Masiixigga;dabbaaldeg|geed|geed Ciid Masiixi|geedka Ciid Masiixigga
🎆;shaqooyinka dabka;dabaaldag|shaqooyinka dabka
🎇;dhalaaliye;dabaaldag|dhalaali|dhalaaliye|shaqooyinka dabka
🧨;dab-demiyeyaasha;dab-demiyeyaasha|qarxaha|shaqooyinka dabka|walxaha qarxo
✨;dhalaali;*|dhalaali|dhalaalin|xiddig
🎈;baaluun;baaluun|dabaaldag
🎉;dhawaaqa xafladda;dabaaldag|dhawaaq|dhawaaqa xafladda|tada|xaflad
🎊;kubada qarsoon;dabaaldag|kubad|kubada qarsoon|qarsoodi ah
🎋;geedka axdiga;dabaaldag|geed|geedka axdiga|Japenese|naqshadeyn
🎍;geed qurxin;dabaaldag|garas|geed qurxin|geedka|Japanese
🎎;boombalaha Japanese ka;boombalaha Japanese ka|boombalo|dabaaldag|feesto|Japanese
🎏;socodka xargaha;dabaaldag|socodka|socodka xargaha|xargo
🎐;dabeesha musqusha;dabaaldag|dabeel|dabeesha musqusha|gambaleel|musqul
🎑;Munaasabada daawashada dayaxa;dabaaldag|dayax|munaasabad|Munaasabada daawashada dayaxa
🧧;baqshad gaduudan;arag|baqshad gaduudan|baqshad guduudan|hadiyad|hadiyad lacageed|lacag|nasiib wacan
🎀;xabo;dabaaldag|xabo
🎁;hadiyada duuban;dabaaldag|duuban|hadiyad|hadiyada duuban|imminka|sanduuq
🎗️;xabo xasuusin;celeberation|xabo|xasuusin
🎟️;tikidka diiwaangelinta;diiwaan gelin|tikid|tikidka diiwaan gelinta|tikidka diiwaangelinta
🎫;tikid;diiwaan gelin|tikid
🎖️;bilad ciidan;bilad|ciidan|dabaaldag
🏆;koop;koob|koop|qiimo
🏅;bilada ciyaaraha;bilad|bilada ciyaaraha
🥇;bilada kaalinta koowaad;bilad|bilada kaalinta koowaad|dahab|hore
🥈;bilada kaalinta labaad;bilad|bilada kaalinta labaad|labo|qalin
🥉;bilada kaalinta saddexaad;bilad|bilada kaalinta saddexaad|naxaas|saddexaad
⚽;cayaaraha kubada;cayaaraha|cayaaraha kubada|kubad|kubada cagta
⚾;kubada usha;kubad|kubada usha
🥎;kubada usha iyo gacanta;gacan gashi|gashi|kubad|kubada usha iyo gacanta
🏀;kubbadda kolayga;kubad|kubada kolayga|kubbadda kolayga|wareega shabaqa
🏐;kubada gacanta;ciyaar|kubad|kubada gacanta
🏈;kubadda cagta Mareykanka;kubad|kubada cagta|kubadda cagta Mareykanka|Mareykanka
🏉;kubada cagta iyo rugbida;kubad|kubada cagta|kubada cagta iyo rugbida|rugbida
🎾;teeniska;kubad|teeniska|usha teeniska
🥏;diskiga duulaayo;diskiga duulaayo|ugu dambeeyay
🎳;shiishka;cayaar|kubad|shiishka
🏏;cayaarta kirikitka;cayaar|cayaarta kirikitka|kubad|usha kirikitka
🏑;goobta kubada usha;cayaar|goob|goobta kubada usha|kubad|kubada usha|ul
🏒;kubada usha ee barafka;baraf|cayaar|furo|kubada usha|kubada usha ee barafka|ul
🥍;ciyaarta usha orodka;ciyaarta usha orodka|goolka|kubad|ul
🏓;teeniska miiska;ciyaar|jeexan|kubad|kubad ul|kubada miiska|teeniska miiska
🏸;kubada shabaqa;ciyaar|kubada|kubada la tuuro|shabaqa
🥊;gashiga feerka;feerka|gashi|gashiga feerka
🥋;lebiska dagaalka farshaxanka;dagaalka farshaxanka|dagaalka lugta|karatee|lagdin|lebiska|lebiska dagaalka farshaxanka
🥅;shabaqa goolka;goolka|shabaq|shabaqa goolka
⛳;calanka godka;calanka godka|god|kubada la tuuro
⛸️;kan lugu socdo barafka;baraf|kan lugu socdo|kan lugu socdo barafka
🎣;xargaha kalluumeysiga;malaay|xargaha|xargaha kalluumeysiga
🤿;maaskarada quusitaanka;maaskarada quusitaanka|qalabka quusidda|quusidda
🎽;shaatiga orodka;maro|orod|orodada|shaati|shaatiga orodka
🎿;lugu gashi;dhado|lugu gashi|ski
🛷;gaariga barafka;fadhiga gaariga|gaariga barafka|gaariga faraska
🥌;dhagaxa ifa;ciyaar|dhagaxa|dhagaxa ifa
🎯;kudhaca toosan;bartilmaameed|ciyaar|dar|isha dibiga|kudhac|kudhaca toosan
🪀;qaanso;alaabaha caruurta|qaanso|sabbayn
🪁;abitey;abitey|buubid|duulid
🔫;bastoolad;bastoolad|bastoolada ay dhexdu wareegto|hub|qalab|qori|qori gacmeed
🎱;kubada barkada 8;8|biliyaardi|ciyaar|kubad|kubada barkada 8|siddeed
🔮;kubada kareemka;cajiib|kareem|kubad|kubada kareemka|nasiib|qalab|sheeko xariir
🪄;ul mucjiso;mucjiso|saaxir|saaxirad|ul mucjiso
🎮;cayaarta maqal-muuqal;cayaarta maqal-muuqal|ciyaar|ciyaarta maqal-muuqaalka|xakameeye
🕹️;usha farxada;ciyaar|ciyaarta maqal-muuqaalka|usha farxada
🎰;mashiinka kabaha;ciyaar|kabaha|mashiinka kabaha
🎲;ciyaarta dhimashada;ciyaar|ciyaarta dhimashada|dhimo|laandhuu
🧩;gabal xujo;caqli|gabal|is-xerid|sawiro|xujo
🧸;boombalo;boombalo|khudrad|ku ciyaarid|la habeeyay
🪅;boombalaha isbaanishka;boombalaha isbaanishka|dabaabdag|xaflada
🪩;kubada muraayadda;dhaldhalaalka|diskoo|kubada muraayadda|qoob ka ciyaar|xaflad
🪆;buulka boombalaha;boombale|buul galinta boombalaha|buulka boombalaha|buulleeyn|ruushka
♠️;farshaxan;ciyaar|farshaxan|farshaxanka|kaadh
♥️;lebiska qalbiga;ciyaar|kaadh|lebiska qalbiga
♦️;dheemanka lebiska;ciyaar|dheemanka lebiska|kaadh
♣️;lebiska naadiga;ciyaar|kaadh|lebiska naadiga
♟️;jarta fiyooraha;jar|jarta fiyooraha|qiyaano|saanqaade
🃏;jookar;ciyaar|jookar|kaadh|kaadhka xayawaanaha
🀄;mahjong masduulaagii gaduudnaa;ciyaar|gaduud|mahjong|mahjong masduulaagii gaduudnaa|mhjong masduulaagii gaduudnaa
🎴;ubaxa turubka;ciyaar|ciyaarayaa|Japanese|kaadh|ubax|ubaxa turubka
🎭;fulinta farshaxanka;farshaxan|fulinta|fulinta farshaxanka|goobta|masgaraato|masraxa
🖼️;sawirka la wareegay;farshaxan|la wareegay|matxafka|rinjiyeen|sawir|sawir la wareegay|sawirka la wareegay
🎨;farshaxan saxan;farshaxan saxan|farshaxanka|matxafka|rinjiyeen|saxan
🧵;dun;dun|irbadda dharka|tolmada|xarig
🪡;irbada dharka;dhar tolid|dun|dun weeyn|irbad|irbada dharka|tolid|xijaab
🧶;tidcidda;kubbad|Tidcidda|tolliinka
🪢;siriq;gunti|isku xirid|iskushaandeeyn|mara adag|siriq|xarig|xirid

[objects]
👓;muraayado;dhar|indho|indho-gashi|muraayad|muraayad indhood|muraayado
🕶️;muraayada qoraxda;indho|indho-gashi|madow|muraayad|muraayada qoraxda
🥽;murayaadaha ilaalinta;alxamida|dabaasha|ilaalinta isha|muraayadaha ilaalinta|murayaadaha ilaalinta
🥼;koodhka laabka;dhakhtar|koodhka laabka|saynis yahan|tijaabo
🦺;jaakeetka garbo-gaabka ah ee badbaadada;badbaadada|jaakeet|jaakeetka garbo-gaabka ah ee badbaadada|xaalad degdeg ah
👔;taayga qoorta;dhar|taay|taayga qoorta
👕;garan;dhar|garan|shaar
👖;jiinis;dhar|jiinis|surwaal
🧣;safaleeti;qoor|safaleeti
🧤;gacmo-gashi;gacan|gacmo-gashi
🧥;koodh;jaakeet|koodh
🧦;sharibaado;luga-gashi|sharibaado
👗;toob;dhar|toob
👘;kimoono;dhar|kimoono
🥻;saarii;dhar|saarii|toob
🩱;hal calal oo dharka dabaasha ah;hal calal oo dharka dabaasha ah|suudka dabaasha
🩲;nigis;dharka dabaasha|hal calal|nigis|suudka dabaasha
🩳;shoorti;dharka dabaasha|nigis|shoorti|surwaal
👙;nigis iyo keeshali;dabaalasho|dhar|nigis iyo keeshali
👚;dharka dumarka;dhar|dharka dumarka|dumar
🪭;taageere gacanta laablaaban;kulul|qaboojinta|qoob ka ciyaarka|ruxul|taageere|taageere gacanta laablaaban|xishood
👛;boorso;boorso|dhar|qadaadiic
