[smileys_emotion]
😀;ծիծաղող դեմք;դեմք|ծիծաղող դեմք|քմծիծաղել
	👩🏻‍🤝‍👩🏿;իրար ձեռք բռնած կանայք․ բաց գույնի մաշկ և մուգ գույնի մաշկ;բաց գույնի մաշկ|զույգ|իրար ձեռք բռնած կանայք|իրար ձեռք բռնած կանայք․ բաց գույնի մաշկ և մուգ գույնի մաշկ|կանայք|ձեռք|ձեռք բռնել|մուգ գույնի մաշկ
	👩🏼‍🤝‍👩🏻;իրար ձեռք բռնած կանայք․ միջին բաց գույնի մաշկ և բաց գույնի մաշկ;բաց գույնի մաշկ|զույգ|իրար ձեռք բռնած կանայք|իրար ձեռք բռնած կանայք․ միջին բաց գույնի մաշկ և բաց գույնի մաշկ|կանայք|ձեռք|ձեռք բռնել|միջին բաց գույնի մաշկ
	👭🏼;իրար ձեռք բռնած կանայք․ միջին բաց գույնի մաշկ;զույգ|իրար ձեռք բռնած կանայք|իրար ձեռք բռնած կանայք․ միջին բաց գույնի մաշկ|կանայք|ձեռք|ձեռք բռնել|միջին բաց գույնի մաշկ
	👩🏼‍🤝‍👩🏽;իրար ձեռք բռնած կանայք․ միջին բաց գույնի մաշկ և միջին գույնի մաշկ;զույգ|իրար ձեռք բռնած կանայք|իրար ձեռք բռնած կանայք․ միջին բաց գույնի մաշկ և միջին գույնի մաշկ|կանայք|ձեռք|ձեռք բռնել|միջին բաց գույնի մաշկ|միջին գույնի մաշկ
	👩🏼‍🤝‍👩🏾;իրար ձեռք բռնած կանայք․ միջին բաց գույնի մաշկ և միջին մուգ գույնի մաշկ;զույգ|իրար ձեռք բռնած կանայք|իրար ձեռք բռնած կանայք․ միջին բաց գույնի մաշկ և միջին մուգ գույնի մաշկ|կանայք|ձեռք|ձեռք բռնել|միջին բաց գույնի մաշկ|միջին մուգ գույնի մաշկ
	👩🏼‍🤝‍👩🏿;իրար ձեռք բռնած կանայք․ միջին բաց գույնի մաշկ և մուգ գույնի մաշկ;զույգ|իրար ձեռք բռնած կանայք|իրար ձեռք բռնած կանայք․ միջին բաց գույնի մաշկ և մուգ գույնի մաշկ|կանայք|ձեռք|ձեռք բռնել|միջին բաց գույնի մաշկ|մուգ գույնի մաշկ
	👩🏽‍🤝‍👩🏻;իրար ձեռք բռնած կանայք․ միջին գույնի մաշկ և բաց գույնի մաշկ;բաց գույնի մաշկ|զույգ|իրար ձեռք բռնած կանայք|իրար ձեռք բռնած կանայք․ միջին գույնի մաշկ և բաց գույնի մաշկ|կանայք|ձեռք|ձեռք բռնել|միջին գույնի մաշկ
	👩🏽‍🤝‍👩🏼;իրար ձեռք բռնած կանայք․ միջին գույնի մաշկ և միջին բաց գույնի մաշկ;զույգ|իրար ձեռք բռնած կանայք|իրար ձեռք բռնած կանայք․ միջին գույնի մաշկ և միջին բաց գույնի մաշկ|կանայք|ձեռք|ձեռք բռնել|միջին բաց գույնի մաշկ|միջին գույնի մաշկ
	👭🏽;իրար ձեռք բռնած կանայք․ միջին գույնի մաշկ;զույգ|իրար ձեռք բռնած կանայք|իրար ձեռք բռնած կանայք․ միջին գույնի մաշկ|կանայք|ձեռք|ձեռք բռնել|միջին գույնի մաշկ
	👩🏽‍🤝‍👩🏾;իրար ձեռք բռնած կանայք․ միջին գույնի մաշկ և միջին մուգ գույնի մաշկ;զույգ|իրար ձեռք բռնած կանայք|իրար ձեռք բռնած կանայք․ միջին գույնի մաշկ և միջին մուգ գույնի մաշկ|կանայք|ձեռք|ձեռք բռնել|միջին գույնի մաշկ|միջին մուգ գույնի մաշկ
	👩🏽‍🤝‍👩🏿;իրար ձեռք բռնած կանայք․ միջին գույնի մաշկ և մուգ գույնի մաշկ;զույգ|իրար ձեռք բռնած կանայք|իրար ձեռք բռնած կանայք․ միջին գույնի մաշկ և մուգ գույնի մաշկ|կանայք|ձեռք|ձեռք բռնել|միջին գույնի մաշկ|մուգ գույնի մաշկ
	👩🏾‍🤝‍👩🏻;իրար ձեռք բռնած կանայք․ միջին մուգ գույնի մաշկ և բաց գույնի մաշկ;բաց գույնի մաշկ|զույգ|իրար ձեռք բռնած կանայք|իրար ձեռք բռնած կանայք․ միջին մուգ գույնի մաշկ և բաց գույնի մաշկ|կանայք|ձեռք|ձեռք բռնել|միջին մուգ գույնի մաշկ
	👩🏾‍🤝‍👩🏼;իրար ձեռք բռնած կանայք․ միջին մուգ գույնի մաշկ և միջին բաց գույնի մաշկ;զույգ|իրար ձեռք բռնած կանայք|իրար ձեռք բռնած կանայք․ միջին մուգ գույնի մաշկ և միջին բաց գույնի մաշկ|կանայք|ձեռք|ձեռք բռնել|միջին բաց գույնի մաշկ|միջին մուգ գույնի մաշկ
	👩🏾‍🤝‍👩🏽;իրար ձեռք բռնած կանայք․ միջին մուգ գույնի մաշկ և միջին գույնի մաշկ;զույգ|իրար ձեռք բռնած կանայք|իրար ձեռք բռնած կանայք․ միջին մուգ գույնի մաշկ և միջին գույնի մաշկ|կանայք|ձեռք|ձեռք բռնել|միջին գույնի մաշկ|միջին մուգ գույնի մաշկ
	👭🏾;իրար ձեռք բռնած կանայք․ միջին մուգ գույնի մաշկ;զույգ|իրար ձեռք բռնած կանայք|իրար ձեռք բռնած կանայք․ միջին մուգ գույնի մաշկ|կանայք|ձեռք|ձեռք բռնել|միջին մուգ գույնի մաշկ
	👩🏾‍🤝‍👩🏿;իրար ձեռք բռնած կանայք․ միջին մուգ գույնի մաշկ և մուգ գույնի մաշկ;զույգ|իրար ձեռք բռնած կանայք|իրար ձեռք բռնած կանայք․ միջին մուգ գույնի մաշկ և մուգ գույնի մաշկ|կանայք|ձեռք|ձեռք բռնել|միջին մուգ գույնի մաշկ|մուգ գույնի մաշկ
	👩🏿‍🤝‍👩🏻;իրար ձեռք բռնած կանայք․ մուգ գույնի մաշկ և բաց գույնի մաշկ;բաց գույնի մաշկ|զույգ|իրար ձեռք բռնած կանայք|իրար ձեռք բռնած կանայք․ մուգ գույնի մաշկ և բաց գույնի մաշկ|կանայք|ձեռք|ձեռք բռնել|մուգ գույնի մաշկ
	👩🏿‍🤝‍👩🏼;իրար ձեռք բռնած կանայք․ մուգ գույնի մաշկ և միջին բաց գույնի մաշկ;զույգ|իրար ձեռք բռնած կանայք|իրար ձեռք բռնած կանայք․ մուգ գույնի մաշկ և միջին բաց գույնի մաշկ|կանայք|ձեռք|ձեռք բռնել|միջին բաց գույնի մաշկ|մուգ գույնի մաշկ
	👩🏿‍🤝‍👩🏽;իրար ձեռք բռնած կանայք․ մուգ գույնի մաշկ և միջին գույնի մաշկ;զույգ|իրար ձեռք բռնած կանայք|իրար ձեռք բռնած կանայք․ մուգ գույնի մաշկ և միջին գույնի մաշկ|կանայք|ձեռք|ձեռք բռնել|միջին գույնի մաշկ|մուգ գույնի մաշկ
	👩🏿‍🤝‍👩🏾;իրար ձեռք բռնած կանայք․ մուգ գույնի մաշկ և միջին մուգ գույնի մաշկ;զույգ|իրար ձեռք բռնած կանայք|իրար ձեռք բռնած կանայք․ մուգ գույնի մաշկ և միջին մուգ գույնի մաշկ|կանայք|ձեռք|ձեռք բռնել|միջին մուգ գույնի մաշկ|մուգ գույնի մաշկ
	👭🏿;իրար ձեռք բռնած կանայք․ մուգ գույնի մաշկ;զույգ|իրար ձեռք բռնած կանայք|իրար ձեռք բռնած կանայք․ մուգ գույնի մաշկ|կանայք|ձեռք|ձեռք բռնել|մուգ գույնի մաշկ
👫;իրար ձեռք բռնած կին ու տղամարդ;բռնել|զույգ|իրար ձեռք բռնած կին ու տղամարդ|կին|ձեռք|ձեռք բռնած|տղամարդ
	👫🏻;իրար ձեռք բռնած կին ու տղամարդ․ բաց գույնի մաշկ;բաց գույնի մաշկ|բռնել|զույգ|իրար ձեռք բռնած կին ու տղամարդ|իրար ձեռք բռնած կին ու տղամարդ․ բաց գույնի մաշկ|կին|ձեռք|ձեռք բռնած|տղամարդ
	👩🏻‍🤝‍👨🏼;իրար ձեռք բռնած կին ու տղամարդ․ բաց գույնի մաշկ և միջին բաց գույնի մաշկ;բաց գույնի մաշկ|բռնել|զույգ|իրար ձեռք բռնած կին ու տղամարդ|իրար ձեռք բռնած կին ու տղամարդ․ բաց գույնի մաշկ և միջին բաց գույնի մաշկ|կին|ձեռք|ձեռք բռնած|միջին բաց գույնի մաշկ|տղամարդ
	👩🏻‍🤝‍👨🏽;իրար ձեռք բռնած կին ու տղամարդ․ բաց գույնի մաշկ և միջին գույնի մաշկ;բաց գույնի մաշկ|բռնել|զույգ|իրար ձեռք բռնած կին ու տղամարդ|իրար ձեռք բռնած կին ու տղամարդ․ բաց գույնի մաշկ և միջին գույնի մաշկ|կին|ձեռք|ձեռք բռնած|միջին գույնի մաշկ|տղամարդ
	👩🏻‍🤝‍👨🏾;իրար ձեռք բռնած կին ու տղամարդ․ բաց գույնի մաշկ և միջին մուգ գույնի մաշկ;բաց գույնի մաշկ|բռնել|զույգ|իրար ձեռք բռնած կին ու տղամարդ|իրար ձեռք բռնած կին ու տղամարդ․ բաց գույնի մաշկ և միջին մուգ գույնի մաշկ|կին|ձեռք|ձեռք բռնած|միջին մուգ գույնի մաշկ|տղամարդ
	👩🏻‍🤝‍👨🏿;իրար ձեռք բռնած կին ու տղամարդ․ բաց գույնի մաշկ և մուգ գույնի մաշկ;բաց գույնի մաշկ|բռնել|զույգ|իրար ձեռք բռնած կին ու տղամարդ|իրար ձեռք բռնած կին ու տղամարդ․ բաց գույնի մաշկ և մուգ գույնի մաշկ|կին|ձեռք|ձեռք բռնած|մուգ գույնի մաշկ|տղամարդ
	👩🏼‍🤝‍👨🏻;իրար ձեռք բռնած կին ու տղամարդ․ միջին բաց գույնի մաշկ և բաց գույնի մաշկ;բաց գույնի մաշկ|բռնել|զույգ|իրար ձեռք բռնած կին ու տղամարդ|իրար ձեռք բռնած կին ու տղամարդ․ միջին բաց գույնի մաշկ և բաց գույնի մաշկ|կին|ձեռք|ձեռք բռնած|միջին բաց գույնի մաշկ|տղամարդ
	👫🏼;իրար ձեռք բռնած կին ու տղամարդ․ միջին բաց գույնի մաշկ;բռնել|զույգ|իրար ձեռք բռնած կին ու տղամարդ|իրար ձեռք բռնած կին ու տղամարդ․ միջին բաց գույնի մաշկ|կին|ձեռք|ձեռք բռնած|միջին բաց գույնի մաշկ|տղամարդ
	👩🏼‍🤝‍👨🏽;իրար ձեռք բռնած կին ու տղամարդ․ միջին բաց գույնի մաշկ և միջին գույնի մաշկ;բռնել|զույգ|իրար ձեռք բռնած կին ու տղամարդ|իրար ձեռք բռնած կին ու տղամարդ․ միջին բաց գույնի մաշկ և միջին գույնի մաշկ|կին|ձեռք|ձեռք բռնած|միջին բաց գույնի մաշկ|միջին գույնի մաշկ|տղամարդ
	👩🏼‍🤝‍👨🏾;իրար ձեռք բռնած կին ու տղամարդ․ միջին բաց գույնի մաշկ և միջին մուգ գույնի մաշկ;բռնել|զույգ|իրար ձեռք բռնած կին ու տղամարդ|իրար ձեռք բռնած կին ու տղամարդ․ միջին բաց գույնի մաշկ և միջին մուգ գույնի մաշկ|կին|ձեռք|ձեռք բռնած|միջին բաց գույնի մաշկ|միջին մուգ գույնի մաշկ|տղամարդ
	👩🏼‍🤝‍👨🏿;իրար ձեռք բռնած կին ու տղամարդ․ միջին բաց գույնի մաշկ և մուգ գույնի մաշկ;բռնել|զույգ|իրար ձեռք բռնած կին ու տղամարդ|իրար ձեռք բռնած կին ու տղամարդ․ միջին բաց գույնի մաշկ և մուգ գույնի մաշկ|կին|ձեռք|ձեռք բռնած|միջին բաց գույնի մաշկ|մուգ գույնի մաշկ|տղամարդ
