[smileys_emotion]
😀;ubuso obusinekile;osinekile|ubuso obusinekile
	👨🏾‍🦼;indoda esesitulweni esizihambelayo: uhlobo-5;indoda|indoda esesitulweni esizihambelayo|indoda esesitulweni esizihambelayo: uhlobo-5|isitula sokuhamba|uhlobo-5|ukufinyelela
	👨🏿‍🦼;indoda esesitulweni esizihambelayo: uhlobo-6;indoda|indoda esesitulweni esizihambelayo|indoda esesitulweni esizihambelayo: uhlobo-6|isitula sokuhamba|uhlobo-6|ukufinyelela
👨‍🦼‍➡️;;
	👨🏻‍🦼‍➡️;;
	👨🏼‍🦼‍➡️;;
	👨🏽‍🦼‍➡️;;
	👨🏾‍🦼‍➡️;;
	👨🏿‍🦼‍➡️;;
👩‍🦼;umama osesitulweni esizihambelayo;isitulo sokuhamba|ukufinyelela|umama|umama osesitulweni esizihambelayo
	👩🏻‍🦼;umama osesitulweni esizihambelayo: uhlobo-1-2;isitulo sokuhamba|uhlobo-1-2|ukufinyelela|umama|umama osesitulweni esizihambelayo|umama osesitulweni esizihambelayo: uhlobo-1-2
	👩🏼‍🦼;umama osesitulweni esizihambelayo: uhlobo-3;isitulo sokuhamba|uhlobo-3|ukufinyelela|umama|umama osesitulweni esizihambelayo|umama osesitulweni esizihambelayo: uhlobo-3
	👩🏽‍🦼;umama osesitulweni esizihambelayo: uhlobo-4;isitulo sokuhamba|uhlobo-4|ukufinyelela|umama|umama osesitulweni esizihambelayo|umama osesitulweni esizihambelayo: uhlobo-4
	👩🏾‍🦼;umama osesitulweni esizihambelayo: uhlobo-5;isitulo sokuhamba|uhlobo-5|ukufinyelela|umama|umama osesitulweni esizihambelayo|umama osesitulweni esizihambelayo: uhlobo-5
	👩🏿‍🦼;umama osesitulweni esizihambelayo: uhlobo-6;isitulo sokuhamba|uhlobo-6|ukufinyelela|umama|umama osesitulweni esizihambelayo|umama osesitulweni esizihambelayo: uhlobo-6
👩‍🦼‍➡️;;
	👩🏻‍🦼‍➡️;;
	👩🏼‍🦼‍➡️;;
	👩🏽‍🦼‍➡️;;
	👩🏾‍🦼‍➡️;;
	👩🏿‍🦼‍➡️;;
🧑‍🦽;umuntu ohlezi esihlalweni sabakhubazekile;accessibility|umuntu ohlezi esihlalweni sabakhubazekile|wheelchair
	🧑🏻‍🦽;umuntu ohlezi esihlalweni sabakhubazekile: uhlobo-1-2;accessibility|uhlobo-1-2|umuntu ohlezi esihlalweni sabakhubazekile|umuntu ohlezi esihlalweni sabakhubazekile: uhlobo-1-2|wheelchair
	🧑🏼‍🦽;umuntu ohlezi esihlalweni sabakhubazekile: uhlobo-3;accessibility|uhlobo-3|umuntu ohlezi esihlalweni sabakhubazekile|umuntu ohlezi esihlalweni sabakhubazekile: uhlobo-3|wheelchair
	🧑🏽‍🦽;umuntu ohlezi esihlalweni sabakhubazekile: uhlobo-4;accessibility|uhlobo-4|umuntu ohlezi esihlalweni sabakhubazekile|umuntu ohlezi esihlalweni sabakhubazekile: uhlobo-4|wheelchair
	🧑🏾‍🦽;umuntu ohlezi esihlalweni sabakhubazekile: uhlobo-5;accessibility|uhlobo-5|umuntu ohlezi esihlalweni sabakhubazekile|umuntu ohlezi esihlalweni sabakhubazekile: uhlobo-5|wheelchair
	🧑🏿‍🦽;umuntu ohlezi esihlalweni sabakhubazekile: uhlobo-6;accessibility|uhlobo-6|umuntu ohlezi esihlalweni sabakhubazekile|umuntu ohlezi esihlalweni sabakhubazekile: uhlobo-6|wheelchair
🧑‍🦽‍➡️;;
	🧑🏻‍🦽‍➡️;;
	🧑🏼‍🦽‍➡️;;
	🧑🏽‍🦽‍➡️;;
	🧑🏾‍🦽‍➡️;;
	🧑🏿‍🦽‍➡️;;
👨‍🦽;indoda esesitulweni sokuhanjiswa;indoda|indoda esesitulweni sokuhanjiswa|isitulo sokuhamba|ukufinyelela
	👨🏻‍🦽;indoda esesitulweni sokuhanjiswa: uhlobo-1-2;indoda|indoda esesitulweni sokuhanjiswa|indoda esesitulweni sokuhanjiswa: uhlobo-1-2|isitulo sokuhamba|uhlobo-1-2|ukufinyelela
	👨🏼‍🦽;indoda esesitulweni sokuhanjiswa: uhlobo-3;indoda|indoda esesitulweni sokuhanjiswa|indoda esesitulweni sokuhanjiswa: uhlobo-3|isitulo sokuhamba|uhlobo-3|ukufinyelela
	👨🏽‍🦽;indoda esesitulweni sokuhanjiswa: uhlobo-4;indoda|indoda esesitulweni sokuhanjiswa|indoda esesitulweni sokuhanjiswa: uhlobo-4|isitulo sokuhamba|uhlobo-4|ukufinyelela
	👨🏾‍🦽;indoda esesitulweni sokuhanjiswa: uhlobo-5;indoda|indoda esesitulweni sokuhanjiswa|indoda esesitulweni sokuhanjiswa: uhlobo-5|isitulo sokuhamba|uhlobo-5|ukufinyelela
	👨🏿‍🦽;indoda esesitulweni sokuhanjiswa: uhlobo-6;indoda|indoda esesitulweni sokuhanjiswa|indoda esesitulweni sokuhanjiswa: uhlobo-6|isitulo sokuhamba|uhlobo-6|ukufinyelela
👨‍🦽‍➡️;;
	👨🏻‍🦽‍➡️;;
	👨🏼‍🦽‍➡️;;
	👨🏽‍🦽‍➡️;;
	👨🏾‍🦽‍➡️;;
	👨🏿‍🦽‍➡️;;
👩‍🦽;umama osesitulweni sokuhanjiswa;isitulo sokuhamba|ukufinyelela|umama|umama osesitulweni sokuhanjiswa
	👩🏻‍🦽;umama osesitulweni sokuhanjiswa: uhlobo-1-2;isitulo sokuhamba|uhlobo-1-2|ukufinyelela|umama|umama osesitulweni sokuhanjiswa|umama osesitulweni sokuhanjiswa: uhlobo-1-2
	👩🏼‍🦽;umama osesitulweni sokuhanjiswa: uhlobo-3;isitulo sokuhamba|uhlobo-3|ukufinyelela|umama|umama osesitulweni sokuhanjiswa|umama osesitulweni sokuhanjiswa: uhlobo-3
	👩🏽‍🦽;umama osesitulweni sokuhanjiswa: uhlobo-4;isitulo sokuhamba|uhlobo-4|ukufinyelela|umama|umama osesitulweni sokuhanjiswa|umama osesitulweni sokuhanjiswa: uhlobo-4
	👩🏾‍🦽;umama osesitulweni sokuhanjiswa: uhlobo-5;isitulo sokuhamba|uhlobo-5|ukufinyelela|umama|umama osesitulweni sokuhanjiswa|umama osesitulweni sokuhanjiswa: uhlobo-5
	👩🏿‍🦽;umama osesitulweni sokuhanjiswa: uhlobo-6;isitulo sokuhamba|uhlobo-6|ukufinyelela|umama|umama osesitulweni sokuhanjiswa|umama osesitulweni sokuhanjiswa: uhlobo-6
👩‍🦽‍➡️;;
	👩🏻‍🦽‍➡️;;
	👩🏼‍🦽‍➡️;;
	👩🏽‍🦽‍➡️;;
	👩🏾‍🦽‍➡️;;
	👩🏿‍🦽‍➡️;;
🏃;umunto ogijimayo;ukugijima|umjaho|umunto ogijimayo
	🏃🏻;umunto ogijimayo: uhlobo-1-2;uhlobo-1-2|ukugijima|umjaho|umunto ogijimayo|umunto ogijimayo: uhlobo-1-2
	🏃🏼;umunto ogijimayo: uhlobo-3;uhlobo-3|ukugijima|umjaho|umunto ogijimayo|umunto ogijimayo: uhlobo-3
	🏃🏽;umunto ogijimayo: uhlobo-4;uhlobo-4|ukugijima|umjaho|umunto ogijimayo|umunto ogijimayo: uhlobo-4
	🏃🏾;umunto ogijimayo: uhlobo-5;uhlobo-5|ukugijima|umjaho|umunto ogijimayo|umunto ogijimayo: uhlobo-5
	🏃🏿;umunto ogijimayo: uhlobo-6;uhlobo-6|ukugijima|umjaho|umunto ogijimayo|umunto ogijimayo: uhlobo-6
🏃‍♂️;indoda egijimayo;indoda|indoda egijimayo|ukugijima|umjaho|umncintiswano
	🏃🏻‍♂️;indoda egijimayo: uhlobo-1-2;indoda|indoda egijimayo|indoda egijimayo: uhlobo-1-2|uhlobo-1-2|ukugijima|umjaho|umncintiswano
	🏃🏼‍♂️;indoda egijimayo: uhlobo-3;indoda|indoda egijimayo|indoda egijimayo: uhlobo-3|uhlobo-3|ukugijima|umjaho|umncintiswano
	🏃🏽‍♂️;indoda egijimayo: uhlobo-4;indoda|indoda egijimayo|indoda egijimayo: uhlobo-4|uhlobo-4|ukugijima|umjaho|umncintiswano
	🏃🏾‍♂️;indoda egijimayo: uhlobo-5;indoda|indoda egijimayo|indoda egijimayo: uhlobo-5|uhlobo-5|ukugijima|umjaho|umncintiswano
	🏃🏿‍♂️;indoda egijimayo: uhlobo-6;indoda|indoda egijimayo|indoda egijimayo: uhlobo-6|uhlobo-6|ukugijima|umjaho|umncintiswano
🏃‍♀️;owesimame ogijimayo;owesimame|owesimame ogijimayo|ukugijima|umjaho|umncintiswane
	🏃🏻‍♀️;owesimame ogijimayo: uhlobo-1-2;owesimame|owesimame ogijimayo|owesimame ogijimayo: uhlobo-1-2|uhlobo-1-2|ukugijima|umjaho|umncintiswane
	🏃🏼‍♀️;owesimame ogijimayo: uhlobo-3;owesimame|owesimame ogijimayo|owesimame ogijimayo: uhlobo-3|uhlobo-3|ukugijima|umjaho|umncintiswane
	🏃🏽‍♀️;owesimame ogijimayo: uhlobo-4;owesimame|owesimame ogijimayo|owesimame ogijimayo: uhlobo-4|uhlobo-4|ukugijima|umjaho|umncintiswane
	🏃🏾‍♀️;owesimame ogijimayo: uhlobo-5;owesimame|owesimame ogijimayo|owesimame ogijimayo: uhlobo-5|uhlobo-5|ukugijima|umjaho|umncintiswane
	🏃🏿‍♀️;owesimame ogijimayo: uhlobo-6;owesimame|owesimame ogijimayo|owesimame ogijimayo: uhlobo-6|uhlobo-6|ukugijima|umjaho|umncintiswane
🏃‍➡️;;
	🏃🏻‍➡️;;
	🏃🏼‍➡️;;
	🏃🏽‍➡️;;
	🏃🏾‍➡️;;
	🏃🏿‍➡️;;
🏃‍♀️‍➡️;;
	🏃🏻‍♀️‍➡️;;
	🏃🏼‍♀️‍➡️;;
	🏃🏽‍♀️‍➡️;;
	🏃🏾‍♀️‍➡️;;
	🏃🏿‍♀️‍➡️;;
🏃‍♂️‍➡️;;
	🏃🏻‍♂️‍➡️;;
	🏃🏼‍♂️‍➡️;;
	🏃🏽‍♂️‍➡️;;
	🏃🏾‍♂️‍➡️;;
	🏃🏿‍♂️‍➡️;;
💃;owesimame odansayo;owesimame odansayo|owesimane|ukudansa
	💃🏻;owesimame odansayo: uhlobo-1-2;owesimame odansayo|owesimame odansayo: uhlobo-1-2|owesimane|uhlobo-1-2|ukudansa
	💃🏼;owesimame odansayo: uhlobo-3;owesimame odansayo|owesimame odansayo: uhlobo-3|owesimane|uhlobo-3|ukudansa
	💃🏽;owesimame odansayo: uhlobo-4;owesimame odansayo|owesimame odansayo: uhlobo-4|owesimane|uhlobo-4|ukudansa
	💃🏾;owesimame odansayo: uhlobo-5;owesimame odansayo|owesimame odansayo: uhlobo-5|owesimane|uhlobo-5|ukudansa
	💃🏿;owesimame odansayo: uhlobo-6;owesimame odansayo|owesimame odansayo: uhlobo-6|owesimane|uhlobo-6|ukudansa
🕺;ukudansa;dansa|indoda|ukudansa
	🕺🏻;ukudansa: uhlobo-1-2;dansa|indoda|uhlobo-1-2|ukudansa|ukudansa: uhlobo-1-2
	🕺🏼;ukudansa: uhlobo-3;dansa|indoda|uhlobo-3|ukudansa|ukudansa: uhlobo-3
	🕺🏽;ukudansa: uhlobo-4;dansa|indoda|uhlobo-4|ukudansa|ukudansa: uhlobo-4
	🕺🏾;ukudansa: uhlobo-5;dansa|indoda|uhlobo-5|ukudansa|ukudansa: uhlobo-5
	🕺🏿;ukudansa: uhlobo-6;dansa|indoda|uhlobo-6|ukudansa|ukudansa: uhlobo-6
🕴️;indoda egqoke isudu;ibhizinisi|indoda|indoda egqoke isudu|isudu
	🕴🏻;indoda egqoke isudu: uhlobo-1-2;ibhizinisi|indoda|indoda egqoke isudu|indoda egqoke isudu: uhlobo-1-2|isudu|uhlobo-1-2
	🕴🏼;indoda egqoke isudu: uhlobo-3;ibhizinisi|indoda|indoda egqoke isudu|indoda egqoke isudu: uhlobo-3|isudu|uhlobo-3
	🕴🏽;indoda egqoke isudu: uhlobo-4;ibhizinisi|indoda|indoda egqoke isudu|indoda egqoke isudu: uhlobo-4|isudu|uhlobo-4
	🕴🏾;indoda egqoke isudu: uhlobo-5;ibhizinisi|indoda|indoda egqoke isudu|indoda egqoke isudu: uhlobo-5|isudu|uhlobo-5
	🕴🏿;indoda egqoke isudu: uhlobo-6;ibhizinisi|indoda|indoda egqoke isudu|indoda egqoke isudu: uhlobo-6|isudu|uhlobo-6
👯;abantu abasemcimbini;abantu abasemcimbini|indlebe|intombazane|owesimame|ukudansa
👯‍♂️;amadoda asemcimbini;amadoda asemcimbini|indlebe|indoda|ukuthokozela umcimbi|umdansi
👯‍♀️;abasemame abasemcimbini;abasemame abasemcimbini|indlebe|owesimame|ukuthokozela umcimbi|umdansi
🧖;umuntu egumbini elinestimu;igumbi lestimu|isona|umuntu egumbini elinestimu
	🧖🏻;umuntu egumbini elinestimu: uhlobo-1-2;igumbi lestimu|isona|uhlobo-1-2|umuntu egumbini elinestimu|umuntu egumbini elinestimu: uhlobo-1-2
	🧖🏼;umuntu egumbini elinestimu: uhlobo-3;igumbi lestimu|isona|uhlobo-3|umuntu egumbini elinestimu|umuntu egumbini elinestimu: uhlobo-3
	🧖🏽;umuntu egumbini elinestimu: uhlobo-4;igumbi lestimu|isona|uhlobo-4|umuntu egumbini elinestimu|umuntu egumbini elinestimu: uhlobo-4
	🧖🏾;umuntu egumbini elinestimu: uhlobo-5;igumbi lestimu|isona|uhlobo-5|umuntu egumbini elinestimu|umuntu egumbini elinestimu: uhlobo-5
	🧖🏿;umuntu egumbini elinestimu: uhlobo-6;igumbi lestimu|isona|uhlobo-6|umuntu egumbini elinestimu|umuntu egumbini elinestimu: uhlobo-6
🧖‍♂️;owesilisa egunjini lestimu;igumbi lestimu|isona|owesilisa egunjini lestimu
	🧖🏻‍♂️;owesilisa egunjini lestimu: uhlobo-1-2;igumbi lestimu|isona|owesilisa egunjini lestimu|owesilisa egunjini lestimu: uhlobo-1-2|uhlobo-1-2
	🧖🏼‍♂️;owesilisa egunjini lestimu: uhlobo-3;igumbi lestimu|isona|owesilisa egunjini lestimu|owesilisa egunjini lestimu: uhlobo-3|uhlobo-3
	🧖🏽‍♂️;owesilisa egunjini lestimu: uhlobo-4;igumbi lestimu|isona|owesilisa egunjini lestimu|owesilisa egunjini lestimu: uhlobo-4|uhlobo-4
	🧖🏾‍♂️;owesilisa egunjini lestimu: uhlobo-5;igumbi lestimu|isona|owesilisa egunjini lestimu|owesilisa egunjini lestimu: uhlobo-5|uhlobo-5
	🧖🏿‍♂️;owesilisa egunjini lestimu: uhlobo-6;igumbi lestimu|isona|owesilisa egunjini lestimu|owesilisa egunjini lestimu: uhlobo-6|uhlobo-6
🧖‍♀️;owesifazane egunjini lestimu;igumbi lestimu|isona|owesifazane egunjini lestimu
	🧖🏻‍♀️;owesifazane egunjini lestimu: uhlobo-1-2;igumbi lestimu|isona|owesifazane egunjini lestimu|owesifazane egunjini lestimu: uhlobo-1-2|uhlobo-1-2
	🧖🏼‍♀️;owesifazane egunjini lestimu: uhlobo-3;igumbi lestimu|isona|owesifazane egunjini lestimu|owesifazane egunjini lestimu: uhlobo-3|uhlobo-3
	🧖🏽‍♀️;owesifazane egunjini lestimu: uhlobo-4;igumbi lestimu|isona|owesifazane egunjini lestimu|owesifazane egunjini lestimu: uhlobo-4|uhlobo-4
	🧖🏾‍♀️;owesifazane egunjini lestimu: uhlobo-5;igumbi lestimu|isona|owesifazane egunjini lestimu|owesifazane egunjini lestimu: uhlobo-5|uhlobo-5
	🧖🏿‍♀️;owesifazane egunjini lestimu: uhlobo-6;igumbi lestimu|isona|owesifazane egunjini lestimu|owesifazane egunjini lestimu: uhlobo-6|uhlobo-6
🧗;umuntu ogibelayo;umqwali|umuntu ogibelayo
	🧗🏻;umuntu ogibelayo: uhlobo-1-2;uhlobo-1-2|umqwali|umuntu ogibelayo|umuntu ogibelayo: uhlobo-1-2
	🧗🏼;umuntu ogibelayo: uhlobo-3;uhlobo-3|umqwali|umuntu ogibelayo|umuntu ogibelayo: uhlobo-3
	🧗🏽;umuntu ogibelayo: uhlobo-4;uhlobo-4|umqwali|umuntu ogibelayo|umuntu ogibelayo: uhlobo-4
	🧗🏾;umuntu ogibelayo: uhlobo-5;uhlobo-5|umqwali|umuntu ogibelayo|umuntu ogibelayo: uhlobo-5
	🧗🏿;umuntu ogibelayo: uhlobo-6;uhlobo-6|umqwali|umuntu ogibelayo|umuntu ogibelayo: uhlobo-6
🧗‍♂️;owesilisa oqwalayo;owesilisa oqwalayo|umqwali
	🧗🏻‍♂️;owesilisa oqwalayo: uhlobo-1-2;owesilisa oqwalayo|owesilisa oqwalayo: uhlobo-1-2|uhlobo-1-2|umqwali
	🧗🏼‍♂️;owesilisa oqwalayo: uhlobo-3;owesilisa oqwalayo|owesilisa oqwalayo: uhlobo-3|uhlobo-3|umqwali
	🧗🏽‍♂️;owesilisa oqwalayo: uhlobo-4;owesilisa oqwalayo|owesilisa oqwalayo: uhlobo-4|uhlobo-4|umqwali
	🧗🏾‍♂️;owesilisa oqwalayo: uhlobo-5;owesilisa oqwalayo|owesilisa oqwalayo: uhlobo-5|uhlobo-5|umqwali
	🧗🏿‍♂️;owesilisa oqwalayo: uhlobo-6;owesilisa oqwalayo|owesilisa oqwalayo: uhlobo-6|uhlobo-6|umqwali
🧗‍♀️;owesifazane oqwalayo;owesifazane oqwalayo|umqwali
	🧗🏻‍♀️;owesifazane oqwalayo: uhlobo-1-2;owesifazane oqwalayo|owesifazane oqwalayo: uhlobo-1-2|uhlobo-1-2|umqwali
	🧗🏼‍♀️;owesifazane oqwalayo: uhlobo-3;owesifazane oqwalayo|owesifazane oqwalayo: uhlobo-3|uhlobo-3|umqwali
	🧗🏽‍♀️;owesifazane oqwalayo: uhlobo-4;owesifazane oqwalayo|owesifazane oqwalayo: uhlobo-4|uhlobo-4|umqwali
	🧗🏾‍♀️;owesifazane oqwalayo: uhlobo-5;owesifazane oqwalayo|owesifazane oqwalayo: uhlobo-5|uhlobo-5|umqwali
	🧗🏿‍♀️;owesifazane oqwalayo: uhlobo-6;owesifazane oqwalayo|owesifazane oqwalayo: uhlobo-6|uhlobo-6|umqwali
🤺;ifensa;ifensa|inkemba|perso|ukufensa|umdlalo
🏇;umjaho wamahhashi;ihhashi|ihhashi lomjaho|ujokhi|umjaho wamahhashi|umqhudelwano
	🏇🏻;umjaho wamahhashi: uhlobo-1-2;ihhashi|ihhashi lomjaho|uhlobo-1-2|ujokhi|umjaho wamahhashi|umjaho wamahhashi: uhlobo-1-2|umqhudelwano
	🏇🏼;umjaho wamahhashi: uhlobo-3;ihhashi|ihhashi lomjaho|uhlobo-3|ujokhi|umjaho wamahhashi|umjaho wamahhashi: uhlobo-3|umqhudelwano
	🏇🏽;umjaho wamahhashi: uhlobo-4;ihhashi|ihhashi lomjaho|uhlobo-4|ujokhi|umjaho wamahhashi|umjaho wamahhashi: uhlobo-4|umqhudelwano
	🏇🏾;umjaho wamahhashi: uhlobo-5;ihhashi|ihhashi lomjaho|uhlobo-5|ujokhi|umjaho wamahhashi|umjaho wamahhashi: uhlobo-5|umqhudelwano
	🏇🏿;umjaho wamahhashi: uhlobo-6;ihhashi|ihhashi lomjaho|uhlobo-6|ujokhi|umjaho wamahhashi|umjaho wamahhashi: uhlobo-6|umqhudelwano
⛷️;odlala iski;isithwatha|odlala iski|ski
🏂;umgibeli webhodi lesithwathwa;ibhodi lesithwathwa|isithwatha|ski|umgibeli webhodi lesithwathwa
	🏂🏻;umgibeli webhodi lesithwathwa: uhlobo-1-2;ibhodi lesithwathwa|isithwatha|ski|uhlobo-1-2|umgibeli webhodi lesithwathwa|umgibeli webhodi lesithwathwa: uhlobo-1-2
	🏂🏼;umgibeli webhodi lesithwathwa: uhlobo-3;ibhodi lesithwathwa|isithwatha|ski|uhlobo-3|umgibeli webhodi lesithwathwa|umgibeli webhodi lesithwathwa: uhlobo-3
	🏂🏽;umgibeli webhodi lesithwathwa: uhlobo-4;ibhodi lesithwathwa|isithwatha|ski|uhlobo-4|umgibeli webhodi lesithwathwa|umgibeli webhodi lesithwathwa: uhlobo-4
	🏂🏾;umgibeli webhodi lesithwathwa: uhlobo-5;ibhodi lesithwathwa|isithwatha|ski|uhlobo-5|umgibeli webhodi lesithwathwa|umgibeli webhodi lesithwathwa: uhlobo-5
	🏂🏿;umgibeli webhodi lesithwathwa: uhlobo-6;ibhodi lesithwathwa|isithwatha|ski|uhlobo-6|umgibeli webhodi lesithwathwa|umgibeli webhodi lesithwathwa: uhlobo-6
🏌️;umuntu odlala igalofu;ibhola|igalofu|umuntu odlala igalofu
	🏌🏻;umuntu odlala igalofu: uhlobo-1-2;ibhola|igalofu|uhlobo-1-2|umuntu odlala igalofu|umuntu odlala igalofu: uhlobo-1-2
	🏌🏼;umuntu odlala igalofu: uhlobo-3;ibhola|igalofu|uhlobo-3|umuntu odlala igalofu|umuntu odlala igalofu: uhlobo-3
	🏌🏽;umuntu odlala igalofu: uhlobo-4;ibhola|igalofu|uhlobo-4|umuntu odlala igalofu|umuntu odlala igalofu: uhlobo-4
	🏌🏾;umuntu odlala igalofu: uhlobo-5;ibhola|igalofu|uhlobo-5|umuntu odlala igalofu|umuntu odlala igalofu: uhlobo-5
	🏌🏿;umuntu odlala igalofu: uhlobo-6;ibhola|igalofu|uhlobo-6|umuntu odlala igalofu|umuntu odlala igalofu: uhlobo-6
🏌️‍♂️;indoda edlala igalofu;igalofu|indoda|indoda edlala igalofu
	🏌🏻‍♂️;indoda edlala igalofu: uhlobo-1-2;igalofu|indoda|indoda edlala igalofu|indoda edlala igalofu: uhlobo-1-2|uhlobo-1-2
	🏌🏼‍♂️;indoda edlala igalofu: uhlobo-3;igalofu|indoda|indoda edlala igalofu|indoda edlala igalofu: uhlobo-3|uhlobo-3
	🏌🏽‍♂️;indoda edlala igalofu: uhlobo-4;igalofu|indoda|indoda edlala igalofu|indoda edlala igalofu: uhlobo-4|uhlobo-4
	🏌🏾‍♂️;indoda edlala igalofu: uhlobo-5;igalofu|indoda|indoda edlala igalofu|indoda edlala igalofu: uhlobo-5|uhlobo-5
	🏌🏿‍♂️;indoda edlala igalofu: uhlobo-6;igalofu|indoda|indoda edlala igalofu|indoda edlala igalofu: uhlobo-6|uhlobo-6
🏌️‍♀️;owesimame odlala igalofu;igalofu|owesimame|owesimame odlala igalofu
	🏌🏻‍♀️;owesimame odlala igalofu: uhlobo-1-2;igalofu|owesimame|owesimame odlala igalofu|owesimame odlala igalofu: uhlobo-1-2|uhlobo-1-2
	🏌🏼‍♀️;owesimame odlala igalofu: uhlobo-3;igalofu|owesimame|owesimame odlala igalofu|owesimame odlala igalofu: uhlobo-3|uhlobo-3
	🏌🏽‍♀️;owesimame odlala igalofu: uhlobo-4;igalofu|owesimame|owesimame odlala igalofu|owesimame odlala igalofu: uhlobo-4|uhlobo-4
	🏌🏾‍♀️;owesimame odlala igalofu: uhlobo-5;igalofu|owesimame|owesimame odlala igalofu|owesimame odlala igalofu: uhlobo-5|uhlobo-5
	🏌🏿‍♀️;owesimame odlala igalofu: uhlobo-6;igalofu|owesimame|owesimame odlala igalofu|owesimame odlala igalofu: uhlobo-6|uhlobo-6
🏄;umuntu ogibele isurf board;ukudlala isurfing|umuntu ogibele isurf board
	🏄🏻;umuntu ogibele isurf board: uhlobo-1-2;uhlobo-1-2|ukudlala isurfing|umuntu ogibele isurf board|umuntu ogibele isurf board: uhlobo-1-2
	🏄🏼;umuntu ogibele isurf board: uhlobo-3;uhlobo-3|ukudlala isurfing|umuntu ogibele isurf board|umuntu ogibele isurf board: uhlobo-3
	🏄🏽;umuntu ogibele isurf board: uhlobo-4;uhlobo-4|ukudlala isurfing|umuntu ogibele isurf board|umuntu ogibele isurf board: uhlobo-4
	🏄🏾;umuntu ogibele isurf board: uhlobo-5;uhlobo-5|ukudlala isurfing|umuntu ogibele isurf board|umuntu ogibele isurf board: uhlobo-5
	🏄🏿;umuntu ogibele isurf board: uhlobo-6;uhlobo-6|ukudlala isurfing|umuntu ogibele isurf board|umuntu ogibele isurf board: uhlobo-6
🏄‍♂️;indoda edlala isurfing;indoda|indoda edlala isurfing|isurfing
	🏄🏻‍♂️;indoda edlala isurfing: uhlobo-1-2;indoda|indoda edlala isurfing|indoda edlala isurfing: uhlobo-1-2|isurfing|uhlobo-1-2
	🏄🏼‍♂️;indoda edlala isurfing: uhlobo-3;indoda|indoda edlala isurfing|indoda edlala isurfing: uhlobo-3|isurfing|uhlobo-3
	🏄🏽‍♂️;indoda edlala isurfing: uhlobo-4;indoda|indoda edlala isurfing|indoda edlala isurfing: uhlobo-4|isurfing|uhlobo-4
	🏄🏾‍♂️;indoda edlala isurfing: uhlobo-5;indoda|indoda edlala isurfing|indoda edlala isurfing: uhlobo-5|isurfing|uhlobo-5
	🏄🏿‍♂️;indoda edlala isurfing: uhlobo-6;indoda|indoda edlala isurfing|indoda edlala isurfing: uhlobo-6|isurfing|uhlobo-6
🏄‍♀️;owesimame odlala isurfing;isurfing|owesimame|owesimame odlala isurfing
	🏄🏻‍♀️;owesimame odlala isurfing: uhlobo-1-2;isurfing|owesimame|owesimame odlala isurfing|owesimame odlala isurfing: uhlobo-1-2|uhlobo-1-2
	🏄🏼‍♀️;owesimame odlala isurfing: uhlobo-3;isurfing|owesimame|owesimame odlala isurfing|owesimame odlala isurfing: uhlobo-3|uhlobo-3
	🏄🏽‍♀️;owesimame odlala isurfing: uhlobo-4;isurfing|owesimame|owesimame odlala isurfing|owesimame odlala isurfing: uhlobo-4|uhlobo-4
	🏄🏾‍♀️;owesimame odlala isurfing: uhlobo-5;isurfing|owesimame|owesimame odlala isurfing|owesimame odlala isurfing: uhlobo-5|uhlobo-5
	🏄🏿‍♀️;owesimame odlala isurfing: uhlobo-6;isurfing|owesimame|owesimame odlala isurfing|owesimame odlala isurfing: uhlobo-6|uhlobo-6
🚣;umuntu ogwedla isikebhe;isikebhe|isithuthi|ukugwedla isikebhe|umuntu ogwedla isikebhe
	🚣🏻;umuntu ogwedla isikebhe: uhlobo-1-2;isikebhe|isithuthi|uhlobo-1-2|ukugwedla isikebhe|umuntu ogwedla isikebhe|umuntu ogwedla isikebhe: uhlobo-1-2
	🚣🏼;umuntu ogwedla isikebhe: uhlobo-3;isikebhe|isithuthi|uhlobo-3|ukugwedla isikebhe|umuntu ogwedla isikebhe|umuntu ogwedla isikebhe: uhlobo-3
	🚣🏽;umuntu ogwedla isikebhe: uhlobo-4;isikebhe|isithuthi|uhlobo-4|ukugwedla isikebhe|umuntu ogwedla isikebhe|umuntu ogwedla isikebhe: uhlobo-4
	🚣🏾;umuntu ogwedla isikebhe: uhlobo-5;isikebhe|isithuthi|uhlobo-5|ukugwedla isikebhe|umuntu ogwedla isikebhe|umuntu ogwedla isikebhe: uhlobo-5
	🚣🏿;umuntu ogwedla isikebhe: uhlobo-6;isikebhe|isithuthi|uhlobo-6|ukugwedla isikebhe|umuntu ogwedla isikebhe|umuntu ogwedla isikebhe: uhlobo-6
🚣‍♂️;indoda egwedla isikebhe;indoda|indoda egwedla isikebhe|isikebhe|ukugwedla isikebhe
	🚣🏻‍♂️;indoda egwedla isikebhe: uhlobo-1-2;indoda|indoda egwedla isikebhe|indoda egwedla isikebhe: uhlobo-1-2|isikebhe|uhlobo-1-2|ukugwedla isikebhe
	🚣🏼‍♂️;indoda egwedla isikebhe: uhlobo-3;indoda|indoda egwedla isikebhe|indoda egwedla isikebhe: uhlobo-3|isikebhe|uhlobo-3|ukugwedla isikebhe
	🚣🏽‍♂️;indoda egwedla isikebhe: uhlobo-4;indoda|indoda egwedla isikebhe|indoda egwedla isikebhe: uhlobo-4|isikebhe|uhlobo-4|ukugwedla isikebhe
