[smileys_emotion]
😀;шырока ўсміхаецца;зубы|усмешка|шырока ўсміхаецца
	🤹🏽;жанглёр: сярэдні тон скуры;жанглёр|жанглёр: сярэдні тон скуры|раўнавага|сярэдні тон скуры|умельства|шматзадачнасць
	🤹🏾;жанглёр: сярэдняцёмны тон скуры;жанглёр|жанглёр: сярэдняцёмны тон скуры|раўнавага|сярэдняцёмны тон скуры|умельства|шматзадачнасць
	🤹🏿;жанглёр: цёмны тон скуры;жанглёр|жанглёр: цёмны тон скуры|раўнавага|умельства|цёмны тон скуры|шматзадачнасць
🤹‍♂️;мужчына жангліруе;жангліраванне|мужчына|мужчына жангліруе|умельства|шматзадачнасць
	🤹🏻‍♂️;мужчына жангліруе: светлы тон скуры;жангліраванне|мужчына|мужчына жангліруе|мужчына жангліруе: светлы тон скуры|светлы тон скуры|умельства|шматзадачнасць
	🤹🏼‍♂️;мужчына жангліруе: сярэднясветлы тон скуры;жангліраванне|мужчына|мужчына жангліруе|мужчына жангліруе: сярэднясветлы тон скуры|сярэднясветлы тон скуры|умельства|шматзадачнасць
	🤹🏽‍♂️;мужчына жангліруе: сярэдні тон скуры;жангліраванне|мужчына|мужчына жангліруе|мужчына жангліруе: сярэдні тон скуры|сярэдні тон скуры|умельства|шматзадачнасць
	🤹🏾‍♂️;мужчына жангліруе: сярэдняцёмны тон скуры;жангліраванне|мужчына|мужчына жангліруе|мужчына жангліруе: сярэдняцёмны тон скуры|сярэдняцёмны тон скуры|умельства|шматзадачнасць
	🤹🏿‍♂️;мужчына жангліруе: цёмны тон скуры;жангліраванне|мужчына|мужчына жангліруе|мужчына жангліруе: цёмны тон скуры|умельства|цёмны тон скуры|шматзадачнасць
🤹‍♀️;жанглёрка;жанглёрка|жангліраванне|жанчына|умельства|шматзадачнасць
	🤹🏻‍♀️;жанглёрка: светлы тон скуры;жанглёрка|жанглёрка: светлы тон скуры|жангліраванне|жанчына|светлы тон скуры|умельства|шматзадачнасць
	🤹🏼‍♀️;жанглёрка: сярэднясветлы тон скуры;жанглёрка|жанглёрка: сярэднясветлы тон скуры|жангліраванне|жанчына|сярэднясветлы тон скуры|умельства|шматзадачнасць
	🤹🏽‍♀️;жанглёрка: сярэдні тон скуры;жанглёрка|жанглёрка: сярэдні тон скуры|жангліраванне|жанчына|сярэдні тон скуры|умельства|шматзадачнасць
	🤹🏾‍♀️;жанглёрка: сярэдняцёмны тон скуры;жанглёрка|жанглёрка: сярэдняцёмны тон скуры|жангліраванне|жанчына|сярэдняцёмны тон скуры|умельства|шматзадачнасць
	🤹🏿‍♀️;жанглёрка: цёмны тон скуры;жанглёрка|жанглёрка: цёмны тон скуры|жангліраванне|жанчына|умельства|цёмны тон скуры|шматзадачнасць
🧘;чалавек у позе лотаса;ёга|медытацыя|чалавек у позе лотаса
	🧘🏻;чалавек у позе лотаса: светлы тон скуры;ёга|медытацыя|светлы тон скуры|чалавек у позе лотаса|чалавек у позе лотаса: светлы тон скуры
	🧘🏼;чалавек у позе лотаса: сярэднясветлы тон скуры;ёга|медытацыя|сярэднясветлы тон скуры|чалавек у позе лотаса|чалавек у позе лотаса: сярэднясветлы тон скуры
