[smileys_emotion]
😀;સ્મિત કરતો ચહેરો;ચહેરો|સ્મિત|સ્મિત કરતો ચહેરો
	🏄🏽‍♀️;સર્ફિંગ કરતી સ્ત્રી: મધ્યમ ચામડીનો રંગ;મધ્યમ ચામડીનો રંગ|સર્ફિંગ|સર્ફિંગ કરતી સ્ત્રી|સર્ફિંગ કરતી સ્ત્રી: મધ્યમ ચામડીનો રંગ|સ્ત્રી
	🏄🏾‍♀️;સર્ફિંગ કરતી સ્ત્રી: મધ્યમ ઘેરો ચામડીનો રંગ;મધ્યમ ઘેરો ચામડીનો રંગ|સર્ફિંગ|સર્ફિંગ કરતી સ્ત્રી|સર્ફિંગ કરતી સ્ત્રી: મધ્યમ ઘેરો ચામડીનો રંગ|સ્ત્રી
	🏄🏿‍♀️;સર્ફિંગ કરતી સ્ત્રી: ઘેરો ચામડીનો રંગ;ઘેરો ચામડીનો રંગ|સર્ફિંગ|સર્ફિંગ કરતી સ્ત્રી|સર્ફિંગ કરતી સ્ત્રી: ઘેરો ચામડીનો રંગ|સ્ત્રી
🚣;હોડી;નાવડી|વાહન|હોડી
	🚣🏻;હોડી: ચામડીનો આછો રંગ;ચામડીનો આછો રંગ|નાવડી|વાહન|હોડી|હોડી: ચામડીનો આછો રંગ
	🚣🏼;હોડી: ચામડીનો મધ્યમ આછો રંગ;ચામડીનો મધ્યમ આછો રંગ|નાવડી|વાહન|હોડી|હોડી: ચામડીનો મધ્યમ આછો રંગ
	🚣🏽;હોડી: મધ્યમ ચામડીનો રંગ;નાવડી|મધ્યમ ચામડીનો રંગ|વાહન|હોડી|હોડી: મધ્યમ ચામડીનો રંગ
	🚣🏾;હોડી: મધ્યમ ઘેરો ચામડીનો રંગ;નાવડી|મધ્યમ ઘેરો ચામડીનો રંગ|વાહન|હોડી|હોડી: મધ્યમ ઘેરો ચામડીનો રંગ
	🚣🏿;હોડી: ઘેરો ચામડીનો રંગ;ઘેરો ચામડીનો રંગ|નાવડી|વાહન|હોડી|હોડી: ઘેરો ચામડીનો રંગ
🚣‍♂️;હોડી ચલાવતો પુરુષ;પુરુષ|હોડી|હોડી ચલાવતો પુરુષ
	🚣🏻‍♂️;હોડી ચલાવતો પુરુષ: ચામડીનો આછો રંગ;ચામડીનો આછો રંગ|પુરુષ|હોડી|હોડી ચલાવતો પુરુષ|હોડી ચલાવતો પુરુષ: ચામડીનો આછો રંગ
	🚣🏼‍♂️;હોડી ચલાવતો પુરુષ: ચામડીનો મધ્યમ આછો રંગ;ચામડીનો મધ્યમ આછો રંગ|પુરુષ|હોડી|હોડી ચલાવતો પુરુષ|હોડી ચલાવતો પુરુષ: ચામડીનો મધ્યમ આછો રંગ
	🚣🏽‍♂️;હોડી ચલાવતો પુરુષ: મધ્યમ ચામડીનો રંગ;પુરુષ|મધ્યમ ચામડીનો રંગ|હોડી|હોડી ચલાવતો પુરુષ|હોડી ચલાવતો પુરુષ: મધ્યમ ચામડીનો રંગ
	🚣🏾‍♂️;હોડી ચલાવતો પુરુષ: મધ્યમ ઘેરો ચામડીનો રંગ;પુરુષ|મધ્યમ ઘેરો ચામડીનો રંગ|હોડી|હોડી ચલાવતો પુરુષ|હોડી ચલાવતો પુરુષ: મધ્યમ ઘેરો ચામડીનો રંગ
	🚣🏿‍♂️;હોડી ચલાવતો પુરુષ: ઘેરો ચામડીનો રંગ;ઘેરો ચામડીનો રંગ|પુરુષ|હોડી|હોડી ચલાવતો પુરુષ|હોડી ચલાવતો પુરુષ: ઘેરો ચામડીનો રંગ
🚣‍♀️;હોડી ચલાવતી સ્ત્રી;સ્ત્રી|હોડી|હોડી ચલાવતી સ્ત્રી
	🚣🏻‍♀️;હોડી ચલાવતી સ્ત્રી: ચામડીનો આછો રંગ;ચામડીનો આછો રંગ|સ્ત્રી|હોડી|હોડી ચલાવતી સ્ત્રી|હોડી ચલાવતી સ્ત્રી: ચામડીનો આછો રંગ
	🚣🏼‍♀️;હોડી ચલાવતી સ્ત્રી: ચામડીનો મધ્યમ આછો રંગ;ચામડીનો મધ્યમ આછો રંગ|સ્ત્રી|હોડી|હોડી ચલાવતી સ્ત્રી|હોડી ચલાવતી સ્ત્રી: ચામડીનો મધ્યમ આછો રંગ
	🚣🏽‍♀️;હોડી ચલાવતી સ્ત્રી: મધ્યમ ચામડીનો રંગ;મધ્યમ ચામડીનો રંગ|સ્ત્રી|હોડી|હોડી ચલાવતી સ્ત્રી|હોડી ચલાવતી સ્ત્રી: મધ્યમ ચામડીનો રંગ
	🚣🏾‍♀️;હોડી ચલાવતી સ્ત્રી: મધ્યમ ઘેરો ચામડીનો રંગ;મધ્યમ ઘેરો ચામડીનો રંગ|સ્ત્રી|હોડી|હોડી ચલાવતી સ્ત્રી|હોડી ચલાવતી સ્ત્રી: મધ્યમ ઘેરો ચામડીનો રંગ
	🚣🏿‍♀️;હોડી ચલાવતી સ્ત્રી: ઘેરો ચામડીનો રંગ;ઘેરો ચામડીનો રંગ|સ્ત્રી|હોડી|હોડી ચલાવતી સ્ત્રી|હોડી ચલાવતી સ્ત્રી: ઘેરો ચામડીનો રંગ
🏊;સ્વિમર (તરવૈયો);ખેલ કૂદ|તરણ|તરવું|સ્વિમર (તરવૈયો)
	🏊🏻;સ્વિમર (તરવૈયો): ચામડીનો આછો રંગ;ખેલ કૂદ|ચામડીનો આછો રંગ|તરણ|તરવું|સ્વિમર (તરવૈયો)|સ્વિમર (તરવૈયો): ચામડીનો આછો રંગ
	🏊🏼;સ્વિમર (તરવૈયો): ચામડીનો મધ્યમ આછો રંગ;ખેલ કૂદ|ચામડીનો મધ્યમ આછો રંગ|તરણ|તરવું|સ્વિમર (તરવૈયો)|સ્વિમર (તરવૈયો): ચામડીનો મધ્યમ આછો રંગ
	🏊🏽;સ્વિમર (તરવૈયો): મધ્યમ ચામડીનો રંગ;ખેલ કૂદ|તરણ|તરવું|મધ્યમ ચામડીનો રંગ|સ્વિમર (તરવૈયો)|સ્વિમર (તરવૈયો): મધ્યમ ચામડીનો રંગ
	🏊🏾;સ્વિમર (તરવૈયો): મધ્યમ ઘેરો ચામડીનો રંગ;ખેલ કૂદ|તરણ|તરવું|મધ્યમ ઘેરો ચામડીનો રંગ|સ્વિમર (તરવૈયો)|સ્વિમર (તરવૈયો): મધ્યમ ઘેરો ચામડીનો રંગ
	🏊🏿;સ્વિમર (તરવૈયો): ઘેરો ચામડીનો રંગ;ખેલ કૂદ|ઘેરો ચામડીનો રંગ|તરણ|તરવું|સ્વિમર (તરવૈયો)|સ્વિમર (તરવૈયો): ઘેરો ચામડીનો રંગ
🏊‍♂️;સ્વિમ કરતો પુરુષ;પુરુષ|સ્વિમ|સ્વિમ કરતો પુરુષ
	🏊🏻‍♂️;સ્વિમ કરતો પુરુષ: ચામડીનો આછો રંગ;ચામડીનો આછો રંગ|પુરુષ|સ્વિમ|સ્વિમ કરતો પુરુષ|સ્વિમ કરતો પુરુષ: ચામડીનો આછો રંગ
	🏊🏼‍♂️;સ્વિમ કરતો પુરુષ: ચામડીનો મધ્યમ આછો રંગ;ચામડીનો મધ્યમ આછો રંગ|પુરુષ|સ્વિમ|સ્વિમ કરતો પુરુષ|સ્વિમ કરતો પુરુષ: ચામડીનો મધ્યમ આછો રંગ
	🏊🏽‍♂️;સ્વિમ કરતો પુરુષ: મધ્યમ ચામડીનો રંગ;પુરુષ|મધ્યમ ચામડીનો રંગ|સ્વિમ|સ્વિમ કરતો પુરુષ|સ્વિમ કરતો પુરુષ: મધ્યમ ચામડીનો રંગ
	🏊🏾‍♂️;સ્વિમ કરતો પુરુષ: મધ્યમ ઘેરો ચામડીનો રંગ;પુરુષ|મધ્યમ ઘેરો ચામડીનો રંગ|સ્વિમ|સ્વિમ કરતો પુરુષ|સ્વિમ કરતો પુરુષ: મધ્યમ ઘેરો ચામડીનો રંગ
	🏊🏿‍♂️;સ્વિમ કરતો પુરુષ: ઘેરો ચામડીનો રંગ;ઘેરો ચામડીનો રંગ|પુરુષ|સ્વિમ|સ્વિમ કરતો પુરુષ|સ્વિમ કરતો પુરુષ: ઘેરો ચામડીનો રંગ
🏊‍♀️;સ્વિમ કરતી સ્ત્રી;સ્ત્રી|સ્વિમ|સ્વિમ કરતી સ્ત્રી
	🏊🏻‍♀️;સ્વિમ કરતી સ્ત્રી: ચામડીનો આછો રંગ;ચામડીનો આછો રંગ|સ્ત્રી|સ્વિમ|સ્વિમ કરતી સ્ત્રી|સ્વિમ કરતી સ્ત્રી: ચામડીનો આછો રંગ
	🏊🏼‍♀️;સ્વિમ કરતી સ્ત્રી: ચામડીનો મધ્યમ આછો રંગ;ચામડીનો મધ્યમ આછો રંગ|સ્ત્રી|સ્વિમ|સ્વિમ કરતી સ્ત્રી|સ્વિમ કરતી સ્ત્રી: ચામડીનો મધ્યમ આછો રંગ
	🏊🏽‍♀️;સ્વિમ કરતી સ્ત્રી: મધ્યમ ચામડીનો રંગ;મધ્યમ ચામડીનો રંગ|સ્ત્રી|સ્વિમ|સ્વિમ કરતી સ્ત્રી|સ્વિમ કરતી સ્ત્રી: મધ્યમ ચામડીનો રંગ
	🏊🏾‍♀️;સ્વિમ કરતી સ્ત્રી: મધ્યમ ઘેરો ચામડીનો રંગ;મધ્યમ ઘેરો ચામડીનો રંગ|સ્ત્રી|સ્વિમ|સ્વિમ કરતી સ્ત્રી|સ્વિમ કરતી સ્ત્રી: મધ્યમ ઘેરો ચામડીનો રંગ
	🏊🏿‍♀️;સ્વિમ કરતી સ્ત્રી: ઘેરો ચામડીનો રંગ;ઘેરો ચામડીનો રંગ|સ્ત્રી|સ્વિમ|સ્વિમ કરતી સ્ત્રી|સ્વિમ કરતી સ્ત્રી: ઘેરો ચામડીનો રંગ
⛹️;બોલ સાથેની વ્યક્તિ;દડો|બોલ|બોલ સાથેની વ્યક્તિ
	⛹🏻;બોલ સાથેની વ્યક્તિ: ચામડીનો આછો રંગ;ચામડીનો આછો રંગ|દડો|બોલ|બોલ સાથેની વ્યક્તિ|બોલ સાથેની વ્યક્તિ: ચામડીનો આછો રંગ
	⛹🏼;બોલ સાથેની વ્યક્તિ: ચામડીનો મધ્યમ આછો રંગ;ચામડીનો મધ્યમ આછો રંગ|દડો|બોલ|બોલ સાથેની વ્યક્તિ|બોલ સાથેની વ્યક્તિ: ચામડીનો મધ્યમ આછો રંગ
