[smileys_emotion]
😀;tirjaygan yuz;tirjaygan yuz|tirjayish|yuz
👩‍🦯‍➡️;o‘ngga qaragan hassali ayol;ayol|hassali ayol|koʻr|nogironlik|o‘ngga qaragan hassali ayol
	👩🏻‍🦯‍➡️;o‘ngga qaragan hassali ayol;ayol|hassali ayol|koʻr|nogironlik|o‘ngga qaragan hassali ayol
	👩🏼‍🦯‍➡️;o‘ngga qaragan hassali ayol;ayol|hassali ayol|koʻr|nogironlik|o‘ngga qaragan hassali ayol
	👩🏽‍🦯‍➡️;o‘ngga qaragan hassali ayol;ayol|hassali ayol|koʻr|nogironlik|o‘ngga qaragan hassali ayol
	👩🏾‍🦯‍➡️;o‘ngga qaragan hassali ayol;ayol|hassali ayol|koʻr|nogironlik|o‘ngga qaragan hassali ayol
	👩🏿‍🦯‍➡️;o‘ngga qaragan hassali ayol;ayol|hassali ayol|koʻr|nogironlik|o‘ngga qaragan hassali ayol
🧑‍🦼;motorli nogironlar aravachasidagi odam;maxsus imkoniyatlar|motorli nogironlar aravachasidagi odam|nogironlar aravachasi
	🧑🏻‍🦼;motorli nogironlar aravachasidagi odam: 1–2-teri turi;1–2-teri turi|maxsus imkoniyatlar|motorli nogironlar aravachasidagi odam|motorli nogironlar aravachasidagi odam: 1–2-teri turi|nogironlar aravachasi
	🧑🏼‍🦼;motorli nogironlar aravachasidagi odam: 3-teri turi;3-teri turi|maxsus imkoniyatlar|motorli nogironlar aravachasidagi odam|motorli nogironlar aravachasidagi odam: 3-teri turi|nogironlar aravachasi
	🧑🏽‍🦼;motorli nogironlar aravachasidagi odam: 4-teri turi;4-teri turi|maxsus imkoniyatlar|motorli nogironlar aravachasidagi odam|motorli nogironlar aravachasidagi odam: 4-teri turi|nogironlar aravachasi
	🧑🏾‍🦼;motorli nogironlar aravachasidagi odam: 5-teri turi;5-teri turi|maxsus imkoniyatlar|motorli nogironlar aravachasidagi odam|motorli nogironlar aravachasidagi odam: 5-teri turi|nogironlar aravachasi
	🧑🏿‍🦼;motorli nogironlar aravachasidagi odam: 6-teri turi;6-teri turi|maxsus imkoniyatlar|motorli nogironlar aravachasidagi odam|motorli nogironlar aravachasidagi odam: 6-teri turi|nogironlar aravachasi
🧑‍🦼‍➡️;o‘ngga qaragan motorli nogironlar aravachasidagi odam;maxsus imkoniyatlar|motorli nogironlar aravachasidagi odam|nogironlar aravachasi|o‘ngga qaragan motorli nogironlar aravachasidagi odam
	🧑🏻‍🦼‍➡️;o‘ngga qaragan motorli nogironlar aravachasidagi odam;maxsus imkoniyatlar|motorli nogironlar aravachasidagi odam|nogironlar aravachasi|o‘ngga qaragan motorli nogironlar aravachasidagi odam
	🧑🏼‍🦼‍➡️;o‘ngga qaragan motorli nogironlar aravachasidagi odam;maxsus imkoniyatlar|motorli nogironlar aravachasidagi odam|nogironlar aravachasi|o‘ngga qaragan motorli nogironlar aravachasidagi odam
	🧑🏽‍🦼‍➡️;o‘ngga qaragan motorli nogironlar aravachasidagi odam;maxsus imkoniyatlar|motorli nogironlar aravachasidagi odam|nogironlar aravachasi|o‘ngga qaragan motorli nogironlar aravachasidagi odam
	🧑🏾‍🦼‍➡️;o‘ngga qaragan motorli nogironlar aravachasidagi odam;maxsus imkoniyatlar|motorli nogironlar aravachasidagi odam|nogironlar aravachasi|o‘ngga qaragan motorli nogironlar aravachasidagi odam
	🧑🏿‍🦼‍➡️;o‘ngga qaragan motorli nogironlar aravachasidagi odam;maxsus imkoniyatlar|motorli nogironlar aravachasidagi odam|nogironlar aravachasi|o‘ngga qaragan motorli nogironlar aravachasidagi odam
👨‍🦼;motorli nogironlik aravachasidagi erkak;erkak|motorli nogironlik aravachasidagi erkak|nogironlik|nogironlik aravachasi
	👨🏻‍🦼;motorli nogironlik aravachasidagi erkak: 1–2-teri turi;1–2-teri turi|erkak|motorli nogironlik aravachasidagi erkak|motorli nogironlik aravachasidagi erkak: 1–2-teri turi|nogironlik|nogironlik aravachasi
	👨🏼‍🦼;motorli nogironlik aravachasidagi erkak: 3-teri turi;3-teri turi|erkak|motorli nogironlik aravachasidagi erkak|motorli nogironlik aravachasidagi erkak: 3-teri turi|nogironlik|nogironlik aravachasi
	👨🏽‍🦼;motorli nogironlik aravachasidagi erkak: 4-teri turi;4-teri turi|erkak|motorli nogironlik aravachasidagi erkak|motorli nogironlik aravachasidagi erkak: 4-teri turi|nogironlik|nogironlik aravachasi
	👨🏾‍🦼;motorli nogironlik aravachasidagi erkak: 5-teri turi;5-teri turi|erkak|motorli nogironlik aravachasidagi erkak|motorli nogironlik aravachasidagi erkak: 5-teri turi|nogironlik|nogironlik aravachasi
	👨🏿‍🦼;motorli nogironlik aravachasidagi erkak: 6-teri turi;6-teri turi|erkak|motorli nogironlik aravachasidagi erkak|motorli nogironlik aravachasidagi erkak: 6-teri turi|nogironlik|nogironlik aravachasi
👨‍🦼‍➡️;o‘ngga qaragan motorli nogironlik aravachasidagi erkak;erkak|motorli nogironlik aravachasidagi erkak|nogironlik|nogironlik aravachasi|o‘ngga qaragan motorli nogironlik aravachasidagi erkak
	👨🏻‍🦼‍➡️;o‘ngga qaragan motorli nogironlik aravachasidagi erkak;erkak|motorli nogironlik aravachasidagi erkak|nogironlik|nogironlik aravachasi|o‘ngga qaragan motorli nogironlik aravachasidagi erkak
	👨🏼‍🦼‍➡️;o‘ngga qaragan motorli nogironlik aravachasidagi erkak;erkak|motorli nogironlik aravachasidagi erkak|nogironlik|nogironlik aravachasi|o‘ngga qaragan motorli nogironlik aravachasidagi erkak
	👨🏽‍🦼‍➡️;o‘ngga qaragan motorli nogironlik aravachasidagi erkak;erkak|motorli nogironlik aravachasidagi erkak|nogironlik|nogironlik aravachasi|o‘ngga qaragan motorli nogironlik aravachasidagi erkak
	👨🏾‍🦼‍➡️;o‘ngga qaragan motorli nogironlik aravachasidagi erkak;erkak|motorli nogironlik aravachasidagi erkak|nogironlik|nogironlik aravachasi|o‘ngga qaragan motorli nogironlik aravachasidagi erkak
	👨🏿‍🦼‍➡️;o‘ngga qaragan motorli nogironlik aravachasidagi erkak;erkak|motorli nogironlik aravachasidagi erkak|nogironlik|nogironlik aravachasi|o‘ngga qaragan motorli nogironlik aravachasidagi erkak
👩‍🦼;motorli nogironlik aravachasidagi ayol;ayol|motorli nogironlik aravachasidagi ayol|nogironlik|nogironlik aravachasi
	👩🏻‍🦼;motorli nogironlik aravachasidagi ayol: 1–2-teri turi;1–2-teri turi|ayol|motorli nogironlik aravachasidagi ayol|motorli nogironlik aravachasidagi ayol: 1–2-teri turi|nogironlik|nogironlik aravachasi
	👩🏼‍🦼;motorli nogironlik aravachasidagi ayol: 3-teri turi;3-teri turi|ayol|motorli nogironlik aravachasidagi ayol|motorli nogironlik aravachasidagi ayol: 3-teri turi|nogironlik|nogironlik aravachasi
	👩🏽‍🦼;motorli nogironlik aravachasidagi ayol: 4-teri turi;4-teri turi|ayol|motorli nogironlik aravachasidagi ayol|motorli nogironlik aravachasidagi ayol: 4-teri turi|nogironlik|nogironlik aravachasi
	👩🏾‍🦼;motorli nogironlik aravachasidagi ayol: 5-teri turi;5-teri turi|ayol|motorli nogironlik aravachasidagi ayol|motorli nogironlik aravachasidagi ayol: 5-teri turi|nogironlik|nogironlik aravachasi
	👩🏿‍🦼;motorli nogironlik aravachasidagi ayol: 6-teri turi;6-teri turi|ayol|motorli nogironlik aravachasidagi ayol|motorli nogironlik aravachasidagi ayol: 6-teri turi|nogironlik|nogironlik aravachasi
👩‍🦼‍➡️;o‘ngga qaragan motorli nogironlik aravachasidagi ayol;ayol|motorli nogironlik aravachasidagi ayol|nogironlik|nogironlik aravachasi|o‘ngga qaragan motorli nogironlik aravachasidagi ayol
	👩🏻‍🦼‍➡️;o‘ngga qaragan motorli nogironlik aravachasidagi ayol;ayol|motorli nogironlik aravachasidagi ayol|nogironlik|nogironlik aravachasi|o‘ngga qaragan motorli nogironlik aravachasidagi ayol
	👩🏼‍🦼‍➡️;o‘ngga qaragan motorli nogironlik aravachasidagi ayol;ayol|motorli nogironlik aravachasidagi ayol|nogironlik|nogironlik aravachasi|o‘ngga qaragan motorli nogironlik aravachasidagi ayol
	👩🏽‍🦼‍➡️;o‘ngga qaragan motorli nogironlik aravachasidagi ayol;ayol|motorli nogironlik aravachasidagi ayol|nogironlik|nogironlik aravachasi|o‘ngga qaragan motorli nogironlik aravachasidagi ayol
	👩🏾‍🦼‍➡️;o‘ngga qaragan motorli nogironlik aravachasidagi ayol;ayol|motorli nogironlik aravachasidagi ayol|nogironlik|nogironlik aravachasi|o‘ngga qaragan motorli nogironlik aravachasidagi ayol
	👩🏿‍🦼‍➡️;o‘ngga qaragan motorli nogironlik aravachasidagi ayol;ayol|motorli nogironlik aravachasidagi ayol|nogironlik|nogironlik aravachasi|o‘ngga qaragan motorli nogironlik aravachasidagi ayol
🧑‍🦽;nogironlar aravachasidagi odam;gʻildirakli aravacha|maxsus imkoniyatlar|nogironlar aravachasidagi odam
	🧑🏻‍🦽;nogironlar aravachasidagi odam: 1–2-teri turi;1–2-teri turi|gʻildirakli aravacha|maxsus imkoniyatlar|nogironlar aravachasidagi odam|nogironlar aravachasidagi odam: 1–2-teri turi
	🧑🏼‍🦽;nogironlar aravachasidagi odam: 3-teri turi;3-teri turi|gʻildirakli aravacha|maxsus imkoniyatlar|nogironlar aravachasidagi odam|nogironlar aravachasidagi odam: 3-teri turi
	🧑🏽‍🦽;nogironlar aravachasidagi odam: 4-teri turi;4-teri turi|gʻildirakli aravacha|maxsus imkoniyatlar|nogironlar aravachasidagi odam|nogironlar aravachasidagi odam: 4-teri turi
	🧑🏾‍🦽;nogironlar aravachasidagi odam: 5-teri turi;5-teri turi|gʻildirakli aravacha|maxsus imkoniyatlar|nogironlar aravachasidagi odam|nogironlar aravachasidagi odam: 5-teri turi
	🧑🏿‍🦽;nogironlar aravachasidagi odam: 6-teri turi;6-teri turi|gʻildirakli aravacha|maxsus imkoniyatlar|nogironlar aravachasidagi odam|nogironlar aravachasidagi odam: 6-teri turi
🧑‍🦽‍➡️;o‘ngga qaragan nogironlar aravachasidagi odam;gʻildirakli aravacha|maxsus imkoniyatlar|nogironlar aravachasidagi odam|o‘ngga qaragan nogironlar aravachasidagi odam
	🧑🏻‍🦽‍➡️;o‘ngga qaragan nogironlar aravachasidagi odam;gʻildirakli aravacha|maxsus imkoniyatlar|nogironlar aravachasidagi odam|o‘ngga qaragan nogironlar aravachasidagi odam
	🧑🏼‍🦽‍➡️;o‘ngga qaragan nogironlar aravachasidagi odam;gʻildirakli aravacha|maxsus imkoniyatlar|nogironlar aravachasidagi odam|o‘ngga qaragan nogironlar aravachasidagi odam
	🧑🏽‍🦽‍➡️;o‘ngga qaragan nogironlar aravachasidagi odam;gʻildirakli aravacha|maxsus imkoniyatlar|nogironlar aravachasidagi odam|o‘ngga qaragan nogironlar aravachasidagi odam
	🧑🏾‍🦽‍➡️;o‘ngga qaragan nogironlar aravachasidagi odam;gʻildirakli aravacha|maxsus imkoniyatlar|nogironlar aravachasidagi odam|o‘ngga qaragan nogironlar aravachasidagi odam
	🧑🏿‍🦽‍➡️;o‘ngga qaragan nogironlar aravachasidagi odam;gʻildirakli aravacha|maxsus imkoniyatlar|nogironlar aravachasidagi odam|o‘ngga qaragan nogironlar aravachasidagi odam
👨‍🦽;nogironlik aravachasidagi erkak;erkak|nogiron erkak|nogironlik|nogironlik aravachasi|nogironlik aravachasidagi erkak
	👨🏻‍🦽;nogironlik aravachasidagi erkak: 1–2-teri turi;1–2-teri turi|erkak|nogiron erkak|nogironlik|nogironlik aravachasi|nogironlik aravachasidagi erkak|nogironlik aravachasidagi erkak: 1–2-teri turi
	👨🏼‍🦽;nogironlik aravachasidagi erkak: 3-teri turi;3-teri turi|erkak|nogiron erkak|nogironlik|nogironlik aravachasi|nogironlik aravachasidagi erkak|nogironlik aravachasidagi erkak: 3-teri turi
	👨🏽‍🦽;nogironlik aravachasidagi erkak: 4-teri turi;4-teri turi|erkak|nogiron erkak|nogironlik|nogironlik aravachasi|nogironlik aravachasidagi erkak|nogironlik aravachasidagi erkak: 4-teri turi
	👨🏾‍🦽;nogironlik aravachasidagi erkak: 5-teri turi;5-teri turi|erkak|nogiron erkak|nogironlik|nogironlik aravachasi|nogironlik aravachasidagi erkak|nogironlik aravachasidagi erkak: 5-teri turi
	👨🏿‍🦽;nogironlik aravachasidagi erkak: 6-teri turi;6-teri turi|erkak|nogiron erkak|nogironlik|nogironlik aravachasi|nogironlik aravachasidagi erkak|nogironlik aravachasidagi erkak: 6-teri turi
👨‍🦽‍➡️;o‘ngga qaragan nogironlik aravachasidagi erkak;erkak|nogiron erkak|nogironlik|nogironlik aravachasi|nogironlik aravachasidagi erkak|o‘ngga qaragan nogironlik aravachasidagi erkak
	👨🏻‍🦽‍➡️;o‘ngga qaragan nogironlik aravachasidagi erkak;erkak|nogiron erkak|nogironlik|nogironlik aravachasi|nogironlik aravachasidagi erkak|o‘ngga qaragan nogironlik aravachasidagi erkak
	👨🏼‍🦽‍➡️;o‘ngga qaragan nogironlik aravachasidagi erkak;erkak|nogiron erkak|nogironlik|nogironlik aravachasi|nogironlik aravachasidagi erkak|o‘ngga qaragan nogironlik aravachasidagi erkak
	👨🏽‍🦽‍➡️;o‘ngga qaragan nogironlik aravachasidagi erkak;erkak|nogiron erkak|nogironlik|nogironlik aravachasi|nogironlik aravachasidagi erkak|o‘ngga qaragan nogironlik aravachasidagi erkak
	👨🏾‍🦽‍➡️;o‘ngga qaragan nogironlik aravachasidagi erkak;erkak|nogiron erkak|nogironlik|nogironlik aravachasi|nogironlik aravachasidagi erkak|o‘ngga qaragan nogironlik aravachasidagi erkak
	👨🏿‍🦽‍➡️;o‘ngga qaragan nogironlik aravachasidagi erkak;erkak|nogiron erkak|nogironlik|nogironlik aravachasi|nogironlik aravachasidagi erkak|o‘ngga qaragan nogironlik aravachasidagi erkak
👩‍🦽;nogironlik aravachasidagi ayol;ayol|nogiron ayol|nogironlik|nogironlik aravachasi|nogironlik aravachasidagi ayol
	👩🏻‍🦽;nogironlik aravachasidagi ayol: 1–2-teri turi;1–2-teri turi|ayol|nogiron ayol|nogironlik|nogironlik aravachasi|nogironlik aravachasidagi ayol|nogironlik aravachasidagi ayol: 1–2-teri turi
	👩🏼‍🦽;nogironlik aravachasidagi ayol: 3-teri turi;3-teri turi|ayol|nogiron ayol|nogironlik|nogironlik aravachasi|nogironlik aravachasidagi ayol|nogironlik aravachasidagi ayol: 3-teri turi
	👩🏽‍🦽;nogironlik aravachasidagi ayol: 4-teri turi;4-teri turi|ayol|nogiron ayol|nogironlik|nogironlik aravachasi|nogironlik aravachasidagi ayol|nogironlik aravachasidagi ayol: 4-teri turi
	👩🏾‍🦽;nogironlik aravachasidagi ayol: 5-teri turi;5-teri turi|ayol|nogiron ayol|nogironlik|nogironlik aravachasi|nogironlik aravachasidagi ayol|nogironlik aravachasidagi ayol: 5-teri turi
	👩🏿‍🦽;nogironlik aravachasidagi ayol: 6-teri turi;6-teri turi|ayol|nogiron ayol|nogironlik|nogironlik aravachasi|nogironlik aravachasidagi ayol|nogironlik aravachasidagi ayol: 6-teri turi
👩‍🦽‍➡️;o‘ngga qaragan nogironlik aravachasidagi ayol;ayol|nogiron ayol|nogironlik|nogironlik aravachasi|nogironlik aravachasidagi ayol|o‘ngga qaragan nogironlik aravachasidagi ayol
	👩🏻‍🦽‍➡️;o‘ngga qaragan nogironlik aravachasidagi ayol;ayol|nogiron ayol|nogironlik|nogironlik aravachasi|nogironlik aravachasidagi ayol|o‘ngga qaragan nogironlik aravachasidagi ayol
	👩🏼‍🦽‍➡️;o‘ngga qaragan nogironlik aravachasidagi ayol;ayol|nogiron ayol|nogironlik|nogironlik aravachasi|nogironlik aravachasidagi ayol|o‘ngga qaragan nogironlik aravachasidagi ayol
	👩🏽‍🦽‍➡️;o‘ngga qaragan nogironlik aravachasidagi ayol;ayol|nogiron ayol|nogironlik|nogironlik aravachasi|nogironlik aravachasidagi ayol|o‘ngga qaragan nogironlik aravachasidagi ayol
	👩🏾‍🦽‍➡️;o‘ngga qaragan nogironlik aravachasidagi ayol;ayol|nogiron ayol|nogironlik|nogironlik aravachasi|nogironlik aravachasidagi ayol|o‘ngga qaragan nogironlik aravachasidagi ayol
	👩🏿‍🦽‍➡️;o‘ngga qaragan nogironlik aravachasidagi ayol;ayol|nogiron ayol|nogironlik|nogironlik aravachasi|nogironlik aravachasidagi ayol|o‘ngga qaragan nogironlik aravachasidagi ayol
🏃;yuguruvchi;marafon|yugurish|yuguruvchi
	🏃🏻;yuguruvchi: 1–2-teri turi;1–2-teri turi|marafon|yugurish|yuguruvchi|yuguruvchi: 1–2-teri turi
	🏃🏼;yuguruvchi: 3-teri turi;3-teri turi|marafon|yugurish|yuguruvchi|yuguruvchi: 3-teri turi
	🏃🏽;yuguruvchi: 4-teri turi;4-teri turi|marafon|yugurish|yuguruvchi|yuguruvchi: 4-teri turi
	🏃🏾;yuguruvchi: 5-teri turi;5-teri turi|marafon|yugurish|yuguruvchi|yuguruvchi: 5-teri turi
	🏃🏿;yuguruvchi: 6-teri turi;6-teri turi|marafon|yugurish|yuguruvchi|yuguruvchi: 6-teri turi
🏃‍♂️;yugurayotgan erkak;erkak|marafon|poyga|yugurayotgan erkak|yugurish
	🏃🏻‍♂️;yugurayotgan erkak: 1–2-teri turi;1–2-teri turi|erkak|marafon|poyga|yugurayotgan erkak|yugurayotgan erkak: 1–2-teri turi|yugurish
	🏃🏼‍♂️;yugurayotgan erkak: 3-teri turi;3-teri turi|erkak|marafon|poyga|yugurayotgan erkak|yugurayotgan erkak: 3-teri turi|yugurish
	🏃🏽‍♂️;yugurayotgan erkak: 4-teri turi;4-teri turi|erkak|marafon|poyga|yugurayotgan erkak|yugurayotgan erkak: 4-teri turi|yugurish
	🏃🏾‍♂️;yugurayotgan erkak: 5-teri turi;5-teri turi|erkak|marafon|poyga|yugurayotgan erkak|yugurayotgan erkak: 5-teri turi|yugurish
	🏃🏿‍♂️;yugurayotgan erkak: 6-teri turi;6-teri turi|erkak|marafon|poyga|yugurayotgan erkak|yugurayotgan erkak: 6-teri turi|yugurish
🏃‍♀️;yugurayotgan ayol;ayol|marafon|poyga|yugurayotgan ayol|yugurish
	🏃🏻‍♀️;yugurayotgan ayol: 1–2-teri turi;1–2-teri turi|ayol|marafon|poyga|yugurayotgan ayol|yugurayotgan ayol: 1–2-teri turi|yugurish
	🏃🏼‍♀️;yugurayotgan ayol: 3-teri turi;3-teri turi|ayol|marafon|poyga|yugurayotgan ayol|yugurayotgan ayol: 3-teri turi|yugurish
	🏃🏽‍♀️;yugurayotgan ayol: 4-teri turi;4-teri turi|ayol|marafon|poyga|yugurayotgan ayol|yugurayotgan ayol: 4-teri turi|yugurish
	🏃🏾‍♀️;yugurayotgan ayol: 5-teri turi;5-teri turi|ayol|marafon|poyga|yugurayotgan ayol|yugurayotgan ayol: 5-teri turi|yugurish
	🏃🏿‍♀️;yugurayotgan ayol: 6-teri turi;6-teri turi|ayol|marafon|poyga|yugurayotgan ayol|yugurayotgan ayol: 6-teri turi|yugurish
🏃‍➡️;o‘ngga qaragan yuguruvchi;marafon|o‘ngga qaragan yuguruvchi|yugurish|yuguruvchi
	🏃🏻‍➡️;o‘ngga qaragan yuguruvchi;marafon|o‘ngga qaragan yuguruvchi|yugurish|yuguruvchi
	🏃🏼‍➡️;o‘ngga qaragan yuguruvchi;marafon|o‘ngga qaragan yuguruvchi|yugurish|yuguruvchi
	🏃🏽‍➡️;o‘ngga qaragan yuguruvchi;marafon|o‘ngga qaragan yuguruvchi|yugurish|yuguruvchi
	🏃🏾‍➡️;o‘ngga qaragan yuguruvchi;marafon|o‘ngga qaragan yuguruvchi|yugurish|yuguruvchi
	🏃🏿‍➡️;o‘ngga qaragan yuguruvchi;marafon|o‘ngga qaragan yuguruvchi|yugurish|yuguruvchi
🏃‍♀️‍➡️;o‘ngga qaragan yugurayotgan ayol;ayol|marafon|o‘ngga qaragan yugurayotgan ayol|poyga|yugurayotgan ayol|yugurish
	🏃🏻‍♀️‍➡️;o‘ngga qaragan yugurayotgan ayol;ayol|marafon|o‘ngga qaragan yugurayotgan ayol|poyga|yugurayotgan ayol|yugurish
	🏃🏼‍♀️‍➡️;o‘ngga qaragan yugurayotgan ayol;ayol|marafon|o‘ngga qaragan yugurayotgan ayol|poyga|yugurayotgan ayol|yugurish
	🏃🏽‍♀️‍➡️;o‘ngga qaragan yugurayotgan ayol;ayol|marafon|o‘ngga qaragan yugurayotgan ayol|poyga|yugurayotgan ayol|yugurish
	🏃🏾‍♀️‍➡️;o‘ngga qaragan yugurayotgan ayol;ayol|marafon|o‘ngga qaragan yugurayotgan ayol|poyga|yugurayotgan ayol|yugurish
	🏃🏿‍♀️‍➡️;o‘ngga qaragan yugurayotgan ayol;ayol|marafon|o‘ngga qaragan yugurayotgan ayol|poyga|yugurayotgan ayol|yugurish
🏃‍♂️‍➡️;o‘ngga qaragan yugurayotgan erkak;erkak|marafon|o‘ngga qaragan yugurayotgan erkak|poyga|yugurayotgan erkak|yugurish
	🏃🏻‍♂️‍➡️;o‘ngga qaragan yugurayotgan erkak;erkak|marafon|o‘ngga qaragan yugurayotgan erkak|poyga|yugurayotgan erkak|yugurish
	🏃🏼‍♂️‍➡️;o‘ngga qaragan yugurayotgan erkak;erkak|marafon|o‘ngga qaragan yugurayotgan erkak|poyga|yugurayotgan erkak|yugurish
	🏃🏽‍♂️‍➡️;o‘ngga qaragan yugurayotgan erkak;erkak|marafon|o‘ngga qaragan yugurayotgan erkak|poyga|yugurayotgan erkak|yugurish
	🏃🏾‍♂️‍➡️;o‘ngga qaragan yugurayotgan erkak;erkak|marafon|o‘ngga qaragan yugurayotgan erkak|poyga|yugurayotgan erkak|yugurish
	🏃🏿‍♂️‍➡️;o‘ngga qaragan yugurayotgan erkak;erkak|marafon|o‘ngga qaragan yugurayotgan erkak|poyga|yugurayotgan erkak|yugurish
💃;raqqosa;raqqosa|raqs
	💃🏻;raqqosa: 1–2-teri turi;1–2-teri turi|raqqosa|raqqosa: 1–2-teri turi|raqs
	💃🏼;raqqosa: 3-teri turi;3-teri turi|raqqosa|raqqosa: 3-teri turi|raqs
	💃🏽;raqqosa: 4-teri turi;4-teri turi|raqqosa|raqqosa: 4-teri turi|raqs
	💃🏾;raqqosa: 5-teri turi;5-teri turi|raqqosa|raqqosa: 5-teri turi|raqs
	💃🏿;raqqosa: 6-teri turi;6-teri turi|raqqosa|raqqosa: 6-teri turi|raqs
🕺;raqs tushayotgan erkak;erkak|raqs|raqs tushayotgan erkak
	🕺🏻;raqs tushayotgan erkak: 1–2-teri turi;1–2-teri turi|erkak|raqs|raqs tushayotgan erkak|raqs tushayotgan erkak: 1–2-teri turi
	🕺🏼;raqs tushayotgan erkak: 3-teri turi;3-teri turi|erkak|raqs|raqs tushayotgan erkak|raqs tushayotgan erkak: 3-teri turi
	🕺🏽;raqs tushayotgan erkak: 4-teri turi;4-teri turi|erkak|raqs|raqs tushayotgan erkak|raqs tushayotgan erkak: 4-teri turi
	🕺🏾;raqs tushayotgan erkak: 5-teri turi;5-teri turi|erkak|raqs|raqs tushayotgan erkak|raqs tushayotgan erkak: 5-teri turi
	🕺🏿;raqs tushayotgan erkak: 6-teri turi;6-teri turi|erkak|raqs|raqs tushayotgan erkak|raqs tushayotgan erkak: 6-teri turi
🕴️;kostyum kiygan muallaq holatdagi kishi;erkak|ish|kostyum|kostyum kiygan kishi|kostyum kiygan muallaq holatdagi kishi
	🕴🏻;kostyum kiygan muallaq holatdagi kishi: 1–2-teri turi;1–2-teri turi|erkak|ish|kostyum|kostyum kiygan kishi|kostyum kiygan muallaq holatdagi kishi|kostyum kiygan muallaq holatdagi kishi: 1–2-teri turi
	🕴🏼;kostyum kiygan muallaq holatdagi kishi: 3-teri turi;3-teri turi|erkak|ish|kostyum|kostyum kiygan kishi|kostyum kiygan muallaq holatdagi kishi|kostyum kiygan muallaq holatdagi kishi: 3-teri turi
	🕴🏽;kostyum kiygan muallaq holatdagi kishi: 4-teri turi;4-teri turi|erkak|ish|kostyum|kostyum kiygan kishi|kostyum kiygan muallaq holatdagi kishi|kostyum kiygan muallaq holatdagi kishi: 4-teri turi
	🕴🏾;kostyum kiygan muallaq holatdagi kishi: 5-teri turi;5-teri turi|erkak|ish|kostyum|kostyum kiygan kishi|kostyum kiygan muallaq holatdagi kishi|kostyum kiygan muallaq holatdagi kishi: 5-teri turi
	🕴🏿;kostyum kiygan muallaq holatdagi kishi: 6-teri turi;6-teri turi|erkak|ish|kostyum|kostyum kiygan kishi|kostyum kiygan muallaq holatdagi kishi|kostyum kiygan muallaq holatdagi kishi: 6-teri turi
👯;quyon quloqli odamlar;ayol|ayollar bazmi|qiz|quloq|quyon|quyon quloqli odamlar|raqs
👯‍♂️;quyon quloqli erkaklar;erkak|erkak vaqtichog‘liq qilmoqda|quyon qulog‘i|quyon quloqli erkaklar|raqqos|vaqtichog‘lik
