[smileys_emotion]
😀;glottandi andlit;andlit|glott|glottandi andlit
🧑‍🦯‍➡️;manneskja með blindrastaf snýr til hægri;aðgengi|manneskja með blindrastaf|manneskja með blindrastaf snýr til hægri|manneskja með hvítan staf|sjónlaus
	🧑🏻‍🦯‍➡️;manneskja með blindrastaf snýr til hægri;aðgengi|manneskja með blindrastaf|manneskja með blindrastaf snýr til hægri|manneskja með hvítan staf|sjónlaus
	🧑🏼‍🦯‍➡️;manneskja með blindrastaf snýr til hægri;aðgengi|manneskja með blindrastaf|manneskja með blindrastaf snýr til hægri|manneskja með hvítan staf|sjónlaus
	🧑🏽‍🦯‍➡️;manneskja með blindrastaf snýr til hægri;aðgengi|manneskja með blindrastaf|manneskja með blindrastaf snýr til hægri|manneskja með hvítan staf|sjónlaus
	🧑🏾‍🦯‍➡️;manneskja með blindrastaf snýr til hægri;aðgengi|manneskja með blindrastaf|manneskja með blindrastaf snýr til hægri|manneskja með hvítan staf|sjónlaus
	🧑🏿‍🦯‍➡️;manneskja með blindrastaf snýr til hægri;aðgengi|manneskja með blindrastaf|manneskja með blindrastaf snýr til hægri|manneskja með hvítan staf|sjónlaus
👨‍🦯;maður með blindrastaf;aðgengi|blindur|maður|maður með blindrastaf
	👨🏻‍🦯;maður með blindrastaf: ljós húðlitur;aðgengi|blindur|ljós húðlitur|maður|maður með blindrastaf|maður með blindrastaf: ljós húðlitur
	👨🏼‍🦯;maður með blindrastaf: meðalljós húðlitur;aðgengi|blindur|maður|maður með blindrastaf|maður með blindrastaf: meðalljós húðlitur|meðalljós húðlitur
	👨🏽‍🦯;maður með blindrastaf: millihúðlitur;aðgengi|blindur|maður|maður með blindrastaf|maður með blindrastaf: millihúðlitur|millihúðlitur
	👨🏾‍🦯;maður með blindrastaf: meðaldökkur húðlitur;aðgengi|blindur|maður|maður með blindrastaf|maður með blindrastaf: meðaldökkur húðlitur|meðaldökkur húðlitur
	👨🏿‍🦯;maður með blindrastaf: dökkur húðlitur;aðgengi|blindur|dökkur húðlitur|maður|maður með blindrastaf|maður með blindrastaf: dökkur húðlitur
👨‍🦯‍➡️;maður með blindrastaf snýr til hægri;aðgengi|blindur|maður|maður með blindrastaf|maður með blindrastaf snýr til hægri
	👨🏻‍🦯‍➡️;maður með blindrastaf snýr til hægri;aðgengi|blindur|maður|maður með blindrastaf|maður með blindrastaf snýr til hægri
	👨🏼‍🦯‍➡️;maður með blindrastaf snýr til hægri;aðgengi|blindur|maður|maður með blindrastaf|maður með blindrastaf snýr til hægri
	👨🏽‍🦯‍➡️;maður með blindrastaf snýr til hægri;aðgengi|blindur|maður|maður með blindrastaf|maður með blindrastaf snýr til hægri
	👨🏾‍🦯‍➡️;maður með blindrastaf snýr til hægri;aðgengi|blindur|maður|maður með blindrastaf|maður með blindrastaf snýr til hægri
	👨🏿‍🦯‍➡️;maður með blindrastaf snýr til hægri;aðgengi|blindur|maður|maður með blindrastaf|maður með blindrastaf snýr til hægri
👩‍🦯;kona með blindrastaf;aðgengi|blind|kona|kona með blindrastaf
	👩🏻‍🦯;kona með blindrastaf: ljós húðlitur;aðgengi|blind|kona|kona með blindrastaf|kona með blindrastaf: ljós húðlitur|ljós húðlitur
	👩🏼‍🦯;kona með blindrastaf: meðalljós húðlitur;aðgengi|blind|kona|kona með blindrastaf|kona með blindrastaf: meðalljós húðlitur|meðalljós húðlitur
	👩🏽‍🦯;kona með blindrastaf: millihúðlitur;aðgengi|blind|kona|kona með blindrastaf|kona með blindrastaf: millihúðlitur|millihúðlitur
	👩🏾‍🦯;kona með blindrastaf: meðaldökkur húðlitur;aðgengi|blind|kona|kona með blindrastaf|kona með blindrastaf: meðaldökkur húðlitur|meðaldökkur húðlitur
	👩🏿‍🦯;kona með blindrastaf: dökkur húðlitur;aðgengi|blind|dökkur húðlitur|kona|kona með blindrastaf|kona með blindrastaf: dökkur húðlitur
👩‍🦯‍➡️;kona með blindrastaf snýr til hægri;aðgengi|blind|kona|kona með blindrastaf|kona með blindrastaf snýr til hægri
	👩🏻‍🦯‍➡️;kona með blindrastaf snýr til hægri;aðgengi|blind|kona|kona með blindrastaf|kona með blindrastaf snýr til hægri
	👩🏼‍🦯‍➡️;kona með blindrastaf snýr til hægri;aðgengi|blind|kona|kona með blindrastaf|kona með blindrastaf snýr til hægri
	👩🏽‍🦯‍➡️;kona með blindrastaf snýr til hægri;aðgengi|blind|kona|kona með blindrastaf|kona með blindrastaf snýr til hægri
	👩🏾‍🦯‍➡️;kona með blindrastaf snýr til hægri;aðgengi|blind|kona|kona með blindrastaf|kona með blindrastaf snýr til hægri
	👩🏿‍🦯‍➡️;kona með blindrastaf snýr til hægri;aðgengi|blind|kona|kona með blindrastaf|kona með blindrastaf snýr til hægri
🧑‍🦼;manneskja í vélknúnum hjólastól;aðgengi|hjólastóll|manneskja í vélknúnum hjólastól
	🧑🏻‍🦼;manneskja í vélknúnum hjólastól: ljós húðlitur;aðgengi|hjólastóll|ljós húðlitur|manneskja í vélknúnum hjólastól|manneskja í vélknúnum hjólastól: ljós húðlitur
	🧑🏼‍🦼;manneskja í vélknúnum hjólastól: meðalljós húðlitur;aðgengi|hjólastóll|manneskja í vélknúnum hjólastól|manneskja í vélknúnum hjólastól: meðalljós húðlitur|meðalljós húðlitur
	🧑🏽‍🦼;manneskja í vélknúnum hjólastól: millihúðlitur;aðgengi|hjólastóll|manneskja í vélknúnum hjólastól|manneskja í vélknúnum hjólastól: millihúðlitur|millihúðlitur
	🧑🏾‍🦼;manneskja í vélknúnum hjólastól: meðaldökkur húðlitur;aðgengi|hjólastóll|manneskja í vélknúnum hjólastól|manneskja í vélknúnum hjólastól: meðaldökkur húðlitur|meðaldökkur húðlitur
	🧑🏿‍🦼;manneskja í vélknúnum hjólastól: dökkur húðlitur;aðgengi|dökkur húðlitur|hjólastóll|manneskja í vélknúnum hjólastól|manneskja í vélknúnum hjólastól: dökkur húðlitur
🧑‍🦼‍➡️;manneskja í vélknúnum hjólastól snýr til hægri;aðgengi|hjólastóll|manneskja í vélknúnum hjólastól|manneskja í vélknúnum hjólastól snýr til hægri
	🧑🏻‍🦼‍➡️;manneskja í vélknúnum hjólastól snýr til hægri;aðgengi|hjólastóll|manneskja í vélknúnum hjólastól|manneskja í vélknúnum hjólastól snýr til hægri
	🧑🏼‍🦼‍➡️;manneskja í vélknúnum hjólastól snýr til hægri;aðgengi|hjólastóll|manneskja í vélknúnum hjólastól|manneskja í vélknúnum hjólastól snýr til hægri
	🧑🏽‍🦼‍➡️;manneskja í vélknúnum hjólastól snýr til hægri;aðgengi|hjólastóll|manneskja í vélknúnum hjólastól|manneskja í vélknúnum hjólastól snýr til hægri
	🧑🏾‍🦼‍➡️;manneskja í vélknúnum hjólastól snýr til hægri;aðgengi|hjólastóll|manneskja í vélknúnum hjólastól|manneskja í vélknúnum hjólastól snýr til hægri
	🧑🏿‍🦼‍➡️;manneskja í vélknúnum hjólastól snýr til hægri;aðgengi|hjólastóll|manneskja í vélknúnum hjólastól|manneskja í vélknúnum hjólastól snýr til hægri
👨‍🦼;maður í vélknúnum hjólastól;aðgengi|hjólastóll|maður|maður í vélknúnum hjólastól
	👨🏻‍🦼;maður í vélknúnum hjólastól: ljós húðlitur;aðgengi|hjólastóll|ljós húðlitur|maður|maður í vélknúnum hjólastól|maður í vélknúnum hjólastól: ljós húðlitur
	👨🏼‍🦼;maður í vélknúnum hjólastól: meðalljós húðlitur;aðgengi|hjólastóll|maður|maður í vélknúnum hjólastól|maður í vélknúnum hjólastól: meðalljós húðlitur|meðalljós húðlitur
	👨🏽‍🦼;maður í vélknúnum hjólastól: millihúðlitur;aðgengi|hjólastóll|maður|maður í vélknúnum hjólastól|maður í vélknúnum hjólastól: millihúðlitur|millihúðlitur
	👨🏾‍🦼;maður í vélknúnum hjólastól: meðaldökkur húðlitur;aðgengi|hjólastóll|maður|maður í vélknúnum hjólastól|maður í vélknúnum hjólastól: meðaldökkur húðlitur|meðaldökkur húðlitur
	👨🏿‍🦼;maður í vélknúnum hjólastól: dökkur húðlitur;aðgengi|dökkur húðlitur|hjólastóll|maður|maður í vélknúnum hjólastól|maður í vélknúnum hjólastól: dökkur húðlitur
👨‍🦼‍➡️;maður í vélknúnum hjólastól snýr til hægri;aðgengi|hjólastóll|maður|maður í vélknúnum hjólastól|maður í vélknúnum hjólastól snýr til hægri
	👨🏻‍🦼‍➡️;maður í vélknúnum hjólastól snýr til hægri;aðgengi|hjólastóll|maður|maður í vélknúnum hjólastól|maður í vélknúnum hjólastól snýr til hægri
	👨🏼‍🦼‍➡️;maður í vélknúnum hjólastól snýr til hægri;aðgengi|hjólastóll|maður|maður í vélknúnum hjólastól|maður í vélknúnum hjólastól snýr til hægri
	👨🏽‍🦼‍➡️;maður í vélknúnum hjólastól snýr til hægri;aðgengi|hjólastóll|maður|maður í vélknúnum hjólastól|maður í vélknúnum hjólastól snýr til hægri
	👨🏾‍🦼‍➡️;maður í vélknúnum hjólastól snýr til hægri;aðgengi|hjólastóll|maður|maður í vélknúnum hjólastól|maður í vélknúnum hjólastól snýr til hægri
	👨🏿‍🦼‍➡️;maður í vélknúnum hjólastól snýr til hægri;aðgengi|hjólastóll|maður|maður í vélknúnum hjólastól|maður í vélknúnum hjólastól snýr til hægri
👩‍🦼;kona í vélknúnum hjólastól;aðgengi|hjólastóll|kona|kona í vélknúnum hjólastól
	👩🏻‍🦼;kona í vélknúnum hjólastól: ljós húðlitur;aðgengi|hjólastóll|kona|kona í vélknúnum hjólastól|kona í vélknúnum hjólastól: ljós húðlitur|ljós húðlitur
	👩🏼‍🦼;kona í vélknúnum hjólastól: meðalljós húðlitur;aðgengi|hjólastóll|kona|kona í vélknúnum hjólastól|kona í vélknúnum hjólastól: meðalljós húðlitur|meðalljós húðlitur
	👩🏽‍🦼;kona í vélknúnum hjólastól: millihúðlitur;aðgengi|hjólastóll|kona|kona í vélknúnum hjólastól|kona í vélknúnum hjólastól: millihúðlitur|millihúðlitur
	👩🏾‍🦼;kona í vélknúnum hjólastól: meðaldökkur húðlitur;aðgengi|hjólastóll|kona|kona í vélknúnum hjólastól|kona í vélknúnum hjólastól: meðaldökkur húðlitur|meðaldökkur húðlitur
	👩🏿‍🦼;kona í vélknúnum hjólastól: dökkur húðlitur;aðgengi|dökkur húðlitur|hjólastóll|kona|kona í vélknúnum hjólastól|kona í vélknúnum hjólastól: dökkur húðlitur
👩‍🦼‍➡️;kona í vélknúnum hjólastól snýr til hægri;aðgengi|hjólastóll|kona|kona í vélknúnum hjólastól|kona í vélknúnum hjólastól snýr til hægri
	👩🏻‍🦼‍➡️;kona í vélknúnum hjólastól snýr til hægri;aðgengi|hjólastóll|kona|kona í vélknúnum hjólastól|kona í vélknúnum hjólastól snýr til hægri
	👩🏼‍🦼‍➡️;kona í vélknúnum hjólastól snýr til hægri;aðgengi|hjólastóll|kona|kona í vélknúnum hjólastól|kona í vélknúnum hjólastól snýr til hægri
	👩🏽‍🦼‍➡️;kona í vélknúnum hjólastól snýr til hægri;aðgengi|hjólastóll|kona|kona í vélknúnum hjólastól|kona í vélknúnum hjólastól snýr til hægri
	👩🏾‍🦼‍➡️;kona í vélknúnum hjólastól snýr til hægri;aðgengi|hjólastóll|kona|kona í vélknúnum hjólastól|kona í vélknúnum hjólastól snýr til hægri
	👩🏿‍🦼‍➡️;kona í vélknúnum hjólastól snýr til hægri;aðgengi|hjólastóll|kona|kona í vélknúnum hjólastól|kona í vélknúnum hjólastól snýr til hægri
🧑‍🦽;manneskja í hjólastól;aðgengi|hjólastóll|manneskja í hjólastól
	🧑🏻‍🦽;manneskja í hjólastól: ljós húðlitur;aðgengi|hjólastóll|ljós húðlitur|manneskja í hjólastól|manneskja í hjólastól: ljós húðlitur
	🧑🏼‍🦽;manneskja í hjólastól: meðalljós húðlitur;aðgengi|hjólastóll|manneskja í hjólastól|manneskja í hjólastól: meðalljós húðlitur|meðalljós húðlitur
	🧑🏽‍🦽;manneskja í hjólastól: millihúðlitur;aðgengi|hjólastóll|manneskja í hjólastól|manneskja í hjólastól: millihúðlitur|millihúðlitur
	🧑🏾‍🦽;manneskja í hjólastól: meðaldökkur húðlitur;aðgengi|hjólastóll|manneskja í hjólastól|manneskja í hjólastól: meðaldökkur húðlitur|meðaldökkur húðlitur
	🧑🏿‍🦽;manneskja í hjólastól: dökkur húðlitur;aðgengi|dökkur húðlitur|hjólastóll|manneskja í hjólastól|manneskja í hjólastól: dökkur húðlitur
🧑‍🦽‍➡️;manneskja í hjólastól snýr til hægri;aðgengi|hjólastóll|manneskja í hjólastól|manneskja í hjólastól snýr til hægri
	🧑🏻‍🦽‍➡️;manneskja í hjólastól snýr til hægri;aðgengi|hjólastóll|manneskja í hjólastól|manneskja í hjólastól snýr til hægri
	🧑🏼‍🦽‍➡️;manneskja í hjólastól snýr til hægri;aðgengi|hjólastóll|manneskja í hjólastól|manneskja í hjólastól snýr til hægri
	🧑🏽‍🦽‍➡️;manneskja í hjólastól snýr til hægri;aðgengi|hjólastóll|manneskja í hjólastól|manneskja í hjólastól snýr til hægri
	🧑🏾‍🦽‍➡️;manneskja í hjólastól snýr til hægri;aðgengi|hjólastóll|manneskja í hjólastól|manneskja í hjólastól snýr til hægri
	🧑🏿‍🦽‍➡️;manneskja í hjólastól snýr til hægri;aðgengi|hjólastóll|manneskja í hjólastól|manneskja í hjólastól snýr til hægri
👨‍🦽;maður í hjólastól;aðgengi|hjólastóll|maður|maður í hjólastól
	👨🏻‍🦽;maður í hjólastól: ljós húðlitur;aðgengi|hjólastóll|ljós húðlitur|maður|maður í hjólastól|maður í hjólastól: ljós húðlitur
	👨🏼‍🦽;maður í hjólastól: meðalljós húðlitur;aðgengi|hjólastóll|maður|maður í hjólastól|maður í hjólastól: meðalljós húðlitur|meðalljós húðlitur
	👨🏽‍🦽;maður í hjólastól: millihúðlitur;aðgengi|hjólastóll|maður|maður í hjólastól|maður í hjólastól: millihúðlitur|millihúðlitur
	👨🏾‍🦽;maður í hjólastól: meðaldökkur húðlitur;aðgengi|hjólastóll|maður|maður í hjólastól|maður í hjólastól: meðaldökkur húðlitur|meðaldökkur húðlitur
	👨🏿‍🦽;maður í hjólastól: dökkur húðlitur;aðgengi|dökkur húðlitur|hjólastóll|maður|maður í hjólastól|maður í hjólastól: dökkur húðlitur
👨‍🦽‍➡️;maður í hjólastól snýr til hægri;aðgengi|hjólastóll|maður|maður í hjólastól|maður í hjólastól snýr til hægri
	👨🏻‍🦽‍➡️;maður í hjólastól snýr til hægri;aðgengi|hjólastóll|maður|maður í hjólastól|maður í hjólastól snýr til hægri
	👨🏼‍🦽‍➡️;maður í hjólastól snýr til hægri;aðgengi|hjólastóll|maður|maður í hjólastól|maður í hjólastól snýr til hægri
	👨🏽‍🦽‍➡️;maður í hjólastól snýr til hægri;aðgengi|hjólastóll|maður|maður í hjólastól|maður í hjólastól snýr til hægri
	👨🏾‍🦽‍➡️;maður í hjólastól snýr til hægri;aðgengi|hjólastóll|maður|maður í hjólastól|maður í hjólastól snýr til hægri
	👨🏿‍🦽‍➡️;maður í hjólastól snýr til hægri;aðgengi|hjólastóll|maður|maður í hjólastól|maður í hjólastól snýr til hægri
👩‍🦽;kona í hjólastól;aðgengi|hjólastóll|kona|kona í hjólastól
	👩🏻‍🦽;kona í hjólastól: ljós húðlitur;aðgengi|hjólastóll|kona|kona í hjólastól|kona í hjólastól: ljós húðlitur|ljós húðlitur
	👩🏼‍🦽;kona í hjólastól: meðalljós húðlitur;aðgengi|hjólastóll|kona|kona í hjólastól|kona í hjólastól: meðalljós húðlitur|meðalljós húðlitur
	👩🏽‍🦽;kona í hjólastól: millihúðlitur;aðgengi|hjólastóll|kona|kona í hjólastól|kona í hjólastól: millihúðlitur|millihúðlitur
	👩🏾‍🦽;kona í hjólastól: meðaldökkur húðlitur;aðgengi|hjólastóll|kona|kona í hjólastól|kona í hjólastól: meðaldökkur húðlitur|meðaldökkur húðlitur
	👩🏿‍🦽;kona í hjólastól: dökkur húðlitur;aðgengi|dökkur húðlitur|hjólastóll|kona|kona í hjólastól|kona í hjólastól: dökkur húðlitur
👩‍🦽‍➡️;kona í hjólastól snýr til hægri;aðgengi|hjólastóll|kona|kona í hjólastól|kona í hjólastól snýr til hægri
	👩🏻‍🦽‍➡️;kona í hjólastól snýr til hægri;aðgengi|hjólastóll|kona|kona í hjólastól|kona í hjólastól snýr til hægri
	👩🏼‍🦽‍➡️;kona í hjólastól snýr til hægri;aðgengi|hjólastóll|kona|kona í hjólastól|kona í hjólastól snýr til hægri
	👩🏽‍🦽‍➡️;kona í hjólastól snýr til hægri;aðgengi|hjólastóll|kona|kona í hjólastól|kona í hjólastól snýr til hægri
	👩🏾‍🦽‍➡️;kona í hjólastól snýr til hægri;aðgengi|hjólastóll|kona|kona í hjólastól|kona í hjólastól snýr til hægri
	👩🏿‍🦽‍➡️;kona í hjólastól snýr til hægri;aðgengi|hjólastóll|kona|kona í hjólastól|kona í hjólastól snýr til hægri
🏃;hlaupari;hlaup|hlaupari|maraþon
	🏃🏻;hlaupari: ljós húðlitur;hlaup|hlaupari|hlaupari: ljós húðlitur|ljós húðlitur|maraþon
	🏃🏼;hlaupari: meðalljós húðlitur;hlaup|hlaupari|hlaupari: meðalljós húðlitur|maraþon|meðalljós húðlitur
	🏃🏽;hlaupari: millihúðlitur;hlaup|hlaupari|hlaupari: millihúðlitur|maraþon|millihúðlitur
	🏃🏾;hlaupari: meðaldökkur húðlitur;hlaup|hlaupari|hlaupari: meðaldökkur húðlitur|maraþon|meðaldökkur húðlitur
	🏃🏿;hlaupari: dökkur húðlitur;dökkur húðlitur|hlaup|hlaupari|hlaupari: dökkur húðlitur|maraþon
🏃‍♂️;hlaupandi maður;hlaup|hlaupandi maður|maraþon
	🏃🏻‍♂️;hlaupandi maður: ljós húðlitur;hlaup|hlaupandi maður|hlaupandi maður: ljós húðlitur|ljós húðlitur|maraþon
	🏃🏼‍♂️;hlaupandi maður: meðalljós húðlitur;hlaup|hlaupandi maður|hlaupandi maður: meðalljós húðlitur|maraþon|meðalljós húðlitur
	🏃🏽‍♂️;hlaupandi maður: millihúðlitur;hlaup|hlaupandi maður|hlaupandi maður: millihúðlitur|maraþon|millihúðlitur
	🏃🏾‍♂️;hlaupandi maður: meðaldökkur húðlitur;hlaup|hlaupandi maður|hlaupandi maður: meðaldökkur húðlitur|maraþon|meðaldökkur húðlitur
	🏃🏿‍♂️;hlaupandi maður: dökkur húðlitur;dökkur húðlitur|hlaup|hlaupandi maður|hlaupandi maður: dökkur húðlitur|maraþon
🏃‍♀️;hlaupandi kona;hlaup|hlaupandi kona|maraþon
	🏃🏻‍♀️;hlaupandi kona: ljós húðlitur;hlaup|hlaupandi kona|hlaupandi kona: ljós húðlitur|ljós húðlitur|maraþon
	🏃🏼‍♀️;hlaupandi kona: meðalljós húðlitur;hlaup|hlaupandi kona|hlaupandi kona: meðalljós húðlitur|maraþon|meðalljós húðlitur
	🏃🏽‍♀️;hlaupandi kona: millihúðlitur;hlaup|hlaupandi kona|hlaupandi kona: millihúðlitur|maraþon|millihúðlitur
