[smileys_emotion]
😀;মুখে দেঁতো হাসি;দেঁতো হাসি|মুখ|মুখে দেঁতো হাসি
	🤾🏻;হ্যান্ডবল: হালকা ত্বকের রঙ;খেলা|বল|ব্যক্তি|হালকা ত্বকের রঙ|হ্যান্ডবল|হ্যান্ডবল: হালকা ত্বকের রঙ
	🤾🏼;হ্যান্ডবল: মাঝারি-হালকা ত্বকের রঙ;খেলা|বল|ব্যক্তি|মাঝারি-হালকা ত্বকের রঙ|হ্যান্ডবল|হ্যান্ডবল: মাঝারি-হালকা ত্বকের রঙ
	🤾🏽;হ্যান্ডবল: মাঝারি ত্বকের রঙ;খেলা|বল|ব্যক্তি|মাঝারি ত্বকের রঙ|হ্যান্ডবল|হ্যান্ডবল: মাঝারি ত্বকের রঙ
	🤾🏾;হ্যান্ডবল: মাঝারি-কালো ত্বকের রঙ;খেলা|বল|ব্যক্তি|মাঝারি-কালো ত্বকের রঙ|হ্যান্ডবল|হ্যান্ডবল: মাঝারি-কালো ত্বকের রঙ
	🤾🏿;হ্যান্ডবল: কালো ত্বকের রঙ;কালো ত্বকের রঙ|খেলা|বল|ব্যক্তি|হ্যান্ডবল|হ্যান্ডবল: কালো ত্বকের রঙ
🤾‍♂️;হ্যান্ডবল খেলছে এমন পুরুষ;খেলাধুলা|পুরুষ|ব্যক্তি|হ্যান্ডবল|হ্যান্ডবল খেলছে এমন পুরুষ
	🤾🏻‍♂️;হ্যান্ডবল খেলছে এমন পুরুষ: হালকা ত্বকের রঙ;খেলাধুলা|পুরুষ|ব্যক্তি|হালকা ত্বকের রঙ|হ্যান্ডবল|হ্যান্ডবল খেলছে এমন পুরুষ|হ্যান্ডবল খেলছে এমন পুরুষ: হালকা ত্বকের রঙ
	🤾🏼‍♂️;হ্যান্ডবল খেলছে এমন পুরুষ: মাঝারি-হালকা ত্বকের রঙ;খেলাধুলা|পুরুষ|ব্যক্তি|মাঝারি-হালকা ত্বকের রঙ|হ্যান্ডবল|হ্যান্ডবল খেলছে এমন পুরুষ|হ্যান্ডবল খেলছে এমন পুরুষ: মাঝারি-হালকা ত্বকের রঙ
	🤾🏽‍♂️;হ্যান্ডবল খেলছে এমন পুরুষ: মাঝারি ত্বকের রঙ;খেলাধুলা|পুরুষ|ব্যক্তি|মাঝারি ত্বকের রঙ|হ্যান্ডবল|হ্যান্ডবল খেলছে এমন পুরুষ|হ্যান্ডবল খেলছে এমন পুরুষ: মাঝারি ত্বকের রঙ
	🤾🏾‍♂️;হ্যান্ডবল খেলছে এমন পুরুষ: মাঝারি-কালো ত্বকের রঙ;খেলাধুলা|পুরুষ|ব্যক্তি|মাঝারি-কালো ত্বকের রঙ|হ্যান্ডবল|হ্যান্ডবল খেলছে এমন পুরুষ|হ্যান্ডবল খেলছে এমন পুরুষ: মাঝারি-কালো ত্বকের রঙ
	🤾🏿‍♂️;হ্যান্ডবল খেলছে এমন পুরুষ: কালো ত্বকের রঙ;কালো ত্বকের রঙ|খেলাধুলা|পুরুষ|ব্যক্তি|হ্যান্ডবল|হ্যান্ডবল খেলছে এমন পুরুষ|হ্যান্ডবল খেলছে এমন পুরুষ: কালো ত্বকের রঙ
🤾‍♀️;হ্যান্ডবল খেলছে এমন মহিলা;খেলাধুলা|ব্যক্তি|মহিলা|হ্যান্ডবল|হ্যান্ডবল খেলছে এমন মহিলা
	🤾🏻‍♀️;হ্যান্ডবল খেলছে এমন মহিলা: হালকা ত্বকের রঙ;খেলাধুলা|ব্যক্তি|মহিলা|হালকা ত্বকের রঙ|হ্যান্ডবল|হ্যান্ডবল খেলছে এমন মহিলা|হ্যান্ডবল খেলছে এমন মহিলা: হালকা ত্বকের রঙ
	🤾🏼‍♀️;হ্যান্ডবল খেলছে এমন মহিলা: মাঝারি-হালকা ত্বকের রঙ;খেলাধুলা|ব্যক্তি|মহিলা|মাঝারি-হালকা ত্বকের রঙ|হ্যান্ডবল|হ্যান্ডবল খেলছে এমন মহিলা|হ্যান্ডবল খেলছে এমন মহিলা: মাঝারি-হালকা ত্বকের রঙ
	🤾🏽‍♀️;হ্যান্ডবল খেলছে এমন মহিলা: মাঝারি ত্বকের রঙ;খেলাধুলা|ব্যক্তি|মহিলা|মাঝারি ত্বকের রঙ|হ্যান্ডবল|হ্যান্ডবল খেলছে এমন মহিলা|হ্যান্ডবল খেলছে এমন মহিলা: মাঝারি ত্বকের রঙ
	🤾🏾‍♀️;হ্যান্ডবল খেলছে এমন মহিলা: মাঝারি-কালো ত্বকের রঙ;খেলাধুলা|ব্যক্তি|মহিলা|মাঝারি-কালো ত্বকের রঙ|হ্যান্ডবল|হ্যান্ডবল খেলছে এমন মহিলা|হ্যান্ডবল খেলছে এমন মহিলা: মাঝারি-কালো ত্বকের রঙ
	🤾🏿‍♀️;হ্যান্ডবল খেলছে এমন মহিলা: কালো ত্বকের রঙ;কালো ত্বকের রঙ|খেলাধুলা|ব্যক্তি|মহিলা|হ্যান্ডবল|হ্যান্ডবল খেলছে এমন মহিলা|হ্যান্ডবল খেলছে এমন মহিলা: কালো ত্বকের রঙ
