[smileys_emotion]
😀;ፈገግ ያለ ፊት;ፈገግ ያለ ፊት|ፈገግታ|ፊት
	🧖🏿‍♀️;ሴት በእንፋሎት ክፍል ውስጥ: የቆዳ ዓይነት-6;ሴት በእንፋሎት ክፍል ውስጥ|ሴት በእንፋሎት ክፍል ውስጥ: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6
🧗;ሰው ተራራ ሲወጣ;ሰው ተራራ ሲወጣ
	🧗🏻;ሰው ተራራ ሲወጣ: የቆዳ ዓይነት-1-2;ሰው ተራራ ሲወጣ|ሰው ተራራ ሲወጣ: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2
	🧗🏼;ሰው ተራራ ሲወጣ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ሰው ተራራ ሲወጣ|ሰው ተራራ ሲወጣ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
	🧗🏽;ሰው ተራራ ሲወጣ: የቆዳ ዓይነት-4;ሰው ተራራ ሲወጣ|ሰው ተራራ ሲወጣ: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4
	🧗🏾;ሰው ተራራ ሲወጣ: የቆዳ ዓይነት-5;ሰው ተራራ ሲወጣ|ሰው ተራራ ሲወጣ: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5
	🧗🏿;ሰው ተራራ ሲወጣ: የቆዳ ዓይነት-6;ሰው ተራራ ሲወጣ|ሰው ተራራ ሲወጣ: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6
🧗‍♂️;ወንድ ተራራ ሲወጣ;ወንድ ተራራ ሲወጣ
	🧗🏻‍♂️;ወንድ ተራራ ሲወጣ: የቆዳ ዓይነት-1-2;ወንድ ተራራ ሲወጣ|ወንድ ተራራ ሲወጣ: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2
	🧗🏼‍♂️;ወንድ ተራራ ሲወጣ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ወንድ ተራራ ሲወጣ|ወንድ ተራራ ሲወጣ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
	🧗🏽‍♂️;ወንድ ተራራ ሲወጣ: የቆዳ ዓይነት-4;ወንድ ተራራ ሲወጣ|ወንድ ተራራ ሲወጣ: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4
	🧗🏾‍♂️;ወንድ ተራራ ሲወጣ: የቆዳ ዓይነት-5;ወንድ ተራራ ሲወጣ|ወንድ ተራራ ሲወጣ: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5
	🧗🏿‍♂️;ወንድ ተራራ ሲወጣ: የቆዳ ዓይነት-6;ወንድ ተራራ ሲወጣ|ወንድ ተራራ ሲወጣ: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6
🧗‍♀️;ሴት ተራራ ስትወጣ;ሴት ተራራ ስትወጣ
	🧗🏻‍♀️;ሴት ተራራ ስትወጣ: የቆዳ ዓይነት-1-2;ሴት ተራራ ስትወጣ|ሴት ተራራ ስትወጣ: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2
	🧗🏼‍♀️;ሴት ተራራ ስትወጣ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ሴት ተራራ ስትወጣ|ሴት ተራራ ስትወጣ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
	🧗🏽‍♀️;ሴት ተራራ ስትወጣ: የቆዳ ዓይነት-4;ሴት ተራራ ስትወጣ|ሴት ተራራ ስትወጣ: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4
	🧗🏾‍♀️;ሴት ተራራ ስትወጣ: የቆዳ ዓይነት-5;ሴት ተራራ ስትወጣ|ሴት ተራራ ስትወጣ: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5
	🧗🏿‍♀️;ሴት ተራራ ስትወጣ: የቆዳ ዓይነት-6;ሴት ተራራ ስትወጣ|ሴት ተራራ ስትወጣ: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6
🤺;ሻቦላ ተጫዋች;ሰው|ስፖርት|ሻቦላ|ሻቦላ መጫወት|ሻቦላ ተጫዋች
🏇;የፈረስ እሽቅድምድም;እሽቅድምድም|የእሽቅድምድም ፈረስ|የፈረስ እሽቅድምድም|ጆክሎክ|ፈረስ
	🏇🏻;የፈረስ እሽቅድምድም: የቆዳ ዓይነት-1-2;እሽቅድምድም|የቆዳ ዓይነት-1-2|የእሽቅድምድም ፈረስ|የፈረስ እሽቅድምድም|የፈረስ እሽቅድምድም: የቆዳ ዓይነት-1-2|ጆክሎክ|ፈረስ
	🏇🏼;የፈረስ እሽቅድምድም: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|እሽቅድምድም|የእሽቅድምድም ፈረስ|የፈረስ እሽቅድምድም|የፈረስ እሽቅድምድም: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ጆክሎክ|ፈረስ
	🏇🏽;የፈረስ እሽቅድምድም: የቆዳ ዓይነት-4;እሽቅድምድም|የቆዳ ዓይነት-4|የእሽቅድምድም ፈረስ|የፈረስ እሽቅድምድም|የፈረስ እሽቅድምድም: የቆዳ ዓይነት-4|ጆክሎክ|ፈረስ
	🏇🏾;የፈረስ እሽቅድምድም: የቆዳ ዓይነት-5;እሽቅድምድም|የቆዳ ዓይነት-5|የእሽቅድምድም ፈረስ|የፈረስ እሽቅድምድም|የፈረስ እሽቅድምድም: የቆዳ ዓይነት-5|ጆክሎክ|ፈረስ
	🏇🏿;የፈረስ እሽቅድምድም: የቆዳ ዓይነት-6;እሽቅድምድም|የቆዳ ዓይነት-6|የእሽቅድምድም ፈረስ|የፈረስ እሽቅድምድም|የፈረስ እሽቅድምድም: የቆዳ ዓይነት-6|ጆክሎክ|ፈረስ
⛷️;ስኪ ተጫዋች;ስኪ|ስኪ ተጫዋች|በረዶ
🏂;በረዶ ሸርተቴ ተጫዋች;ስኪ|በረዶ|በረዶ ሸርተቴ ተጫዋች|የበረዶ መንሸራተቻ
	🏂🏻;በረዶ ሸርተቴ ተጫዋች: የቆዳ ዓይነት-1-2;ስኪ|በረዶ|በረዶ ሸርተቴ ተጫዋች|በረዶ ሸርተቴ ተጫዋች: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2|የበረዶ መንሸራተቻ
	🏂🏼;በረዶ ሸርተቴ ተጫዋች: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ስኪ|በረዶ|በረዶ ሸርተቴ ተጫዋች|በረዶ ሸርተቴ ተጫዋች: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|የበረዶ መንሸራተቻ
	🏂🏽;በረዶ ሸርተቴ ተጫዋች: የቆዳ ዓይነት-4;ስኪ|በረዶ|በረዶ ሸርተቴ ተጫዋች|በረዶ ሸርተቴ ተጫዋች: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4|የበረዶ መንሸራተቻ
	🏂🏾;በረዶ ሸርተቴ ተጫዋች: የቆዳ ዓይነት-5;ስኪ|በረዶ|በረዶ ሸርተቴ ተጫዋች|በረዶ ሸርተቴ ተጫዋች: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5|የበረዶ መንሸራተቻ
	🏂🏿;በረዶ ሸርተቴ ተጫዋች: የቆዳ ዓይነት-6;ስኪ|በረዶ|በረዶ ሸርተቴ ተጫዋች|በረዶ ሸርተቴ ተጫዋች: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6|የበረዶ መንሸራተቻ
🏌️;ጎልፍ ተጫዋች;ኳስ|ጎልፍ|ጎልፍ ተጫዋች
	🏌🏻;ጎልፍ ተጫዋች: የቆዳ ዓይነት-1-2;ኳስ|የቆዳ ዓይነት-1-2|ጎልፍ|ጎልፍ ተጫዋች|ጎልፍ ተጫዋች: የቆዳ ዓይነት-1-2
	🏌🏼;ጎልፍ ተጫዋች: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ኳስ|ጎልፍ|ጎልፍ ተጫዋች|ጎልፍ ተጫዋች: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
	🏌🏽;ጎልፍ ተጫዋች: የቆዳ ዓይነት-4;ኳስ|የቆዳ ዓይነት-4|ጎልፍ|ጎልፍ ተጫዋች|ጎልፍ ተጫዋች: የቆዳ ዓይነት-4
	🏌🏾;ጎልፍ ተጫዋች: የቆዳ ዓይነት-5;ኳስ|የቆዳ ዓይነት-5|ጎልፍ|ጎልፍ ተጫዋች|ጎልፍ ተጫዋች: የቆዳ ዓይነት-5
	🏌🏿;ጎልፍ ተጫዋች: የቆዳ ዓይነት-6;ኳስ|የቆዳ ዓይነት-6|ጎልፍ|ጎልፍ ተጫዋች|ጎልፍ ተጫዋች: የቆዳ ዓይነት-6
🏌️‍♂️;ወንድ ጎልፍ ተጫዋች;ሰው|ወንድ|ወንድ ጎልፍ ተጫዋች|ጎልፍ
	🏌🏻‍♂️;ወንድ ጎልፍ ተጫዋች: የቆዳ ዓይነት-1-2;ሰው|ወንድ|ወንድ ጎልፍ ተጫዋች|ወንድ ጎልፍ ተጫዋች: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2|ጎልፍ
	🏌🏼‍♂️;ወንድ ጎልፍ ተጫዋች: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ሰው|ወንድ|ወንድ ጎልፍ ተጫዋች|ወንድ ጎልፍ ተጫዋች: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ጎልፍ
	🏌🏽‍♂️;ወንድ ጎልፍ ተጫዋች: የቆዳ ዓይነት-4;ሰው|ወንድ|ወንድ ጎልፍ ተጫዋች|ወንድ ጎልፍ ተጫዋች: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4|ጎልፍ
	🏌🏾‍♂️;ወንድ ጎልፍ ተጫዋች: የቆዳ ዓይነት-5;ሰው|ወንድ|ወንድ ጎልፍ ተጫዋች|ወንድ ጎልፍ ተጫዋች: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5|ጎልፍ
	🏌🏿‍♂️;ወንድ ጎልፍ ተጫዋች: የቆዳ ዓይነት-6;ሰው|ወንድ|ወንድ ጎልፍ ተጫዋች|ወንድ ጎልፍ ተጫዋች: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6|ጎልፍ
🏌️‍♀️;ሴት ጎልፍ ተጫዋች;ሴት|ሴት ጎልፍ ተጫዋች|ጎልፍ
	🏌🏻‍♀️;ሴት ጎልፍ ተጫዋች: የቆዳ ዓይነት-1-2;ሴት|ሴት ጎልፍ ተጫዋች|ሴት ጎልፍ ተጫዋች: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2|ጎልፍ
	🏌🏼‍♀️;ሴት ጎልፍ ተጫዋች: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ሴት|ሴት ጎልፍ ተጫዋች|ሴት ጎልፍ ተጫዋች: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ጎልፍ
	🏌🏽‍♀️;ሴት ጎልፍ ተጫዋች: የቆዳ ዓይነት-4;ሴት|ሴት ጎልፍ ተጫዋች|ሴት ጎልፍ ተጫዋች: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4|ጎልፍ
	🏌🏾‍♀️;ሴት ጎልፍ ተጫዋች: የቆዳ ዓይነት-5;ሴት|ሴት ጎልፍ ተጫዋች|ሴት ጎልፍ ተጫዋች: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5|ጎልፍ
	🏌🏿‍♀️;ሴት ጎልፍ ተጫዋች: የቆዳ ዓይነት-6;ሴት|ሴት ጎልፍ ተጫዋች|ሴት ጎልፍ ተጫዋች: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6|ጎልፍ
🏄;የውሃ ሸርተቴ ተጫዋች;የውሃ ሸርተቴ|የውሃ ሸርተቴ ተጫዋች
	🏄🏻;የውሃ ሸርተቴ ተጫዋች: የቆዳ ዓይነት-1-2;የቆዳ ዓይነት-1-2|የውሃ ሸርተቴ|የውሃ ሸርተቴ ተጫዋች|የውሃ ሸርተቴ ተጫዋች: የቆዳ ዓይነት-1-2
	🏄🏼;የውሃ ሸርተቴ ተጫዋች: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|የውሃ ሸርተቴ|የውሃ ሸርተቴ ተጫዋች|የውሃ ሸርተቴ ተጫዋች: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
	🏄🏽;የውሃ ሸርተቴ ተጫዋች: የቆዳ ዓይነት-4;የቆዳ ዓይነት-4|የውሃ ሸርተቴ|የውሃ ሸርተቴ ተጫዋች|የውሃ ሸርተቴ ተጫዋች: የቆዳ ዓይነት-4
	🏄🏾;የውሃ ሸርተቴ ተጫዋች: የቆዳ ዓይነት-5;የቆዳ ዓይነት-5|የውሃ ሸርተቴ|የውሃ ሸርተቴ ተጫዋች|የውሃ ሸርተቴ ተጫዋች: የቆዳ ዓይነት-5
	🏄🏿;የውሃ ሸርተቴ ተጫዋች: የቆዳ ዓይነት-6;የቆዳ ዓይነት-6|የውሃ ሸርተቴ|የውሃ ሸርተቴ ተጫዋች|የውሃ ሸርተቴ ተጫዋች: የቆዳ ዓይነት-6
🏄‍♂️;ወንድ የውሃ ሸርተቴ ተጫዋች;ወንድ|ወንድ የውሃ ሸርተቴ ተጫዋች|የውሃ ሸርተቴ
	🏄🏻‍♂️;ወንድ የውሃ ሸርተቴ ተጫዋች: የቆዳ ዓይነት-1-2;ወንድ|ወንድ የውሃ ሸርተቴ ተጫዋች|ወንድ የውሃ ሸርተቴ ተጫዋች: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2|የውሃ ሸርተቴ
	🏄🏼‍♂️;ወንድ የውሃ ሸርተቴ ተጫዋች: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ወንድ|ወንድ የውሃ ሸርተቴ ተጫዋች|ወንድ የውሃ ሸርተቴ ተጫዋች: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|የውሃ ሸርተቴ
	🏄🏽‍♂️;ወንድ የውሃ ሸርተቴ ተጫዋች: የቆዳ ዓይነት-4;ወንድ|ወንድ የውሃ ሸርተቴ ተጫዋች|ወንድ የውሃ ሸርተቴ ተጫዋች: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4|የውሃ ሸርተቴ
	🏄🏾‍♂️;ወንድ የውሃ ሸርተቴ ተጫዋች: የቆዳ ዓይነት-5;ወንድ|ወንድ የውሃ ሸርተቴ ተጫዋች|ወንድ የውሃ ሸርተቴ ተጫዋች: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5|የውሃ ሸርተቴ
	🏄🏿‍♂️;ወንድ የውሃ ሸርተቴ ተጫዋች: የቆዳ ዓይነት-6;ወንድ|ወንድ የውሃ ሸርተቴ ተጫዋች|ወንድ የውሃ ሸርተቴ ተጫዋች: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6|የውሃ ሸርተቴ
🏄‍♀️;ሴት የውሃ ሸርተቴ ተጫዋች;ሴት|ሴት የውሃ ሸርተቴ ተጫዋች|የውሃ ሸርተቴ
	🏄🏻‍♀️;ሴት የውሃ ሸርተቴ ተጫዋች: የቆዳ ዓይነት-1-2;ሴት|ሴት የውሃ ሸርተቴ ተጫዋች|ሴት የውሃ ሸርተቴ ተጫዋች: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2|የውሃ ሸርተቴ
	🏄🏼‍♀️;ሴት የውሃ ሸርተቴ ተጫዋች: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ሴት|ሴት የውሃ ሸርተቴ ተጫዋች|ሴት የውሃ ሸርተቴ ተጫዋች: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|የውሃ ሸርተቴ
	🏄🏽‍♀️;ሴት የውሃ ሸርተቴ ተጫዋች: የቆዳ ዓይነት-4;ሴት|ሴት የውሃ ሸርተቴ ተጫዋች|ሴት የውሃ ሸርተቴ ተጫዋች: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4|የውሃ ሸርተቴ
	🏄🏾‍♀️;ሴት የውሃ ሸርተቴ ተጫዋች: የቆዳ ዓይነት-5;ሴት|ሴት የውሃ ሸርተቴ ተጫዋች|ሴት የውሃ ሸርተቴ ተጫዋች: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5|የውሃ ሸርተቴ
	🏄🏿‍♀️;ሴት የውሃ ሸርተቴ ተጫዋች: የቆዳ ዓይነት-6;ሴት|ሴት የውሃ ሸርተቴ ተጫዋች|ሴት የውሃ ሸርተቴ ተጫዋች: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6|የውሃ ሸርተቴ
🚣;የታንኳ ቀዘፋ;ተሽከርካሪ|የታንኳ ቀዘፋ|ጀልባ
	🚣🏻;የታንኳ ቀዘፋ: የቆዳ ዓይነት-1-2;ተሽከርካሪ|የቆዳ ዓይነት-1-2|የታንኳ ቀዘፋ|የታንኳ ቀዘፋ: የቆዳ ዓይነት-1-2|ጀልባ
	🚣🏼;የታንኳ ቀዘፋ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ተሽከርካሪ|የታንኳ ቀዘፋ|የታንኳ ቀዘፋ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ጀልባ
	🚣🏽;የታንኳ ቀዘፋ: የቆዳ ዓይነት-4;ተሽከርካሪ|የቆዳ ዓይነት-4|የታንኳ ቀዘፋ|የታንኳ ቀዘፋ: የቆዳ ዓይነት-4|ጀልባ
	🚣🏾;የታንኳ ቀዘፋ: የቆዳ ዓይነት-5;ተሽከርካሪ|የቆዳ ዓይነት-5|የታንኳ ቀዘፋ|የታንኳ ቀዘፋ: የቆዳ ዓይነት-5|ጀልባ
	🚣🏿;የታንኳ ቀዘፋ: የቆዳ ዓይነት-6;ተሽከርካሪ|የቆዳ ዓይነት-6|የታንኳ ቀዘፋ|የታንኳ ቀዘፋ: የቆዳ ዓይነት-6|ጀልባ
🚣‍♂️;የወንድ ጀልባ ቀዛፊ;ተሽከርካሪ|ወንድ|የወንድ ጀልባ ቀዛፊ|ጀልባ
	🚣🏻‍♂️;የወንድ ጀልባ ቀዛፊ: የቆዳ ዓይነት-1-2;ተሽከርካሪ|ወንድ|የቆዳ ዓይነት-1-2|የወንድ ጀልባ ቀዛፊ|የወንድ ጀልባ ቀዛፊ: የቆዳ ዓይነት-1-2|ጀልባ
	🚣🏼‍♂️;የወንድ ጀልባ ቀዛፊ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ተሽከርካሪ|ወንድ|የወንድ ጀልባ ቀዛፊ|የወንድ ጀልባ ቀዛፊ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ጀልባ
	🚣🏽‍♂️;የወንድ ጀልባ ቀዛፊ: የቆዳ ዓይነት-4;ተሽከርካሪ|ወንድ|የቆዳ ዓይነት-4|የወንድ ጀልባ ቀዛፊ|የወንድ ጀልባ ቀዛፊ: የቆዳ ዓይነት-4|ጀልባ
	🚣🏾‍♂️;የወንድ ጀልባ ቀዛፊ: የቆዳ ዓይነት-5;ተሽከርካሪ|ወንድ|የቆዳ ዓይነት-5|የወንድ ጀልባ ቀዛፊ|የወንድ ጀልባ ቀዛፊ: የቆዳ ዓይነት-5|ጀልባ
	🚣🏿‍♂️;የወንድ ጀልባ ቀዛፊ: የቆዳ ዓይነት-6;ተሽከርካሪ|ወንድ|የቆዳ ዓይነት-6|የወንድ ጀልባ ቀዛፊ|የወንድ ጀልባ ቀዛፊ: የቆዳ ዓይነት-6|ጀልባ
🚣‍♀️;የሴት ጀልባ ቀዛፊ;ሴት|ተሽከርካሪ|የሴት ጀልባ ቀዛፊ|ጀልባ
	🚣🏻‍♀️;የሴት ጀልባ ቀዛፊ: የቆዳ ዓይነት-1-2;ሴት|ተሽከርካሪ|የሴት ጀልባ ቀዛፊ|የሴት ጀልባ ቀዛፊ: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2|ጀልባ
	🚣🏼‍♀️;የሴት ጀልባ ቀዛፊ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ሴት|ተሽከርካሪ|የሴት ጀልባ ቀዛፊ|የሴት ጀልባ ቀዛፊ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ጀልባ
	🚣🏽‍♀️;የሴት ጀልባ ቀዛፊ: የቆዳ ዓይነት-4;ሴት|ተሽከርካሪ|የሴት ጀልባ ቀዛፊ|የሴት ጀልባ ቀዛፊ: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4|ጀልባ
	🚣🏾‍♀️;የሴት ጀልባ ቀዛፊ: የቆዳ ዓይነት-5;ሴት|ተሽከርካሪ|የሴት ጀልባ ቀዛፊ|የሴት ጀልባ ቀዛፊ: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5|ጀልባ
	🚣🏿‍♀️;የሴት ጀልባ ቀዛፊ: የቆዳ ዓይነት-6;ሴት|ተሽከርካሪ|የሴት ጀልባ ቀዛፊ|የሴት ጀልባ ቀዛፊ: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6|ጀልባ
🏊;ዋናተኛ;ዋና|ዋናተኛ
	🏊🏻;ዋናተኛ: የቆዳ ዓይነት-1-2;ዋና|ዋናተኛ|ዋናተኛ: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2
	🏊🏼;ዋናተኛ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ዋና|ዋናተኛ|ዋናተኛ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
	🏊🏽;ዋናተኛ: የቆዳ ዓይነት-4;ዋና|ዋናተኛ|ዋናተኛ: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4
	🏊🏾;ዋናተኛ: የቆዳ ዓይነት-5;ዋና|ዋናተኛ|ዋናተኛ: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5
	🏊🏿;ዋናተኛ: የቆዳ ዓይነት-6;ዋና|ዋናተኛ|ዋናተኛ: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6
🏊‍♂️;የወንድ ዋናተኛ;ሰው|ወንድ|ዋና|የወንድ ዋናተኛ
	🏊🏻‍♂️;የወንድ ዋናተኛ: የቆዳ ዓይነት-1-2;ሰው|ወንድ|ዋና|የቆዳ ዓይነት-1-2|የወንድ ዋናተኛ|የወንድ ዋናተኛ: የቆዳ ዓይነት-1-2
	🏊🏼‍♂️;የወንድ ዋናተኛ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ሰው|ወንድ|ዋና|የወንድ ዋናተኛ|የወንድ ዋናተኛ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
	🏊🏽‍♂️;የወንድ ዋናተኛ: የቆዳ ዓይነት-4;ሰው|ወንድ|ዋና|የቆዳ ዓይነት-4|የወንድ ዋናተኛ|የወንድ ዋናተኛ: የቆዳ ዓይነት-4
	🏊🏾‍♂️;የወንድ ዋናተኛ: የቆዳ ዓይነት-5;ሰው|ወንድ|ዋና|የቆዳ ዓይነት-5|የወንድ ዋናተኛ|የወንድ ዋናተኛ: የቆዳ ዓይነት-5
	🏊🏿‍♂️;የወንድ ዋናተኛ: የቆዳ ዓይነት-6;ሰው|ወንድ|ዋና|የቆዳ ዓይነት-6|የወንድ ዋናተኛ|የወንድ ዋናተኛ: የቆዳ ዓይነት-6
🏊‍♀️;የሴት ዋናተኛ;ሴት|ዋና|የሴት ዋናተኛ
	🏊🏻‍♀️;የሴት ዋናተኛ: የቆዳ ዓይነት-1-2;ሴት|ዋና|የሴት ዋናተኛ|የሴት ዋናተኛ: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2
	🏊🏼‍♀️;የሴት ዋናተኛ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ሴት|ዋና|የሴት ዋናተኛ|የሴት ዋናተኛ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
	🏊🏽‍♀️;የሴት ዋናተኛ: የቆዳ ዓይነት-4;ሴት|ዋና|የሴት ዋናተኛ|የሴት ዋናተኛ: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4
	🏊🏾‍♀️;የሴት ዋናተኛ: የቆዳ ዓይነት-5;ሴት|ዋና|የሴት ዋናተኛ|የሴት ዋናተኛ: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5
