# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;wiċċ jidħak ħafna;jidħaq ħafna|wiċċ|wiċċ jidħak ħafna
	👩🏽‍🤝‍👩🏿;żewġ nisa jżommu jdejhom: ton medju tal-ġilda u ton skur tal-ġilda;idejn|koppja|mara|ton medju tal-ġilda|ton skur tal-ġilda|żewġ nisa jżommu jdejhom|żewġ nisa jżommu jdejhom: ton medju tal-ġilda u ton skur tal-ġilda|żomm
	👩🏾‍🤝‍👩🏻;żewġ nisa jżommu jdejhom: ton medju-skur tal-ġilda u ton ċar tal-ġilda;idejn|koppja|mara|ton ċar tal-ġilda|ton medju-skur tal-ġilda|żewġ nisa jżommu jdejhom|żewġ nisa jżommu jdejhom: ton medju-skur tal-ġilda u ton ċar tal-ġilda|żomm
	👩🏾‍🤝‍👩🏼;żewġ nisa jżommu jdejhom: ton medju-skur tal-ġilda u ton medju-ċar tal-ġilda;idejn|koppja|mara|ton medju-ċar tal-ġilda|ton medju-skur tal-ġilda|żewġ nisa jżommu jdejhom|żewġ nisa jżommu jdejhom: ton medju-skur tal-ġilda u ton medju-ċar tal-ġilda|żomm
	👩🏾‍🤝‍👩🏽;żewġ nisa jżommu jdejhom: ton medju-skur tal-ġilda u ton medju tal-ġilda;idejn|koppja|mara|ton medju tal-ġilda|ton medju-skur tal-ġilda|żewġ nisa jżommu jdejhom|żewġ nisa jżommu jdejhom: ton medju-skur tal-ġilda u ton medju tal-ġilda|żomm
	👭🏾;żewġ nisa jżommu jdejhom: ton medju-skur tal-ġilda;idejn|koppja|mara|ton medju-skur tal-ġilda|żewġ nisa jżommu jdejhom|żewġ nisa jżommu jdejhom: ton medju-skur tal-ġilda|żomm
	👩🏾‍🤝‍👩🏿;żewġ nisa jżommu jdejhom: ton medju-skur tal-ġilda u ton skur tal-ġilda;idejn|koppja|mara|ton medju-skur tal-ġilda|ton skur tal-ġilda|żewġ nisa jżommu jdejhom|żewġ nisa jżommu jdejhom: ton medju-skur tal-ġilda u ton skur tal-ġilda|żomm
	👩🏿‍🤝‍👩🏻;żewġ nisa jżommu jdejhom: ton skur tal-ġilda u ton ċar tal-ġilda;idejn|koppja|mara|ton ċar tal-ġilda|ton skur tal-ġilda|żewġ nisa jżommu jdejhom|żewġ nisa jżommu jdejhom: ton skur tal-ġilda u ton ċar tal-ġilda|żomm
	👩🏿‍🤝‍👩🏼;żewġ nisa jżommu jdejhom: ton skur tal-ġilda u ton medju-ċar tal-ġilda;idejn|koppja|mara|ton medju-ċar tal-ġilda|ton skur tal-ġilda|żewġ nisa jżommu jdejhom|żewġ nisa jżommu jdejhom: ton skur tal-ġilda u ton medju-ċar tal-ġilda|żomm
	👩🏿‍🤝‍👩🏽;żewġ nisa jżommu jdejhom: ton skur tal-ġilda u ton medju tal-ġilda;idejn|koppja|mara|ton medju tal-ġilda|ton skur tal-ġilda|żewġ nisa jżommu jdejhom|żewġ nisa jżommu jdejhom: ton skur tal-ġilda u ton medju tal-ġilda|żomm
	👩🏿‍🤝‍👩🏾;żewġ nisa jżommu jdejhom: ton skur tal-ġilda u ton medju-skur tal-ġilda;idejn|koppja|mara|ton medju-skur tal-ġilda|ton skur tal-ġilda|żewġ nisa jżommu jdejhom|żewġ nisa jżommu jdejhom: ton skur tal-ġilda u ton medju-skur tal-ġilda|żomm
	👭🏿;żewġ nisa jżommu jdejhom: ton skur tal-ġilda;idejn|koppja|mara|ton skur tal-ġilda|żewġ nisa jżommu jdejhom|żewġ nisa jżommu jdejhom: ton skur tal-ġilda|żomm
👫;raġel u mara jżommu jdejhom;idejn|koppja|mara|raġel|raġel u mara jżommu jdejhom|żomm
	👫🏻;raġel u mara jżommu jdejhom: ton ċar tal-ġilda;idejn|koppja|mara|raġel|raġel u mara jżommu jdejhom|raġel u mara jżommu jdejhom: ton ċar tal-ġilda|ton ċar tal-ġilda|żomm
	👩🏻‍🤝‍👨🏼;raġel u mara jżommu jdejhom: ton ċar tal-ġilda u ton medju-ċar tal-ġilda;idejn|koppja|mara|raġel|raġel u mara jżommu jdejhom|raġel u mara jżommu jdejhom: ton ċar tal-ġilda u ton medju-ċar tal-ġilda|ton ċar tal-ġilda|ton medju-ċar tal-ġilda|żomm
	👩🏻‍🤝‍👨🏽;raġel u mara jżommu jdejhom: ton ċar tal-ġilda u ton medju tal-ġilda;idejn|koppja|mara|raġel|raġel u mara jżommu jdejhom|raġel u mara jżommu jdejhom: ton ċar tal-ġilda u ton medju tal-ġilda|ton ċar tal-ġilda|ton medju tal-ġilda|żomm
	👩🏻‍🤝‍👨🏾;raġel u mara jżommu jdejhom: ton ċar tal-ġilda u ton medju-skur tal-ġilda;idejn|koppja|mara|raġel|raġel u mara jżommu jdejhom|raġel u mara jżommu jdejhom: ton ċar tal-ġilda u ton medju-skur tal-ġilda|ton ċar tal-ġilda|ton medju-skur tal-ġilda|żomm
	👩🏻‍🤝‍👨🏿;raġel u mara jżommu jdejhom: ton ċar tal-ġilda u ton skur tal-ġilda;idejn|koppja|mara|raġel|raġel u mara jżommu jdejhom|raġel u mara jżommu jdejhom: ton ċar tal-ġilda u ton skur tal-ġilda|ton ċar tal-ġilda|ton skur tal-ġilda|żomm
	👩🏼‍🤝‍👨🏻;raġel u mara jżommu jdejhom: ton medju-ċar tal-ġilda u ton ċar tal-ġilda;idejn|koppja|mara|raġel|raġel u mara jżommu jdejhom|raġel u mara jżommu jdejhom: ton medju-ċar tal-ġilda u ton ċar tal-ġilda|ton ċar tal-ġilda|ton medju-ċar tal-ġilda|żomm
	👫🏼;raġel u mara jżommu jdejhom: ton medju-ċar tal-ġilda;idejn|koppja|mara|raġel|raġel u mara jżommu jdejhom|raġel u mara jżommu jdejhom: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda|żomm
	👩🏼‍🤝‍👨🏽;raġel u mara jżommu jdejhom: ton medju-ċar tal-ġilda u ton medju tal-ġilda;idejn|koppja|mara|raġel|raġel u mara jżommu jdejhom|raġel u mara jżommu jdejhom: ton medju-ċar tal-ġilda u ton medju tal-ġilda|ton medju tal-ġilda|ton medju-ċar tal-ġilda|żomm
	👩🏼‍🤝‍👨🏾;raġel u mara jżommu jdejhom: ton medju-ċar tal-ġilda u ton medju-skur tal-ġilda;idejn|koppja|mara|raġel|raġel u mara jżommu jdejhom|raġel u mara jżommu jdejhom: ton medju-ċar tal-ġilda u ton medju-skur tal-ġilda|ton medju-ċar tal-ġilda|ton medju-skur tal-ġilda|żomm
	👩🏼‍🤝‍👨🏿;raġel u mara jżommu jdejhom: ton medju-ċar tal-ġilda u ton skur tal-ġilda;idejn|koppja|mara|raġel|raġel u mara jżommu jdejhom|raġel u mara jżommu jdejhom: ton medju-ċar tal-ġilda u ton skur tal-ġilda|ton medju-ċar tal-ġilda|ton skur tal-ġilda|żomm
	👩🏽‍🤝‍👨🏻;raġel u mara jżommu jdejhom: ton medju tal-ġilda u ton ċar tal-ġilda;idejn|koppja|mara|raġel|raġel u mara jżommu jdejhom|raġel u mara jżommu jdejhom: ton medju tal-ġilda u ton ċar tal-ġilda|ton ċar tal-ġilda|ton medju tal-ġilda|żomm
	👩🏽‍🤝‍👨🏼;raġel u mara jżommu jdejhom: ton medju tal-ġilda u ton medju-ċar tal-ġilda;idejn|koppja|mara|raġel|raġel u mara jżommu jdejhom|raġel u mara jżommu jdejhom: ton medju tal-ġilda u ton medju-ċar tal-ġilda|ton medju tal-ġilda|ton medju-ċar tal-ġilda|żomm
	👫🏽;raġel u mara jżommu jdejhom: ton medju tal-ġilda;idejn|koppja|mara|raġel|raġel u mara jżommu jdejhom|raġel u mara jżommu jdejhom: ton medju tal-ġilda|ton medju tal-ġilda|żomm
	👩🏽‍🤝‍👨🏾;raġel u mara jżommu jdejhom: ton medju tal-ġilda u ton medju-skur tal-ġilda;idejn|koppja|mara|raġel|raġel u mara jżommu jdejhom|raġel u mara jżommu jdejhom: ton medju tal-ġilda u ton medju-skur tal-ġilda|ton medju tal-ġilda|ton medju-skur tal-ġilda|żomm
	👩🏽‍🤝‍👨🏿;raġel u mara jżommu jdejhom: ton medju tal-ġilda u ton skur tal-ġilda;idejn|koppja|mara|raġel|raġel u mara jżommu jdejhom|raġel u mara jżommu jdejhom: ton medju tal-ġilda u ton skur tal-ġilda|ton medju tal-ġilda|ton skur tal-ġilda|żomm
	👩🏾‍🤝‍👨🏻;raġel u mara jżommu jdejhom: ton medju-skur tal-ġilda u ton ċar tal-ġilda;idejn|koppja|mara|raġel|raġel u mara jżommu jdejhom|raġel u mara jżommu jdejhom: ton medju-skur tal-ġilda u ton ċar tal-ġilda|ton ċar tal-ġilda|ton medju-skur tal-ġilda|żomm
	👩🏾‍🤝‍👨🏼;raġel u mara jżommu jdejhom: ton medju-skur tal-ġilda u ton medju-ċar tal-ġilda;idejn|koppja|mara|raġel|raġel u mara jżommu jdejhom|raġel u mara jżommu jdejhom: ton medju-skur tal-ġilda u ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda|ton medju-skur tal-ġilda|żomm
	👩🏾‍🤝‍👨🏽;raġel u mara jżommu jdejhom: ton medju-skur tal-ġilda u ton medju tal-ġilda;idejn|koppja|mara|raġel|raġel u mara jżommu jdejhom|raġel u mara jżommu jdejhom: ton medju-skur tal-ġilda u ton medju tal-ġilda|ton medju tal-ġilda|ton medju-skur tal-ġilda|żomm
	👫🏾;raġel u mara jżommu jdejhom: ton medju-skur tal-ġilda;idejn|koppja|mara|raġel|raġel u mara jżommu jdejhom|raġel u mara jżommu jdejhom: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda|żomm
	👩🏾‍🤝‍👨🏿;raġel u mara jżommu jdejhom: ton medju-skur tal-ġilda u ton skur tal-ġilda;idejn|koppja|mara|raġel|raġel u mara jżommu jdejhom|raġel u mara jżommu jdejhom: ton medju-skur tal-ġilda u ton skur tal-ġilda|ton medju-skur tal-ġilda|ton skur tal-ġilda|żomm
	👩🏿‍🤝‍👨🏻;raġel u mara jżommu jdejhom: ton skur tal-ġilda u ton ċar tal-ġilda;idejn|koppja|mara|raġel|raġel u mara jżommu jdejhom|raġel u mara jżommu jdejhom: ton skur tal-ġilda u ton ċar tal-ġilda|ton ċar tal-ġilda|ton skur tal-ġilda|żomm
	👩🏿‍🤝‍👨🏼;raġel u mara jżommu jdejhom: ton skur tal-ġilda u ton medju-ċar tal-ġilda;idejn|koppja|mara|raġel|raġel u mara jżommu jdejhom|raġel u mara jżommu jdejhom: ton skur tal-ġilda u ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda|ton skur tal-ġilda|żomm
	👩🏿‍🤝‍👨🏽;raġel u mara jżommu jdejhom: ton skur tal-ġilda u ton medju tal-ġilda;idejn|koppja|mara|raġel|raġel u mara jżommu jdejhom|raġel u mara jżommu jdejhom: ton skur tal-ġilda u ton medju tal-ġilda|ton medju tal-ġilda|ton skur tal-ġilda|żomm
	👩🏿‍🤝‍👨🏾;raġel u mara jżommu jdejhom: ton skur tal-ġilda u ton medju-skur tal-ġilda;idejn|koppja|mara|raġel|raġel u mara jżommu jdejhom|raġel u mara jżommu jdejhom: ton skur tal-ġilda u ton medju-skur tal-ġilda|ton medju-skur tal-ġilda|ton skur tal-ġilda|żomm
	👫🏿;raġel u mara jżommu jdejhom: ton skur tal-ġilda;idejn|koppja|mara|raġel|raġel u mara jżommu jdejhom|raġel u mara jżommu jdejhom: ton skur tal-ġilda|ton skur tal-ġilda|żomm
👬;żewġt irġiel iżommu jdejhom;Gemini|idejn|koppja|raġel|tewmin|żewġt irġiel iżommu jdejhom|żodjaku|żomm
	👬🏻;żewġt irġiel iżommu jdejhom: ton ċar tal-ġilda;Gemini|idejn|koppja|raġel|tewmin|ton ċar tal-ġilda|żewġt irġiel iżommu jdejhom|żewġt irġiel iżommu jdejhom: ton ċar tal-ġilda|żodjaku|żomm
	👨🏻‍🤝‍👨🏼;żewġt irġiel iżommu jdejhom: ton ċar tal-ġilda u ton medju-ċar tal-ġilda;Gemini|idejn|koppja|raġel|tewmin|ton ċar tal-ġilda|ton medju-ċar tal-ġilda|żewġt irġiel iżommu jdejhom|żewġt irġiel iżommu jdejhom: ton ċar tal-ġilda u ton medju-ċar tal-ġilda|żodjaku|żomm
	👨🏻‍🤝‍👨🏽;żewġt irġiel iżommu jdejhom: ton ċar tal-ġilda u ton medju tal-ġilda;Gemini|idejn|koppja|raġel|tewmin|ton ċar tal-ġilda|ton medju tal-ġilda|żewġt irġiel iżommu jdejhom|żewġt irġiel iżommu jdejhom: ton ċar tal-ġilda u ton medju tal-ġilda|żodjaku|żomm
	👨🏻‍🤝‍👨🏾;żewġt irġiel iżommu jdejhom: ton ċar tal-ġilda u ton medju-skur tal-ġilda;Gemini|idejn|koppja|raġel|tewmin|ton ċar tal-ġilda|ton medju-skur tal-ġilda|żewġt irġiel iżommu jdejhom|żewġt irġiel iżommu jdejhom: ton ċar tal-ġilda u ton medju-skur tal-ġilda|żodjaku|żomm
	👨🏻‍🤝‍👨🏿;żewġt irġiel iżommu jdejhom: ton ċar tal-ġilda u ton skur tal-ġilda;Gemini|idejn|koppja|raġel|tewmin|ton ċar tal-ġilda|ton skur tal-ġilda|żewġt irġiel iżommu jdejhom|żewġt irġiel iżommu jdejhom: ton ċar tal-ġilda u ton skur tal-ġilda|żodjaku|żomm
	👨🏼‍🤝‍👨🏻;żewġt irġiel iżommu jdejhom: ton medju-ċar tal-ġilda u ton ċar tal-ġilda;Gemini|idejn|koppja|raġel|tewmin|ton ċar tal-ġilda|ton medju-ċar tal-ġilda|żewġt irġiel iżommu jdejhom|żewġt irġiel iżommu jdejhom: ton medju-ċar tal-ġilda u ton ċar tal-ġilda|żodjaku|żomm
	👬🏼;żewġt irġiel iżommu jdejhom: ton medju-ċar tal-ġilda;Gemini|idejn|koppja|raġel|tewmin|ton medju-ċar tal-ġilda|żewġt irġiel iżommu jdejhom|żewġt irġiel iżommu jdejhom: ton medju-ċar tal-ġilda|żodjaku|żomm
	👨🏼‍🤝‍👨🏽;żewġt irġiel iżommu jdejhom: ton medju-ċar tal-ġilda u ton medju tal-ġilda;Gemini|idejn|koppja|raġel|tewmin|ton medju tal-ġilda|ton medju-ċar tal-ġilda|żewġt irġiel iżommu jdejhom|żewġt irġiel iżommu jdejhom: ton medju-ċar tal-ġilda u ton medju tal-ġilda|żodjaku|żomm
	👨🏼‍🤝‍👨🏾;żewġt irġiel iżommu jdejhom: ton medju-ċar tal-ġilda u ton medju-skur tal-ġilda;Gemini|idejn|koppja|raġel|tewmin|ton medju-ċar tal-ġilda|ton medju-skur tal-ġilda|żewġt irġiel iżommu jdejhom|żewġt irġiel iżommu jdejhom: ton medju-ċar tal-ġilda u ton medju-skur tal-ġilda|żodjaku|żomm
	👨🏼‍🤝‍👨🏿;żewġt irġiel iżommu jdejhom: ton medju-ċar tal-ġilda u ton skur tal-ġilda;Gemini|idejn|koppja|raġel|tewmin|ton medju-ċar tal-ġilda|ton skur tal-ġilda|żewġt irġiel iżommu jdejhom|żewġt irġiel iżommu jdejhom: ton medju-ċar tal-ġilda u ton skur tal-ġilda|żodjaku|żomm
	👨🏽‍🤝‍👨🏻;żewġt irġiel iżommu jdejhom: ton medju tal-ġilda u ton ċar tal-ġilda;Gemini|idejn|koppja|raġel|tewmin|ton ċar tal-ġilda|ton medju tal-ġilda|żewġt irġiel iżommu jdejhom|żewġt irġiel iżommu jdejhom: ton medju tal-ġilda u ton ċar tal-ġilda|żodjaku|żomm
	👨🏽‍🤝‍👨🏼;żewġt irġiel iżommu jdejhom: ton medju tal-ġilda u ton medju-ċar tal-ġilda;Gemini|idejn|koppja|raġel|tewmin|ton medju tal-ġilda|ton medju-ċar tal-ġilda|żewġt irġiel iżommu jdejhom|żewġt irġiel iżommu jdejhom: ton medju tal-ġilda u ton medju-ċar tal-ġilda|żodjaku|żomm
	👬🏽;żewġt irġiel iżommu jdejhom: ton medju tal-ġilda;Gemini|idejn|koppja|raġel|tewmin|ton medju tal-ġilda|żewġt irġiel iżommu jdejhom|żewġt irġiel iżommu jdejhom: ton medju tal-ġilda|żodjaku|żomm
	👨🏽‍🤝‍👨🏾;żewġt irġiel iżommu jdejhom: ton medju tal-ġilda u ton medju-skur tal-ġilda;Gemini|idejn|koppja|raġel|tewmin|ton medju tal-ġilda|ton medju-skur tal-ġilda|żewġt irġiel iżommu jdejhom|żewġt irġiel iżommu jdejhom: ton medju tal-ġilda u ton medju-skur tal-ġilda|żodjaku|żomm
	👨🏽‍🤝‍👨🏿;żewġt irġiel iżommu jdejhom: ton medju tal-ġilda u ton skur tal-ġilda;Gemini|idejn|koppja|raġel|tewmin|ton medju tal-ġilda|ton skur tal-ġilda|żewġt irġiel iżommu jdejhom|żewġt irġiel iżommu jdejhom: ton medju tal-ġilda u ton skur tal-ġilda|żodjaku|żomm
	👨🏾‍🤝‍👨🏻;żewġt irġiel iżommu jdejhom: ton medju-skur tal-ġilda u ton ċar tal-ġilda;Gemini|idejn|koppja|raġel|tewmin|ton ċar tal-ġilda|ton medju-skur tal-ġilda|żewġt irġiel iżommu jdejhom|żewġt irġiel iżommu jdejhom: ton medju-skur tal-ġilda u ton ċar tal-ġilda|żodjaku|żomm
	👨🏾‍🤝‍👨🏼;żewġt irġiel iżommu jdejhom: ton medju-skur tal-ġilda u ton medju-ċar tal-ġilda;Gemini|idejn|koppja|raġel|tewmin|ton medju-ċar tal-ġilda|ton medju-skur tal-ġilda|żewġt irġiel iżommu jdejhom|żewġt irġiel iżommu jdejhom: ton medju-skur tal-ġilda u ton medju-ċar tal-ġilda|żodjaku|żomm
	👨🏾‍🤝‍👨🏽;żewġt irġiel iżommu jdejhom: ton medju-skur tal-ġilda u ton medju tal-ġilda;Gemini|idejn|koppja|raġel|tewmin|ton medju tal-ġilda|ton medju-skur tal-ġilda|żewġt irġiel iżommu jdejhom|żewġt irġiel iżommu jdejhom: ton medju-skur tal-ġilda u ton medju tal-ġilda|żodjaku|żomm
	👬🏾;żewġt irġiel iżommu jdejhom: ton medju-skur tal-ġilda;Gemini|idejn|koppja|raġel|tewmin|ton medju-skur tal-ġilda|żewġt irġiel iżommu jdejhom|żewġt irġiel iżommu jdejhom: ton medju-skur tal-ġilda|żodjaku|żomm
	👨🏾‍🤝‍👨🏿;żewġt irġiel iżommu jdejhom: ton medju-skur tal-ġilda u ton skur tal-ġilda;Gemini|idejn|koppja|raġel|tewmin|ton medju-skur tal-ġilda|ton skur tal-ġilda|żewġt irġiel iżommu jdejhom|żewġt irġiel iżommu jdejhom: ton medju-skur tal-ġilda u ton skur tal-ġilda|żodjaku|żomm
	👨🏿‍🤝‍👨🏻;żewġt irġiel iżommu jdejhom: ton skur tal-ġilda u ton ċar tal-ġilda;Gemini|idejn|koppja|raġel|tewmin|ton ċar tal-ġilda|ton skur tal-ġilda|żewġt irġiel iżommu jdejhom|żewġt irġiel iżommu jdejhom: ton skur tal-ġilda u ton ċar tal-ġilda|żodjaku|żomm
	👨🏿‍🤝‍👨🏼;żewġt irġiel iżommu jdejhom: ton skur tal-ġilda u ton medju-ċar tal-ġilda;Gemini|idejn|koppja|raġel|tewmin|ton medju-ċar tal-ġilda|ton skur tal-ġilda|żewġt irġiel iżommu jdejhom|żewġt irġiel iżommu jdejhom: ton skur tal-ġilda u ton medju-ċar tal-ġilda|żodjaku|żomm
	👨🏿‍🤝‍👨🏽;żewġt irġiel iżommu jdejhom: ton skur tal-ġilda u ton medju tal-ġilda;Gemini|idejn|koppja|raġel|tewmin|ton medju tal-ġilda|ton skur tal-ġilda|żewġt irġiel iżommu jdejhom|żewġt irġiel iżommu jdejhom: ton skur tal-ġilda u ton medju tal-ġilda|żodjaku|żomm
	👨🏿‍🤝‍👨🏾;żewġt irġiel iżommu jdejhom: ton skur tal-ġilda u ton medju-skur tal-ġilda;Gemini|idejn|koppja|raġel|tewmin|ton medju-skur tal-ġilda|ton skur tal-ġilda|żewġt irġiel iżommu jdejhom|żewġt irġiel iżommu jdejhom: ton skur tal-ġilda u ton medju-skur tal-ġilda|żodjaku|żomm
	👬🏿;żewġt irġiel iżommu jdejhom: ton skur tal-ġilda;Gemini|idejn|koppja|raġel|tewmin|ton skur tal-ġilda|żewġt irġiel iżommu jdejhom|żewġt irġiel iżommu jdejhom: ton skur tal-ġilda|żodjaku|żomm
💏;bewsa;bewsa|koppja
	💏🏻;bewsa: ton ċar tal-ġilda;bewsa|bewsa: ton ċar tal-ġilda|koppja|ton ċar tal-ġilda
	💏🏼;bewsa: ton medju-ċar tal-ġilda;bewsa|bewsa: ton medju-ċar tal-ġilda|koppja|ton medju-ċar tal-ġilda
	💏🏽;bewsa: ton medju tal-ġilda;bewsa|bewsa: ton medju tal-ġilda|koppja|ton medju tal-ġilda
	💏🏾;bewsa: ton medju-skur tal-ġilda;bewsa|bewsa: ton medju-skur tal-ġilda|koppja|ton medju-skur tal-ġilda
	💏🏿;bewsa: ton skur tal-ġilda;bewsa|bewsa: ton skur tal-ġilda|koppja|ton skur tal-ġilda
	🧑🏻‍❤️‍💋‍🧑🏼;bewsa: adult, adult, ton ċar tal-ġilda, u ton medju-ċar tal-ġilda;adult|bewsa|bewsa: adult, adult, ton ċar tal-ġilda, u ton medju-ċar tal-ġilda|koppja|ton ċar tal-ġilda|ton medju-ċar tal-ġilda
	🧑🏻‍❤️‍💋‍🧑🏽;bewsa: adult, adult, ton ċar tal-ġilda, u ton medju tal-ġilda;adult|bewsa|bewsa: adult, adult, ton ċar tal-ġilda, u ton medju tal-ġilda|koppja|ton ċar tal-ġilda|ton medju tal-ġilda
	🧑🏻‍❤️‍💋‍🧑🏾;bewsa: adult, adult, ton ċar tal-ġilda, u ton medju-skur tal-ġilda;adult|bewsa|bewsa: adult, adult, ton ċar tal-ġilda, u ton medju-skur tal-ġilda|koppja|ton ċar tal-ġilda|ton medju-skur tal-ġilda
	🧑🏻‍❤️‍💋‍🧑🏿;bewsa: adult, adult, ton ċar tal-ġilda, u ton skur tal-ġilda;adult|bewsa|bewsa: adult, adult, ton ċar tal-ġilda, u ton skur tal-ġilda|koppja|ton ċar tal-ġilda|ton skur tal-ġilda
	🧑🏼‍❤️‍💋‍🧑🏻;bewsa: adult, adult, ton medju-ċar tal-ġilda, u ton ċar tal-ġilda;adult|bewsa|bewsa: adult, adult, ton medju-ċar tal-ġilda, u ton ċar tal-ġilda|koppja|ton ċar tal-ġilda|ton medju-ċar tal-ġilda
	🧑🏼‍❤️‍💋‍🧑🏽;bewsa: adult, adult, ton medju-ċar tal-ġilda, u ton medju tal-ġilda;adult|bewsa|bewsa: adult, adult, ton medju-ċar tal-ġilda, u ton medju tal-ġilda|koppja|ton medju tal-ġilda|ton medju-ċar tal-ġilda
	🧑🏼‍❤️‍💋‍🧑🏾;bewsa: adult, adult, ton medju-ċar tal-ġilda, u ton medju-skur tal-ġilda;adult|bewsa|bewsa: adult, adult, ton medju-ċar tal-ġilda, u ton medju-skur tal-ġilda|koppja|ton medju-ċar tal-ġilda|ton medju-skur tal-ġilda
	🧑🏼‍❤️‍💋‍🧑🏿;bewsa: adult, adult, ton medju-ċar tal-ġilda, u ton skur tal-ġilda;adult|bewsa|bewsa: adult, adult, ton medju-ċar tal-ġilda, u ton skur tal-ġilda|koppja|ton medju-ċar tal-ġilda|ton skur tal-ġilda
	🧑🏽‍❤️‍💋‍🧑🏻;bewsa: adult, adult, ton medju tal-ġilda, u ton ċar tal-ġilda;adult|bewsa|bewsa: adult, adult, ton medju tal-ġilda, u ton ċar tal-ġilda|koppja|ton ċar tal-ġilda|ton medju tal-ġilda
	🧑🏽‍❤️‍💋‍🧑🏼;bewsa: adult, adult, ton medju tal-ġilda, u ton medju-ċar tal-ġilda;adult|bewsa|bewsa: adult, adult, ton medju tal-ġilda, u ton medju-ċar tal-ġilda|koppja|ton medju tal-ġilda|ton medju-ċar tal-ġilda
	🧑🏽‍❤️‍💋‍🧑🏾;bewsa: adult, adult, ton medju tal-ġilda, u ton medju-skur tal-ġilda;adult|bewsa|bewsa: adult, adult, ton medju tal-ġilda, u ton medju-skur tal-ġilda|koppja|ton medju tal-ġilda|ton medju-skur tal-ġilda
	🧑🏽‍❤️‍💋‍🧑🏿;bewsa: adult, adult, ton medju tal-ġilda, u ton skur tal-ġilda;adult|bewsa|bewsa: adult, adult, ton medju tal-ġilda, u ton skur tal-ġilda|koppja|ton medju tal-ġilda|ton skur tal-ġilda
	🧑🏾‍❤️‍💋‍🧑🏻;bewsa: adult, adult, ton medju-skur tal-ġilda, u ton ċar tal-ġilda;adult|bewsa|bewsa: adult, adult, ton medju-skur tal-ġilda, u ton ċar tal-ġilda|koppja|ton ċar tal-ġilda|ton medju-skur tal-ġilda
	🧑🏾‍❤️‍💋‍🧑🏼;bewsa: adult, adult, ton medju-skur tal-ġilda, u ton medju-ċar tal-ġilda;adult|bewsa|bewsa: adult, adult, ton medju-skur tal-ġilda, u ton medju-ċar tal-ġilda|koppja|ton medju-ċar tal-ġilda|ton medju-skur tal-ġilda
