[smileys_emotion]
😀;față încântată;față|față încântată|încântare
	💆🏾‍♀️;femeie care primește un masaj facial: ton semi‑închis al pielii;față|femeie|femeie care primește un masaj facial|femeie care primește un masaj facial: ton semi‑închis al pielii|masaj facial|ton semi‑închis al pielii
	💆🏿‍♀️;femeie care primește un masaj facial: ton închis al pielii;față|femeie|femeie care primește un masaj facial|femeie care primește un masaj facial: ton închis al pielii|masaj facial|ton închis al pielii
💇;persoană care se tunde;coafat|coafor|frizerie|frumusețe|persoană care se tunde|salon|tuns|tunsoare
	💇🏻;persoană care se tunde: ton deschis al pielii;coafat|coafor|frizerie|frumusețe|persoană care se tunde|persoană care se tunde: ton deschis al pielii|salon|ton deschis al pielii|tuns|tunsoare
	💇🏼;persoană care se tunde: ton semi‑deschis al pielii;coafat|coafor|frizerie|frumusețe|persoană care se tunde|persoană care se tunde: ton semi‑deschis al pielii|salon|ton semi‑deschis al pielii|tuns|tunsoare
	💇🏽;persoană care se tunde: ton mediu al pielii;coafat|coafor|frizerie|frumusețe|persoană care se tunde|persoană care se tunde: ton mediu al pielii|salon|ton mediu al pielii|tuns|tunsoare
	💇🏾;persoană care se tunde: ton semi‑închis al pielii;coafat|coafor|frizerie|frumusețe|persoană care se tunde|persoană care se tunde: ton semi‑închis al pielii|salon|ton semi‑închis al pielii|tuns|tunsoare
	💇🏿;persoană care se tunde: ton închis al pielii;coafat|coafor|frizerie|frumusețe|persoană care se tunde|persoană care se tunde: ton închis al pielii|salon|ton închis al pielii|tuns|tunsoare
💇‍♂️;bărbat care se tunde;bărbat|bărbat care se tunde|frizerie|tunsoare
	💇🏻‍♂️;bărbat care se tunde: ton deschis al pielii;bărbat|bărbat care se tunde|bărbat care se tunde: ton deschis al pielii|frizerie|ton deschis al pielii|tunsoare
	💇🏼‍♂️;bărbat care se tunde: ton semi‑deschis al pielii;bărbat|bărbat care se tunde|bărbat care se tunde: ton semi‑deschis al pielii|frizerie|ton semi‑deschis al pielii|tunsoare
	💇🏽‍♂️;bărbat care se tunde: ton mediu al pielii;bărbat|bărbat care se tunde|bărbat care se tunde: ton mediu al pielii|frizerie|ton mediu al pielii|tunsoare
	💇🏾‍♂️;bărbat care se tunde: ton semi‑închis al pielii;bărbat|bărbat care se tunde|bărbat care se tunde: ton semi‑închis al pielii|frizerie|ton semi‑închis al pielii|tunsoare
	💇🏿‍♂️;bărbat care se tunde: ton închis al pielii;bărbat|bărbat care se tunde|bărbat care se tunde: ton închis al pielii|frizerie|ton închis al pielii|tunsoare
💇‍♀️;femeie care se tunde;coafor|femeie|femeie care se tunde|tunsoare
	💇🏻‍♀️;femeie care se tunde: ton deschis al pielii;coafor|femeie|femeie care se tunde|femeie care se tunde: ton deschis al pielii|ton deschis al pielii|tunsoare
	💇🏼‍♀️;femeie care se tunde: ton semi‑deschis al pielii;coafor|femeie|femeie care se tunde|femeie care se tunde: ton semi‑deschis al pielii|ton semi‑deschis al pielii|tunsoare
	💇🏽‍♀️;femeie care se tunde: ton mediu al pielii;coafor|femeie|femeie care se tunde|femeie care se tunde: ton mediu al pielii|ton mediu al pielii|tunsoare
	💇🏾‍♀️;femeie care se tunde: ton semi‑închis al pielii;coafor|femeie|femeie care se tunde|femeie care se tunde: ton semi‑închis al pielii|ton semi‑închis al pielii|tunsoare
	💇🏿‍♀️;femeie care se tunde: ton închis al pielii;coafor|femeie|femeie care se tunde|femeie care se tunde: ton închis al pielii|ton închis al pielii|tunsoare
🚶;persoană care merge;deplasare|drumeție|merge|mers|persoană care merge|pieton|plimbare
	🚶🏻;persoană care merge: ton deschis al pielii;deplasare|drumeție|merge|mers|persoană care merge|persoană care merge: ton deschis al pielii|pieton|plimbare|ton deschis al pielii
	🚶🏼;persoană care merge: ton semi‑deschis al pielii;deplasare|drumeție|merge|mers|persoană care merge|persoană care merge: ton semi‑deschis al pielii|pieton|plimbare|ton semi‑deschis al pielii
	🚶🏽;persoană care merge: ton mediu al pielii;deplasare|drumeție|merge|mers|persoană care merge|persoană care merge: ton mediu al pielii|pieton|plimbare|ton mediu al pielii
	🚶🏾;persoană care merge: ton semi‑închis al pielii;deplasare|drumeție|merge|mers|persoană care merge|persoană care merge: ton semi‑închis al pielii|pieton|plimbare|ton semi‑închis al pielii
	🚶🏿;persoană care merge: ton închis al pielii;deplasare|drumeție|merge|mers|persoană care merge|persoană care merge: ton închis al pielii|pieton|plimbare|ton închis al pielii
🚶‍♂️;bărbat care merge;bărbat|bărbat care merge|mers|plimbare
	🚶🏻‍♂️;bărbat care merge: ton deschis al pielii;bărbat|bărbat care merge|bărbat care merge: ton deschis al pielii|mers|plimbare|ton deschis al pielii
	🚶🏼‍♂️;bărbat care merge: ton semi‑deschis al pielii;bărbat|bărbat care merge|bărbat care merge: ton semi‑deschis al pielii|mers|plimbare|ton semi‑deschis al pielii
	🚶🏽‍♂️;bărbat care merge: ton mediu al pielii;bărbat|bărbat care merge|bărbat care merge: ton mediu al pielii|mers|plimbare|ton mediu al pielii
	🚶🏾‍♂️;bărbat care merge: ton semi‑închis al pielii;bărbat|bărbat care merge|bărbat care merge: ton semi‑închis al pielii|mers|plimbare|ton semi‑închis al pielii
	🚶🏿‍♂️;bărbat care merge: ton închis al pielii;bărbat|bărbat care merge|bărbat care merge: ton închis al pielii|mers|plimbare|ton închis al pielii
🚶‍♀️;femeie care merge;femeie|femeie care merge|mers|plimbare
	🚶🏻‍♀️;femeie care merge: ton deschis al pielii;femeie|femeie care merge|femeie care merge: ton deschis al pielii|mers|plimbare|ton deschis al pielii
	🚶🏼‍♀️;femeie care merge: ton semi‑deschis al pielii;femeie|femeie care merge|femeie care merge: ton semi‑deschis al pielii|mers|plimbare|ton semi‑deschis al pielii
	🚶🏽‍♀️;femeie care merge: ton mediu al pielii;femeie|femeie care merge|femeie care merge: ton mediu al pielii|mers|plimbare|ton mediu al pielii
	🚶🏾‍♀️;femeie care merge: ton semi‑închis al pielii;femeie|femeie care merge|femeie care merge: ton semi‑închis al pielii|mers|plimbare|ton semi‑închis al pielii
	🚶🏿‍♀️;femeie care merge: ton închis al pielii;femeie|femeie care merge|femeie care merge: ton închis al pielii|mers|plimbare|ton închis al pielii
🚶‍➡️;persoană care merge orientate spre dreapta;deplasare|drumeție|merge|mers|persoană care merge|persoană care merge orientate spre dreapta|pieton|plimbare
	🚶🏻‍➡️;persoană care merge orientate spre dreapta;deplasare|drumeție|merge|mers|persoană care merge|persoană care merge orientate spre dreapta|pieton|plimbare
	🚶🏼‍➡️;persoană care merge orientate spre dreapta;deplasare|drumeție|merge|mers|persoană care merge|persoană care merge orientate spre dreapta|pieton|plimbare
	🚶🏽‍➡️;persoană care merge orientate spre dreapta;deplasare|drumeție|merge|mers|persoană care merge|persoană care merge orientate spre dreapta|pieton|plimbare
	🚶🏾‍➡️;persoană care merge orientate spre dreapta;deplasare|drumeție|merge|mers|persoană care merge|persoană care merge orientate spre dreapta|pieton|plimbare
	🚶🏿‍➡️;persoană care merge orientate spre dreapta;deplasare|drumeție|merge|mers|persoană care merge|persoană care merge orientate spre dreapta|pieton|plimbare
🚶‍♀️‍➡️;femeie care merge orientate spre dreapta;femeie|femeie care merge|femeie care merge orientate spre dreapta|mers|plimbare
	🚶🏻‍♀️‍➡️;femeie care merge orientate spre dreapta;femeie|femeie care merge|femeie care merge orientate spre dreapta|mers|plimbare
	🚶🏼‍♀️‍➡️;femeie care merge orientate spre dreapta;femeie|femeie care merge|femeie care merge orientate spre dreapta|mers|plimbare
	🚶🏽‍♀️‍➡️;femeie care merge orientate spre dreapta;femeie|femeie care merge|femeie care merge orientate spre dreapta|mers|plimbare
	🚶🏾‍♀️‍➡️;femeie care merge orientate spre dreapta;femeie|femeie care merge|femeie care merge orientate spre dreapta|mers|plimbare
	🚶🏿‍♀️‍➡️;femeie care merge orientate spre dreapta;femeie|femeie care merge|femeie care merge orientate spre dreapta|mers|plimbare
🚶‍♂️‍➡️;bărbat care merge orientate spre dreapta;bărbat|bărbat care merge|bărbat care merge orientate spre dreapta|mers|plimbare
	🚶🏻‍♂️‍➡️;bărbat care merge orientate spre dreapta;bărbat|bărbat care merge|bărbat care merge orientate spre dreapta|mers|plimbare
	🚶🏼‍♂️‍➡️;bărbat care merge orientate spre dreapta;bărbat|bărbat care merge|bărbat care merge orientate spre dreapta|mers|plimbare
	🚶🏽‍♂️‍➡️;bărbat care merge orientate spre dreapta;bărbat|bărbat care merge|bărbat care merge orientate spre dreapta|mers|plimbare
	🚶🏾‍♂️‍➡️;bărbat care merge orientate spre dreapta;bărbat|bărbat care merge|bărbat care merge orientate spre dreapta|mers|plimbare
	🚶🏿‍♂️‍➡️;bărbat care merge orientate spre dreapta;bărbat|bărbat care merge|bărbat care merge orientate spre dreapta|mers|plimbare
🧍;persoană în picioare;a sta în picioare|în picioare|persoană în picioare|ridicat
	🧍🏻;persoană în picioare: ton deschis al pielii;a sta în picioare|în picioare|persoană în picioare|persoană în picioare: ton deschis al pielii|ridicat|ton deschis al pielii
	🧍🏼;persoană în picioare: ton semi‑deschis al pielii;a sta în picioare|în picioare|persoană în picioare|persoană în picioare: ton semi‑deschis al pielii|ridicat|ton semi‑deschis al pielii
	🧍🏽;persoană în picioare: ton mediu al pielii;a sta în picioare|în picioare|persoană în picioare|persoană în picioare: ton mediu al pielii|ridicat|ton mediu al pielii
	🧍🏾;persoană în picioare: ton semi‑închis al pielii;a sta în picioare|în picioare|persoană în picioare|persoană în picioare: ton semi‑închis al pielii|ridicat|ton semi‑închis al pielii
	🧍🏿;persoană în picioare: ton închis al pielii;a sta în picioare|în picioare|persoană în picioare|persoană în picioare: ton închis al pielii|ridicat|ton închis al pielii
🧍‍♂️;bărbat în picioare;bărbat|bărbat în picioare|în picioare|ridicat
	🧍🏻‍♂️;bărbat în picioare: ton deschis al pielii;bărbat|bărbat în picioare|bărbat în picioare: ton deschis al pielii|în picioare|ridicat|ton deschis al pielii
	🧍🏼‍♂️;bărbat în picioare: ton semi‑deschis al pielii;bărbat|bărbat în picioare|bărbat în picioare: ton semi‑deschis al pielii|în picioare|ridicat|ton semi‑deschis al pielii
	🧍🏽‍♂️;bărbat în picioare: ton mediu al pielii;bărbat|bărbat în picioare|bărbat în picioare: ton mediu al pielii|în picioare|ridicat|ton mediu al pielii
	🧍🏾‍♂️;bărbat în picioare: ton semi‑închis al pielii;bărbat|bărbat în picioare|bărbat în picioare: ton semi‑închis al pielii|în picioare|ridicat|ton semi‑închis al pielii
	🧍🏿‍♂️;bărbat în picioare: ton închis al pielii;bărbat|bărbat în picioare|bărbat în picioare: ton închis al pielii|în picioare|ridicat|ton închis al pielii
🧍‍♀️;femeie în picioare;femeie|femeie în picioare|în picioare|ridicată
	🧍🏻‍♀️;femeie în picioare: ton deschis al pielii;femeie|femeie în picioare|femeie în picioare: ton deschis al pielii|în picioare|ridicată|ton deschis al pielii
	🧍🏼‍♀️;femeie în picioare: ton semi‑deschis al pielii;femeie|femeie în picioare|femeie în picioare: ton semi‑deschis al pielii|în picioare|ridicată|ton semi‑deschis al pielii
	🧍🏽‍♀️;femeie în picioare: ton mediu al pielii;femeie|femeie în picioare|femeie în picioare: ton mediu al pielii|în picioare|ridicată|ton mediu al pielii
	🧍🏾‍♀️;femeie în picioare: ton semi‑închis al pielii;femeie|femeie în picioare|femeie în picioare: ton semi‑închis al pielii|în picioare|ridicată|ton semi‑închis al pielii
	🧍🏿‍♀️;femeie în picioare: ton închis al pielii;femeie|femeie în picioare|femeie în picioare: ton închis al pielii|în picioare|ridicată|ton închis al pielii
🧎;persoană în genunchi;a îngenunchea|genunchi|îngenunchere|persoană în genunchi
	🧎🏻;persoană în genunchi: ton deschis al pielii;a îngenunchea|genunchi|îngenunchere|persoană în genunchi|persoană în genunchi: ton deschis al pielii|ton deschis al pielii
	🧎🏼;persoană în genunchi: ton semi‑deschis al pielii;a îngenunchea|genunchi|îngenunchere|persoană în genunchi|persoană în genunchi: ton semi‑deschis al pielii|ton semi‑deschis al pielii
	🧎🏽;persoană în genunchi: ton mediu al pielii;a îngenunchea|genunchi|îngenunchere|persoană în genunchi|persoană în genunchi: ton mediu al pielii|ton mediu al pielii
	🧎🏾;persoană în genunchi: ton semi‑închis al pielii;a îngenunchea|genunchi|îngenunchere|persoană în genunchi|persoană în genunchi: ton semi‑închis al pielii|ton semi‑închis al pielii
	🧎🏿;persoană în genunchi: ton închis al pielii;a îngenunchea|genunchi|îngenunchere|persoană în genunchi|persoană în genunchi: ton închis al pielii|ton închis al pielii
🧎‍♂️;bărbat în genunchi;bărbat|bărbat în genunchi|în genunchi|îngenuncheat|îngenunchind
	🧎🏻‍♂️;bărbat în genunchi: ton deschis al pielii;bărbat|bărbat în genunchi|bărbat în genunchi: ton deschis al pielii|în genunchi|îngenuncheat|îngenunchind|ton deschis al pielii
	🧎🏼‍♂️;bărbat în genunchi: ton semi‑deschis al pielii;bărbat|bărbat în genunchi|bărbat în genunchi: ton semi‑deschis al pielii|în genunchi|îngenuncheat|îngenunchind|ton semi‑deschis al pielii
	🧎🏽‍♂️;bărbat în genunchi: ton mediu al pielii;bărbat|bărbat în genunchi|bărbat în genunchi: ton mediu al pielii|în genunchi|îngenuncheat|îngenunchind|ton mediu al pielii
	🧎🏾‍♂️;bărbat în genunchi: ton semi‑închis al pielii;bărbat|bărbat în genunchi|bărbat în genunchi: ton semi‑închis al pielii|în genunchi|îngenuncheat|îngenunchind|ton semi‑închis al pielii
	🧎🏿‍♂️;bărbat în genunchi: ton închis al pielii;bărbat|bărbat în genunchi|bărbat în genunchi: ton închis al pielii|în genunchi|îngenuncheat|îngenunchind|ton închis al pielii
🧎‍♀️;femeie în genunchi;femeie|femeie în genunchi|în genunchi|îngenuncheată|îngenunchind
	🧎🏻‍♀️;femeie în genunchi: ton deschis al pielii;femeie|femeie în genunchi|femeie în genunchi: ton deschis al pielii|în genunchi|îngenuncheată|îngenunchind|ton deschis al pielii
	🧎🏼‍♀️;femeie în genunchi: ton semi‑deschis al pielii;femeie|femeie în genunchi|femeie în genunchi: ton semi‑deschis al pielii|în genunchi|îngenuncheată|îngenunchind|ton semi‑deschis al pielii
	🧎🏽‍♀️;femeie în genunchi: ton mediu al pielii;femeie|femeie în genunchi|femeie în genunchi: ton mediu al pielii|în genunchi|îngenuncheată|îngenunchind|ton mediu al pielii
	🧎🏾‍♀️;femeie în genunchi: ton semi‑închis al pielii;femeie|femeie în genunchi|femeie în genunchi: ton semi‑închis al pielii|în genunchi|îngenuncheată|îngenunchind|ton semi‑închis al pielii
	🧎🏿‍♀️;femeie în genunchi: ton închis al pielii;femeie|femeie în genunchi|femeie în genunchi: ton închis al pielii|în genunchi|îngenuncheată|îngenunchind|ton închis al pielii
🧎‍➡️;persoană în genunchi orientate spre dreapta;a îngenunchea|genunchi|îngenunchere|persoană în genunchi|persoană în genunchi orientate spre dreapta
	🧎🏻‍➡️;persoană în genunchi orientate spre dreapta;a îngenunchea|genunchi|îngenunchere|persoană în genunchi|persoană în genunchi orientate spre dreapta
	🧎🏼‍➡️;persoană în genunchi orientate spre dreapta;a îngenunchea|genunchi|îngenunchere|persoană în genunchi|persoană în genunchi orientate spre dreapta
	🧎🏽‍➡️;persoană în genunchi orientate spre dreapta;a îngenunchea|genunchi|îngenunchere|persoană în genunchi|persoană în genunchi orientate spre dreapta
	🧎🏾‍➡️;persoană în genunchi orientate spre dreapta;a îngenunchea|genunchi|îngenunchere|persoană în genunchi|persoană în genunchi orientate spre dreapta
	🧎🏿‍➡️;persoană în genunchi orientate spre dreapta;a îngenunchea|genunchi|îngenunchere|persoană în genunchi|persoană în genunchi orientate spre dreapta
