[smileys_emotion]
😀;išsišiepęs veidas;išsišiepęs veidas|išsišiepti|veidas
	🏄🏾‍♂️;vyras banglentininkas: tamsios odos;banglenčių sportas|tamsios odos|vyras|vyras banglentininkas|vyras banglentininkas: tamsios odos
	🏄🏿‍♂️;vyras banglentininkas: itin tamsios odos;banglenčių sportas|itin tamsios odos|vyras|vyras banglentininkas|vyras banglentininkas: itin tamsios odos
🏄‍♀️;banglentininkė;banglenčių sportas|banglentininkė|moteris
	🏄🏻‍♀️;banglentininkė: šviesios odos;banglenčių sportas|banglentininkė|banglentininkė: šviesios odos|moteris|šviesios odos
	🏄🏼‍♀️;banglentininkė: vidutinio gymio;banglenčių sportas|banglentininkė|banglentininkė: vidutinio gymio|moteris|vidutinio gymio
	🏄🏽‍♀️;banglentininkė: rusvos odos;banglenčių sportas|banglentininkė|banglentininkė: rusvos odos|moteris|rusvos odos
	🏄🏾‍♀️;banglentininkė: tamsios odos;banglenčių sportas|banglentininkė|banglentininkė: tamsios odos|moteris|tamsios odos
	🏄🏿‍♀️;banglentininkė: itin tamsios odos;banglenčių sportas|banglentininkė|banglentininkė: itin tamsios odos|itin tamsios odos|moteris
🚣;irkluojantis žmogus;irkluojantis žmogus|transporto priemonė|valtis
	🚣🏻;irkluojantis žmogus: šviesios odos;irkluojantis žmogus|irkluojantis žmogus: šviesios odos|šviesios odos|transporto priemonė|valtis
	🚣🏼;irkluojantis žmogus: vidutinio gymio;irkluojantis žmogus|irkluojantis žmogus: vidutinio gymio|transporto priemonė|valtis|vidutinio gymio
	🚣🏽;irkluojantis žmogus: rusvos odos;irkluojantis žmogus|irkluojantis žmogus: rusvos odos|rusvos odos|transporto priemonė|valtis
	🚣🏾;irkluojantis žmogus: tamsios odos;irkluojantis žmogus|irkluojantis žmogus: tamsios odos|tamsios odos|transporto priemonė|valtis
	🚣🏿;irkluojantis žmogus: itin tamsios odos;irkluojantis žmogus|irkluojantis žmogus: itin tamsios odos|itin tamsios odos|transporto priemonė|valtis
🚣‍♂️;irkluotojas;irkluotojas|valtis|vyras
	🚣🏻‍♂️;irkluotojas: šviesios odos;irkluotojas|irkluotojas: šviesios odos|šviesios odos|valtis|vyras
	🚣🏼‍♂️;irkluotojas: vidutinio gymio;irkluotojas|irkluotojas: vidutinio gymio|valtis|vidutinio gymio|vyras
	🚣🏽‍♂️;irkluotojas: rusvos odos;irkluotojas|irkluotojas: rusvos odos|rusvos odos|valtis|vyras
	🚣🏾‍♂️;irkluotojas: tamsios odos;irkluotojas|irkluotojas: tamsios odos|tamsios odos|valtis|vyras
	🚣🏿‍♂️;irkluotojas: itin tamsios odos;irkluotojas|irkluotojas: itin tamsios odos|itin tamsios odos|valtis|vyras
🚣‍♀️;irkluotoja;irkluotoja|moteris|valtis
	🚣🏻‍♀️;irkluotoja: šviesios odos;irkluotoja|irkluotoja: šviesios odos|moteris|šviesios odos|valtis
	🚣🏼‍♀️;irkluotoja: vidutinio gymio;irkluotoja|irkluotoja: vidutinio gymio|moteris|valtis|vidutinio gymio
	🚣🏽‍♀️;irkluotoja: rusvos odos;irkluotoja|irkluotoja: rusvos odos|moteris|rusvos odos|valtis
	🚣🏾‍♀️;irkluotoja: tamsios odos;irkluotoja|irkluotoja: tamsios odos|moteris|tamsios odos|valtis
	🚣🏿‍♀️;irkluotoja: itin tamsios odos;irkluotoja|irkluotoja: itin tamsios odos|itin tamsios odos|moteris|valtis
🏊;plaukikas;plaukikas|plaukti
	🏊🏻;plaukikas: šviesios odos;plaukikas|plaukikas: šviesios odos|plaukti|šviesios odos
	🏊🏼;plaukikas: vidutinio gymio;plaukikas|plaukikas: vidutinio gymio|plaukti|vidutinio gymio
	🏊🏽;plaukikas: rusvos odos;plaukikas|plaukikas: rusvos odos|plaukti|rusvos odos
	🏊🏾;plaukikas: tamsios odos;plaukikas|plaukikas: tamsios odos|plaukti|tamsios odos
	🏊🏿;plaukikas: itin tamsios odos;itin tamsios odos|plaukikas|plaukikas: itin tamsios odos|plaukti
🏊‍♂️;vyras plaukikas;plaukimas|vyras|vyras plaukikas
	🏊🏻‍♂️;vyras plaukikas: šviesios odos;plaukimas|šviesios odos|vyras|vyras plaukikas|vyras plaukikas: šviesios odos
	🏊🏼‍♂️;vyras plaukikas: vidutinio gymio;plaukimas|vidutinio gymio|vyras|vyras plaukikas|vyras plaukikas: vidutinio gymio
	🏊🏽‍♂️;vyras plaukikas: rusvos odos;plaukimas|rusvos odos|vyras|vyras plaukikas|vyras plaukikas: rusvos odos
	🏊🏾‍♂️;vyras plaukikas: tamsios odos;plaukimas|tamsios odos|vyras|vyras plaukikas|vyras plaukikas: tamsios odos
	🏊🏿‍♂️;vyras plaukikas: itin tamsios odos;itin tamsios odos|plaukimas|vyras|vyras plaukikas|vyras plaukikas: itin tamsios odos
🏊‍♀️;plaukikė;moteris|plaukikė|plaukimas
	🏊🏻‍♀️;plaukikė: šviesios odos;moteris|plaukikė|plaukikė: šviesios odos|plaukimas|šviesios odos
	🏊🏼‍♀️;plaukikė: vidutinio gymio;moteris|plaukikė|plaukikė: vidutinio gymio|plaukimas|vidutinio gymio
	🏊🏽‍♀️;plaukikė: rusvos odos;moteris|plaukikė|plaukikė: rusvos odos|plaukimas|rusvos odos
	🏊🏾‍♀️;plaukikė: tamsios odos;moteris|plaukikė|plaukikė: tamsios odos|plaukimas|tamsios odos
	🏊🏿‍♀️;plaukikė: itin tamsios odos;itin tamsios odos|moteris|plaukikė|plaukikė: itin tamsios odos|plaukimas
⛹️;žmogus su kamuoliu;kamuolys|žmogus su kamuoliu
	⛹🏻;žmogus su kamuoliu: šviesios odos;kamuolys|šviesios odos|žmogus su kamuoliu|žmogus su kamuoliu: šviesios odos
	⛹🏼;žmogus su kamuoliu: vidutinio gymio;kamuolys|vidutinio gymio|žmogus su kamuoliu|žmogus su kamuoliu: vidutinio gymio
	⛹🏽;žmogus su kamuoliu: rusvos odos;kamuolys|rusvos odos|žmogus su kamuoliu|žmogus su kamuoliu: rusvos odos
	⛹🏾;žmogus su kamuoliu: tamsios odos;kamuolys|tamsios odos|žmogus su kamuoliu|žmogus su kamuoliu: tamsios odos
	⛹🏿;žmogus su kamuoliu: itin tamsios odos;itin tamsios odos|kamuolys|žmogus su kamuoliu|žmogus su kamuoliu: itin tamsios odos
⛹️‍♂️;vyras su kamuoliu;kamuolys|vyras|vyras su kamuoliu
	⛹🏻‍♂️;vyras su kamuoliu: šviesios odos;kamuolys|šviesios odos|vyras|vyras su kamuoliu|vyras su kamuoliu: šviesios odos
	⛹🏼‍♂️;vyras su kamuoliu: vidutinio gymio;kamuolys|vidutinio gymio|vyras|vyras su kamuoliu|vyras su kamuoliu: vidutinio gymio
	⛹🏽‍♂️;vyras su kamuoliu: rusvos odos;kamuolys|rusvos odos|vyras|vyras su kamuoliu|vyras su kamuoliu: rusvos odos
	⛹🏾‍♂️;vyras su kamuoliu: tamsios odos;kamuolys|tamsios odos|vyras|vyras su kamuoliu|vyras su kamuoliu: tamsios odos
	⛹🏿‍♂️;vyras su kamuoliu: itin tamsios odos;itin tamsios odos|kamuolys|vyras|vyras su kamuoliu|vyras su kamuoliu: itin tamsios odos
⛹️‍♀️;moteris su kamuoliu;kamuolys|moteris|moteris su kamuoliu
	⛹🏻‍♀️;moteris su kamuoliu: šviesios odos;kamuolys|moteris|moteris su kamuoliu|moteris su kamuoliu: šviesios odos|šviesios odos
	⛹🏼‍♀️;moteris su kamuoliu: vidutinio gymio;kamuolys|moteris|moteris su kamuoliu|moteris su kamuoliu: vidutinio gymio|vidutinio gymio
	⛹🏽‍♀️;moteris su kamuoliu: rusvos odos;kamuolys|moteris|moteris su kamuoliu|moteris su kamuoliu: rusvos odos|rusvos odos
	⛹🏾‍♀️;moteris su kamuoliu: tamsios odos;kamuolys|moteris|moteris su kamuoliu|moteris su kamuoliu: tamsios odos|tamsios odos
	⛹🏿‍♀️;moteris su kamuoliu: itin tamsios odos;itin tamsios odos|kamuolys|moteris|moteris su kamuoliu|moteris su kamuoliu: itin tamsios odos
🏋️;svorių kilnotojas;kilnotojas|svoris|svorių kilnotojas
	🏋🏻;svorių kilnotojas: šviesios odos;kilnotojas|šviesios odos|svoris|svorių kilnotojas|svorių kilnotojas: šviesios odos
	🏋🏼;svorių kilnotojas: vidutinio gymio;kilnotojas|svoris|svorių kilnotojas|svorių kilnotojas: vidutinio gymio|vidutinio gymio
	🏋🏽;svorių kilnotojas: rusvos odos;kilnotojas|rusvos odos|svoris|svorių kilnotojas|svorių kilnotojas: rusvos odos
	🏋🏾;svorių kilnotojas: tamsios odos;kilnotojas|svoris|svorių kilnotojas|svorių kilnotojas: tamsios odos|tamsios odos
	🏋🏿;svorių kilnotojas: itin tamsios odos;itin tamsios odos|kilnotojas|svoris|svorių kilnotojas|svorių kilnotojas: itin tamsios odos
🏋️‍♂️;svorius keliantis vyras;keliantis svorį|svorius keliantis vyras|vyras
	🏋🏻‍♂️;svorius keliantis vyras: šviesios odos;keliantis svorį|šviesios odos|svorius keliantis vyras|svorius keliantis vyras: šviesios odos|vyras
	🏋🏼‍♂️;svorius keliantis vyras: vidutinio gymio;keliantis svorį|svorius keliantis vyras|svorius keliantis vyras: vidutinio gymio|vidutinio gymio|vyras
	🏋🏽‍♂️;svorius keliantis vyras: rusvos odos;keliantis svorį|rusvos odos|svorius keliantis vyras|svorius keliantis vyras: rusvos odos|vyras
	🏋🏾‍♂️;svorius keliantis vyras: tamsios odos;keliantis svorį|svorius keliantis vyras|svorius keliantis vyras: tamsios odos|tamsios odos|vyras
	🏋🏿‍♂️;svorius keliantis vyras: itin tamsios odos;itin tamsios odos|keliantis svorį|svorius keliantis vyras|svorius keliantis vyras: itin tamsios odos|vyras
🏋️‍♀️;svorius kelianti moteris;kelianti svorį|moteris|svorius kelianti moteris
	🏋🏻‍♀️;svorius kelianti moteris: šviesios odos;kelianti svorį|moteris|šviesios odos|svorius kelianti moteris|svorius kelianti moteris: šviesios odos
	🏋🏼‍♀️;svorius kelianti moteris: vidutinio gymio;kelianti svorį|moteris|svorius kelianti moteris|svorius kelianti moteris: vidutinio gymio|vidutinio gymio
	🏋🏽‍♀️;svorius kelianti moteris: rusvos odos;kelianti svorį|moteris|rusvos odos|svorius kelianti moteris|svorius kelianti moteris: rusvos odos
	🏋🏾‍♀️;svorius kelianti moteris: tamsios odos;kelianti svorį|moteris|svorius kelianti moteris|svorius kelianti moteris: tamsios odos|tamsios odos
	🏋🏿‍♀️;svorius kelianti moteris: itin tamsios odos;itin tamsios odos|kelianti svorį|moteris|svorius kelianti moteris|svorius kelianti moteris: itin tamsios odos
🚴;dviratininkas;dviratininkas|dviratis
	🚴🏻;dviratininkas: šviesios odos;dviratininkas|dviratininkas: šviesios odos|dviratis|šviesios odos
	🚴🏼;dviratininkas: vidutinio gymio;dviratininkas|dviratininkas: vidutinio gymio|dviratis|vidutinio gymio
	🚴🏽;dviratininkas: rusvos odos;dviratininkas|dviratininkas: rusvos odos|dviratis|rusvos odos
	🚴🏾;dviratininkas: tamsios odos;dviratininkas|dviratininkas: tamsios odos|dviratis|tamsios odos
	🚴🏿;dviratininkas: itin tamsios odos;dviratininkas|dviratininkas: itin tamsios odos|dviratis|itin tamsios odos
🚴‍♂️;vyras dviratininkas;dviratininkas|dviratis|važinėjimas dviračiu|vyras
	🚴🏻‍♂️;vyras dviratininkas: šviesios odos;dviratininkas|dviratis|šviesios odos|važinėjimas dviračiu|vyras|vyras dviratininkas: šviesios odos
	🚴🏼‍♂️;vyras dviratininkas: vidutinio gymio;dviratininkas|dviratis|važinėjimas dviračiu|vidutinio gymio|vyras|vyras dviratininkas: vidutinio gymio
	🚴🏽‍♂️;vyras dviratininkas: rusvos odos;dviratininkas|dviratis|rusvos odos|važinėjimas dviračiu|vyras|vyras dviratininkas: rusvos odos
	🚴🏾‍♂️;vyras dviratininkas: tamsios odos;dviratininkas|dviratis|tamsios odos|važinėjimas dviračiu|vyras|vyras dviratininkas: tamsios odos
	🚴🏿‍♂️;vyras dviratininkas: itin tamsios odos;dviratininkas|dviratis|itin tamsios odos|važinėjimas dviračiu|vyras|vyras dviratininkas: itin tamsios odos
🚴‍♀️;dviratininkė;dviratininkė|dviratis|moteris|važinėjimas dviračiu
	🚴🏻‍♀️;dviratininkė: šviesios odos;dviratininkė|dviratininkė: šviesios odos|dviratis|moteris|šviesios odos|važinėjimas dviračiu
	🚴🏼‍♀️;dviratininkė: vidutinio gymio;dviratininkė|dviratininkė: vidutinio gymio|dviratis|moteris|važinėjimas dviračiu|vidutinio gymio
	🚴🏽‍♀️;dviratininkė: rusvos odos;dviratininkė|dviratininkė: rusvos odos|dviratis|moteris|rusvos odos|važinėjimas dviračiu
	🚴🏾‍♀️;dviratininkė: tamsios odos;dviratininkė|dviratininkė: tamsios odos|dviratis|moteris|tamsios odos|važinėjimas dviračiu
	🚴🏿‍♀️;dviratininkė: itin tamsios odos;dviratininkė|dviratininkė: itin tamsios odos|dviratis|itin tamsios odos|moteris|važinėjimas dviračiu
🚵;kalnų dviratininkas;dviratininkas|dviratis|kalnas|kalnų dviratininkas
	🚵🏻;kalnų dviratininkas: šviesios odos;dviratininkas|dviratis|kalnas|kalnų dviratininkas|kalnų dviratininkas: šviesios odos|šviesios odos
	🚵🏼;kalnų dviratininkas: vidutinio gymio;dviratininkas|dviratis|kalnas|kalnų dviratininkas|kalnų dviratininkas: vidutinio gymio|vidutinio gymio
	🚵🏽;kalnų dviratininkas: rusvos odos;dviratininkas|dviratis|kalnas|kalnų dviratininkas|kalnų dviratininkas: rusvos odos|rusvos odos
	🚵🏾;kalnų dviratininkas: tamsios odos;dviratininkas|dviratis|kalnas|kalnų dviratininkas|kalnų dviratininkas: tamsios odos|tamsios odos
	🚵🏿;kalnų dviratininkas: itin tamsios odos;dviratininkas|dviratis|itin tamsios odos|kalnas|kalnų dviratininkas|kalnų dviratininkas: itin tamsios odos
🚵‍♂️;kalnų dviratininkas vyras;dviratininkas|dviratis|kalnas|kalnų dviratininkas vyras|važinėjimas dviračiu|vyras
	🚵🏻‍♂️;kalnų dviratininkas vyras: šviesios odos;dviratininkas|dviratis|kalnas|kalnų dviratininkas vyras|kalnų dviratininkas vyras: šviesios odos|šviesios odos|važinėjimas dviračiu|vyras
	🚵🏼‍♂️;kalnų dviratininkas vyras: vidutinio gymio;dviratininkas|dviratis|kalnas|kalnų dviratininkas vyras|kalnų dviratininkas vyras: vidutinio gymio|važinėjimas dviračiu|vidutinio gymio|vyras
	🚵🏽‍♂️;kalnų dviratininkas vyras: rusvos odos;dviratininkas|dviratis|kalnas|kalnų dviratininkas vyras|kalnų dviratininkas vyras: rusvos odos|rusvos odos|važinėjimas dviračiu|vyras
	🚵🏾‍♂️;kalnų dviratininkas vyras: tamsios odos;dviratininkas|dviratis|kalnas|kalnų dviratininkas vyras|kalnų dviratininkas vyras: tamsios odos|tamsios odos|važinėjimas dviračiu|vyras
	🚵🏿‍♂️;kalnų dviratininkas vyras: itin tamsios odos;dviratininkas|dviratis|itin tamsios odos|kalnas|kalnų dviratininkas vyras|kalnų dviratininkas vyras: itin tamsios odos|važinėjimas dviračiu|vyras
🚵‍♀️;kalnų dviratininkė moteris;dviratininkė|dviratis|kalnas|kalnų dviratininkė moteris|moteris|važinėjimas dviračiu
	🚵🏻‍♀️;kalnų dviratininkė moteris: šviesios odos;dviratininkė|dviratis|kalnas|kalnų dviratininkė moteris|kalnų dviratininkė moteris: šviesios odos|moteris|šviesios odos|važinėjimas dviračiu
	🚵🏼‍♀️;kalnų dviratininkė moteris: vidutinio gymio;dviratininkė|dviratis|kalnas|kalnų dviratininkė moteris|kalnų dviratininkė moteris: vidutinio gymio|moteris|važinėjimas dviračiu|vidutinio gymio
	🚵🏽‍♀️;kalnų dviratininkė moteris: rusvos odos;dviratininkė|dviratis|kalnas|kalnų dviratininkė moteris|kalnų dviratininkė moteris: rusvos odos|moteris|rusvos odos|važinėjimas dviračiu
	🚵🏾‍♀️;kalnų dviratininkė moteris: tamsios odos;dviratininkė|dviratis|kalnas|kalnų dviratininkė moteris|kalnų dviratininkė moteris: tamsios odos|moteris|tamsios odos|važinėjimas dviračiu
	🚵🏿‍♀️;kalnų dviratininkė moteris: itin tamsios odos;dviratininkė|dviratis|itin tamsios odos|kalnas|kalnų dviratininkė moteris|kalnų dviratininkė moteris: itin tamsios odos|moteris|važinėjimas dviračiu
🤸;persivertimas šonu;gimnastika|persivertimas|persivertimas šonu
	🤸🏻;persivertimas šonu: šviesios odos;gimnastika|persivertimas|persivertimas šonu|persivertimas šonu: šviesios odos|šviesios odos
	🤸🏼;persivertimas šonu: vidutinio gymio;gimnastika|persivertimas|persivertimas šonu|persivertimas šonu: vidutinio gymio|vidutinio gymio
	🤸🏽;persivertimas šonu: rusvos odos;gimnastika|persivertimas|persivertimas šonu|persivertimas šonu: rusvos odos|rusvos odos
	🤸🏾;persivertimas šonu: tamsios odos;gimnastika|persivertimas|persivertimas šonu|persivertimas šonu: tamsios odos|tamsios odos
	🤸🏿;persivertimas šonu: itin tamsios odos;gimnastika|itin tamsios odos|persivertimas|persivertimas šonu|persivertimas šonu: itin tamsios odos
🤸‍♂️;vyras daro suktuką;gimnastika|suktukas|vyras|vyras daro suktuką
	🤸🏻‍♂️;vyras daro suktuką: šviesios odos;gimnastika|suktukas|šviesios odos|vyras|vyras daro suktuką|vyras daro suktuką: šviesios odos
	🤸🏼‍♂️;vyras daro suktuką: vidutinio gymio;gimnastika|suktukas|vidutinio gymio|vyras|vyras daro suktuką|vyras daro suktuką: vidutinio gymio
	🤸🏽‍♂️;vyras daro suktuką: rusvos odos;gimnastika|rusvos odos|suktukas|vyras|vyras daro suktuką|vyras daro suktuką: rusvos odos
	🤸🏾‍♂️;vyras daro suktuką: tamsios odos;gimnastika|suktukas|tamsios odos|vyras|vyras daro suktuką|vyras daro suktuką: tamsios odos
	🤸🏿‍♂️;vyras daro suktuką: itin tamsios odos;gimnastika|itin tamsios odos|suktukas|vyras|vyras daro suktuką|vyras daro suktuką: itin tamsios odos
🤸‍♀️;moteris daro suktuką;gimnastika|moteris|moteris daro suktuką|suktukas
	🤸🏻‍♀️;moteris daro suktuką: šviesios odos;gimnastika|moteris|moteris daro suktuką|moteris daro suktuką: šviesios odos|suktukas|šviesios odos
	🤸🏼‍♀️;moteris daro suktuką: vidutinio gymio;gimnastika|moteris|moteris daro suktuką|moteris daro suktuką: vidutinio gymio|suktukas|vidutinio gymio
	🤸🏽‍♀️;moteris daro suktuką: rusvos odos;gimnastika|moteris|moteris daro suktuką|moteris daro suktuką: rusvos odos|rusvos odos|suktukas
	🤸🏾‍♀️;moteris daro suktuką: tamsios odos;gimnastika|moteris|moteris daro suktuką|moteris daro suktuką: tamsios odos|suktukas|tamsios odos
	🤸🏿‍♀️;moteris daro suktuką: itin tamsios odos;gimnastika|itin tamsios odos|moteris|moteris daro suktuką|moteris daro suktuką: itin tamsios odos|suktukas
🤼;imtynininkai;imtynės|imtynininkai|imtynininkas
🤼‍♂️;vyrų imtynės;imtynės|vyrai|vyrų imtynės
🤼‍♀️;moterų imtynės;imtynės|moteris|moterų imtynės
🤽;vandensvydis;vandensvydis|vanduo
	🤽🏻;vandensvydis: šviesios odos;šviesios odos|vandensvydis|vandensvydis: šviesios odos|vanduo
	🤽🏼;vandensvydis: vidutinio gymio;vandensvydis|vandensvydis: vidutinio gymio|vanduo|vidutinio gymio
	🤽🏽;vandensvydis: rusvos odos;rusvos odos|vandensvydis|vandensvydis: rusvos odos|vanduo
	🤽🏾;vandensvydis: tamsios odos;tamsios odos|vandensvydis|vandensvydis: tamsios odos|vanduo
	🤽🏿;vandensvydis: itin tamsios odos;itin tamsios odos|vandensvydis|vandensvydis: itin tamsios odos|vanduo
🤽‍♂️;vandensvydžio žaidėjas;vandensvydis|vandensvydžio žaidėjas|vyras
	🤽🏻‍♂️;vandensvydžio žaidėjas: šviesios odos;šviesios odos|vandensvydis|vandensvydžio žaidėjas|vandensvydžio žaidėjas: šviesios odos|vyras
	🤽🏼‍♂️;vandensvydžio žaidėjas: vidutinio gymio;vandensvydis|vandensvydžio žaidėjas|vandensvydžio žaidėjas: vidutinio gymio|vidutinio gymio|vyras
	🤽🏽‍♂️;vandensvydžio žaidėjas: rusvos odos;rusvos odos|vandensvydis|vandensvydžio žaidėjas|vandensvydžio žaidėjas: rusvos odos|vyras
