[smileys_emotion]
😀;инээсэн царай;инээсэн царай|инээх|царай
🧎‍♂️;сөхөрч буй эрэгтэй;сөхөрч буй|сөхөрч буй эрэгтэй|эрэгтэй
	🧎🏻‍♂️;сөхөрч буй эрэгтэй: цайвар;сөхөрч буй|сөхөрч буй эрэгтэй|сөхөрч буй эрэгтэй: цайвар|цайвар|эрэгтэй
	🧎🏼‍♂️;сөхөрч буй эрэгтэй: бага зэргийн цайвар;бага зэргийн цайвар|сөхөрч буй|сөхөрч буй эрэгтэй|сөхөрч буй эрэгтэй: бага зэргийн цайвар|эрэгтэй
	🧎🏽‍♂️;сөхөрч буй эрэгтэй: дунд зэргийн;дунд зэргийн|сөхөрч буй|сөхөрч буй эрэгтэй|сөхөрч буй эрэгтэй: дунд зэргийн|эрэгтэй
	🧎🏾‍♂️;сөхөрч буй эрэгтэй: бордуу;бордуу|сөхөрч буй|сөхөрч буй эрэгтэй|сөхөрч буй эрэгтэй: бордуу|эрэгтэй
	🧎🏿‍♂️;сөхөрч буй эрэгтэй: бор;бор|сөхөрч буй|сөхөрч буй эрэгтэй|сөхөрч буй эрэгтэй: бор|эрэгтэй
🧎‍♀️;сөхөрч буй эмэгтэй;сөхөрч буй|сөхөрч буй эмэгтэй|эмэгтэй
	🧎🏻‍♀️;сөхөрч буй эмэгтэй: цайвар;сөхөрч буй|сөхөрч буй эмэгтэй|сөхөрч буй эмэгтэй: цайвар|цайвар|эмэгтэй
	🧎🏼‍♀️;сөхөрч буй эмэгтэй: бага зэргийн цайвар;бага зэргийн цайвар|сөхөрч буй|сөхөрч буй эмэгтэй|сөхөрч буй эмэгтэй: бага зэргийн цайвар|эмэгтэй
	🧎🏽‍♀️;сөхөрч буй эмэгтэй: дунд зэргийн;дунд зэргийн|сөхөрч буй|сөхөрч буй эмэгтэй|сөхөрч буй эмэгтэй: дунд зэргийн|эмэгтэй
	🧎🏾‍♀️;сөхөрч буй эмэгтэй: бордуу;бордуу|сөхөрч буй|сөхөрч буй эмэгтэй|сөхөрч буй эмэгтэй: бордуу|эмэгтэй
	🧎🏿‍♀️;сөхөрч буй эмэгтэй: бор;бор|сөхөрч буй|сөхөрч буй эмэгтэй|сөхөрч буй эмэгтэй: бор|эмэгтэй
🧎‍➡️;;
	🧎🏻‍➡️;;
	🧎🏼‍➡️;;
	🧎🏽‍➡️;;
	🧎🏾‍➡️;;
	🧎🏿‍➡️;;
🧎‍♀️‍➡️;;
	🧎🏻‍♀️‍➡️;;
	🧎🏼‍♀️‍➡️;;
	🧎🏽‍♀️‍➡️;;
	🧎🏾‍♀️‍➡️;;
	🧎🏿‍♀️‍➡️;;
🧎‍♂️‍➡️;;
	🧎🏻‍♂️‍➡️;;
	🧎🏼‍♂️‍➡️;;
	🧎🏽‍♂️‍➡️;;
	🧎🏾‍♂️‍➡️;;
	🧎🏿‍♂️‍➡️;;
🧑‍🦯;метал илрүүлэгчтэй хүн;метал илрүүлэгчтэй хүн|хараагүй хүн|хүртээмжтэй байдал|цагаан таягтай хүн
	🧑🏻‍🦯;метал илрүүлэгчтэй хүн: цайвар;метал илрүүлэгчтэй хүн|метал илрүүлэгчтэй хүн: цайвар|хараагүй хүн|хүртээмжтэй байдал|цагаан таягтай хүн|цайвар
	🧑🏼‍🦯;метал илрүүлэгчтэй хүн: бага зэргийн цайвар;бага зэргийн цайвар|метал илрүүлэгчтэй хүн|метал илрүүлэгчтэй хүн: бага зэргийн цайвар|хараагүй хүн|хүртээмжтэй байдал|цагаан таягтай хүн
	🧑🏽‍🦯;метал илрүүлэгчтэй хүн: дунд зэргийн;дунд зэргийн|метал илрүүлэгчтэй хүн|метал илрүүлэгчтэй хүн: дунд зэргийн|хараагүй хүн|хүртээмжтэй байдал|цагаан таягтай хүн
	🧑🏾‍🦯;метал илрүүлэгчтэй хүн: бордуу;бордуу|метал илрүүлэгчтэй хүн|метал илрүүлэгчтэй хүн: бордуу|хараагүй хүн|хүртээмжтэй байдал|цагаан таягтай хүн
	🧑🏿‍🦯;метал илрүүлэгчтэй хүн: бор;бор|метал илрүүлэгчтэй хүн|метал илрүүлэгчтэй хүн: бор|хараагүй хүн|хүртээмжтэй байдал|цагаан таягтай хүн
🧑‍🦯‍➡️;;
	🧑🏻‍🦯‍➡️;;
	🧑🏼‍🦯‍➡️;;
	🧑🏽‍🦯‍➡️;;
	🧑🏾‍🦯‍➡️;;
	🧑🏿‍🦯‍➡️;;
👨‍🦯;таягтай хараагүй эрэгтэй;таягтай хараагүй эрэгтэй|хараагүй|хөгжлийн бэрхшээл|эрэгтэй
	👨🏻‍🦯;таягтай хараагүй эрэгтэй: цайвар;таягтай хараагүй эрэгтэй|таягтай хараагүй эрэгтэй: цайвар|хараагүй|хөгжлийн бэрхшээл|цайвар|эрэгтэй
	👨🏼‍🦯;таягтай хараагүй эрэгтэй: бага зэргийн цайвар;бага зэргийн цайвар|таягтай хараагүй эрэгтэй|таягтай хараагүй эрэгтэй: бага зэргийн цайвар|хараагүй|хөгжлийн бэрхшээл|эрэгтэй
	👨🏽‍🦯;таягтай хараагүй эрэгтэй: дунд зэргийн;дунд зэргийн|таягтай хараагүй эрэгтэй|таягтай хараагүй эрэгтэй: дунд зэргийн|хараагүй|хөгжлийн бэрхшээл|эрэгтэй
	👨🏾‍🦯;таягтай хараагүй эрэгтэй: бордуу;бордуу|таягтай хараагүй эрэгтэй|таягтай хараагүй эрэгтэй: бордуу|хараагүй|хөгжлийн бэрхшээл|эрэгтэй
	👨🏿‍🦯;таягтай хараагүй эрэгтэй: бор;бор|таягтай хараагүй эрэгтэй|таягтай хараагүй эрэгтэй: бор|хараагүй|хөгжлийн бэрхшээл|эрэгтэй
👨‍🦯‍➡️;;
	👨🏻‍🦯‍➡️;;
	👨🏼‍🦯‍➡️;;
	👨🏽‍🦯‍➡️;;
	👨🏾‍🦯‍➡️;;
	👨🏿‍🦯‍➡️;;
👩‍🦯;таягтай хараагүй эмэгтэй;таягтай хараагүй эмэгтэй|хараагүй|хөгжлийн бэрхшээл|эмэгтэй
	👩🏻‍🦯;таягтай хараагүй эмэгтэй: цайвар;таягтай хараагүй эмэгтэй|таягтай хараагүй эмэгтэй: цайвар|хараагүй|хөгжлийн бэрхшээл|цайвар|эмэгтэй
	👩🏼‍🦯;таягтай хараагүй эмэгтэй: бага зэргийн цайвар;бага зэргийн цайвар|таягтай хараагүй эмэгтэй|таягтай хараагүй эмэгтэй: бага зэргийн цайвар|хараагүй|хөгжлийн бэрхшээл|эмэгтэй
	👩🏽‍🦯;таягтай хараагүй эмэгтэй: дунд зэргийн;дунд зэргийн|таягтай хараагүй эмэгтэй|таягтай хараагүй эмэгтэй: дунд зэргийн|хараагүй|хөгжлийн бэрхшээл|эмэгтэй
	👩🏾‍🦯;таягтай хараагүй эмэгтэй: бордуу;бордуу|таягтай хараагүй эмэгтэй|таягтай хараагүй эмэгтэй: бордуу|хараагүй|хөгжлийн бэрхшээл|эмэгтэй
	👩🏿‍🦯;таягтай хараагүй эмэгтэй: бор;бор|таягтай хараагүй эмэгтэй|таягтай хараагүй эмэгтэй: бор|хараагүй|хөгжлийн бэрхшээл|эмэгтэй
👩‍🦯‍➡️;;
	👩🏻‍🦯‍➡️;;
	👩🏼‍🦯‍➡️;;
	👩🏽‍🦯‍➡️;;
	👩🏾‍🦯‍➡️;;
	👩🏿‍🦯‍➡️;;
🧑‍🦼;автомат удирдлагатай тэргэнцэртэй хүн;автомат удирдлагатай тэргэнцэртэй хүн|тэргэнцэр|хүртээмж
	🧑🏻‍🦼;автомат удирдлагатай тэргэнцэртэй хүн: цайвар;автомат удирдлагатай тэргэнцэртэй хүн|автомат удирдлагатай тэргэнцэртэй хүн: цайвар|тэргэнцэр|хүртээмж|цайвар
	🧑🏼‍🦼;автомат удирдлагатай тэргэнцэртэй хүн: бага зэргийн цайвар;автомат удирдлагатай тэргэнцэртэй хүн|автомат удирдлагатай тэргэнцэртэй хүн: бага зэргийн цайвар|бага зэргийн цайвар|тэргэнцэр|хүртээмж
	🧑🏽‍🦼;автомат удирдлагатай тэргэнцэртэй хүн: дунд зэргийн;автомат удирдлагатай тэргэнцэртэй хүн|автомат удирдлагатай тэргэнцэртэй хүн: дунд зэргийн|дунд зэргийн|тэргэнцэр|хүртээмж
	🧑🏾‍🦼;автомат удирдлагатай тэргэнцэртэй хүн: бордуу;автомат удирдлагатай тэргэнцэртэй хүн|автомат удирдлагатай тэргэнцэртэй хүн: бордуу|бордуу|тэргэнцэр|хүртээмж
	🧑🏿‍🦼;автомат удирдлагатай тэргэнцэртэй хүн: бор;автомат удирдлагатай тэргэнцэртэй хүн|автомат удирдлагатай тэргэнцэртэй хүн: бор|бор|тэргэнцэр|хүртээмж
🧑‍🦼‍➡️;;
	🧑🏻‍🦼‍➡️;;
	🧑🏼‍🦼‍➡️;;
	🧑🏽‍🦼‍➡️;;
	🧑🏾‍🦼‍➡️;;
	🧑🏿‍🦼‍➡️;;
👨‍🦼;моторт тэргэнцэртэй эрэгтэй;моторт тэргэнцэртэй эрэгтэй|тэргэнцэр|хөгжлийн бэрхшээл|эрэгтэй
	👨🏻‍🦼;моторт тэргэнцэртэй эрэгтэй: цайвар;моторт тэргэнцэртэй эрэгтэй|моторт тэргэнцэртэй эрэгтэй: цайвар|тэргэнцэр|хөгжлийн бэрхшээл|цайвар|эрэгтэй
	👨🏼‍🦼;моторт тэргэнцэртэй эрэгтэй: бага зэргийн цайвар;бага зэргийн цайвар|моторт тэргэнцэртэй эрэгтэй|моторт тэргэнцэртэй эрэгтэй: бага зэргийн цайвар|тэргэнцэр|хөгжлийн бэрхшээл|эрэгтэй
	👨🏽‍🦼;моторт тэргэнцэртэй эрэгтэй: дунд зэргийн;дунд зэргийн|моторт тэргэнцэртэй эрэгтэй|моторт тэргэнцэртэй эрэгтэй: дунд зэргийн|тэргэнцэр|хөгжлийн бэрхшээл|эрэгтэй
	👨🏾‍🦼;моторт тэргэнцэртэй эрэгтэй: бордуу;бордуу|моторт тэргэнцэртэй эрэгтэй|моторт тэргэнцэртэй эрэгтэй: бордуу|тэргэнцэр|хөгжлийн бэрхшээл|эрэгтэй
	👨🏿‍🦼;моторт тэргэнцэртэй эрэгтэй: бор;бор|моторт тэргэнцэртэй эрэгтэй|моторт тэргэнцэртэй эрэгтэй: бор|тэргэнцэр|хөгжлийн бэрхшээл|эрэгтэй
