[smileys_emotion]
😀;Grinsgesiicht;Gesiicht|Grinsen|Grinsgesiicht
	🧖🏿;Persoun am Dampbad: däischter Hautfaarf;däischter Hautfaarf|Dampbad|Persoun am Dampbad|Persoun am Dampbad: däischter Hautfaarf|Sauna
🧖‍♂️;Mann am Dampbad;Dampbad|Mann am Dampbad|Sauna
	🧖🏻‍♂️;Mann am Dampbad: hell Hautfaarf;Dampbad|hell Hautfaarf|Mann am Dampbad|Mann am Dampbad: hell Hautfaarf|Sauna
	🧖🏼‍♂️;Mann am Dampbad: mëttelhell Hautfaarf;Dampbad|Mann am Dampbad|Mann am Dampbad: mëttelhell Hautfaarf|mëttelhell Hautfaarf|Sauna
	🧖🏽‍♂️;Mann am Dampbad: mëttel Hautfaarf;Dampbad|Mann am Dampbad|Mann am Dampbad: mëttel Hautfaarf|mëttel Hautfaarf|Sauna
	🧖🏾‍♂️;Mann am Dampbad: mëtteldäischter Hautfaarf;Dampbad|Mann am Dampbad|Mann am Dampbad: mëtteldäischter Hautfaarf|mëtteldäischter Hautfaarf|Sauna
	🧖🏿‍♂️;Mann am Dampbad: däischter Hautfaarf;däischter Hautfaarf|Dampbad|Mann am Dampbad|Mann am Dampbad: däischter Hautfaarf|Sauna
🧖‍♀️;Fra am Dampbad;Dampbad|Fra am Dampbad|Sauna
	🧖🏻‍♀️;Fra am Dampbad: hell Hautfaarf;Dampbad|Fra am Dampbad|Fra am Dampbad: hell Hautfaarf|hell Hautfaarf|Sauna
	🧖🏼‍♀️;Fra am Dampbad: mëttelhell Hautfaarf;Dampbad|Fra am Dampbad|Fra am Dampbad: mëttelhell Hautfaarf|mëttelhell Hautfaarf|Sauna
	🧖🏽‍♀️;Fra am Dampbad: mëttel Hautfaarf;Dampbad|Fra am Dampbad|Fra am Dampbad: mëttel Hautfaarf|mëttel Hautfaarf|Sauna
	🧖🏾‍♀️;Fra am Dampbad: mëtteldäischter Hautfaarf;Dampbad|Fra am Dampbad|Fra am Dampbad: mëtteldäischter Hautfaarf|mëtteldäischter Hautfaarf|Sauna
	🧖🏿‍♀️;Fra am Dampbad: däischter Hautfaarf;däischter Hautfaarf|Dampbad|Fra am Dampbad|Fra am Dampbad: däischter Hautfaarf|Sauna
🧗;Klëmmer(in);Biergsteiger|Klëmmer(in)
	🧗🏻;Klëmmer(in): hell Hautfaarf;Biergsteiger|hell Hautfaarf|Klëmmer(in)|Klëmmer(in): hell Hautfaarf
	🧗🏼;Klëmmer(in): mëttelhell Hautfaarf;Biergsteiger|Klëmmer(in)|Klëmmer(in): mëttelhell Hautfaarf|mëttelhell Hautfaarf
	🧗🏽;Klëmmer(in): mëttel Hautfaarf;Biergsteiger|Klëmmer(in)|Klëmmer(in): mëttel Hautfaarf|mëttel Hautfaarf
	🧗🏾;Klëmmer(in): mëtteldäischter Hautfaarf;Biergsteiger|Klëmmer(in)|Klëmmer(in): mëtteldäischter Hautfaarf|mëtteldäischter Hautfaarf
	🧗🏿;Klëmmer(in): däischter Hautfaarf;Biergsteiger|däischter Hautfaarf|Klëmmer(in)|Klëmmer(in): däischter Hautfaarf
🧗‍♂️;Klëmmer;Biergsteiger|Klëmmer
	🧗🏻‍♂️;Klëmmer: hell Hautfaarf;Biergsteiger|hell Hautfaarf|Klëmmer|Klëmmer: hell Hautfaarf
	🧗🏼‍♂️;Klëmmer: mëttelhell Hautfaarf;Biergsteiger|Klëmmer|Klëmmer: mëttelhell Hautfaarf|mëttelhell Hautfaarf
	🧗🏽‍♂️;Klëmmer: mëttel Hautfaarf;Biergsteiger|Klëmmer|Klëmmer: mëttel Hautfaarf|mëttel Hautfaarf
	🧗🏾‍♂️;Klëmmer: mëtteldäischter Hautfaarf;Biergsteiger|Klëmmer|Klëmmer: mëtteldäischter Hautfaarf|mëtteldäischter Hautfaarf
	🧗🏿‍♂️;Klëmmer: däischter Hautfaarf;Biergsteiger|däischter Hautfaarf|Klëmmer|Klëmmer: däischter Hautfaarf
🧗‍♀️;Klëmmerin;Biergsteiger|Klëmmerin
	🧗🏻‍♀️;Klëmmerin: hell Hautfaarf;Biergsteiger|hell Hautfaarf|Klëmmerin|Klëmmerin: hell Hautfaarf
	🧗🏼‍♀️;Klëmmerin: mëttelhell Hautfaarf;Biergsteiger|Klëmmerin|Klëmmerin: mëttelhell Hautfaarf|mëttelhell Hautfaarf
	🧗🏽‍♀️;Klëmmerin: mëttel Hautfaarf;Biergsteiger|Klëmmerin|Klëmmerin: mëttel Hautfaarf|mëttel Hautfaarf
	🧗🏾‍♀️;Klëmmerin: mëtteldäischter Hautfaarf;Biergsteiger|Klëmmerin|Klëmmerin: mëtteldäischter Hautfaarf|mëtteldäischter Hautfaarf
	🧗🏿‍♀️;Klëmmerin: däischter Hautfaarf;Biergsteiger|däischter Hautfaarf|Klëmmerin|Klëmmerin: däischter Hautfaarf
🤺;fechtend Persoun;fechten|fechtend Persoun|Fechter|Schwäert
🏇;Päerdscourse;Course|Coursepäerd|Jockey|Päerd|Päerdscourse
	🏇🏻;Päerdscourse: hell Hautfaarf;Course|Coursepäerd|hell Hautfaarf|Jockey|Päerd|Päerdscourse|Päerdscourse: hell Hautfaarf
	🏇🏼;Päerdscourse: mëttelhell Hautfaarf;Course|Coursepäerd|Jockey|mëttelhell Hautfaarf|Päerd|Päerdscourse|Päerdscourse: mëttelhell Hautfaarf
	🏇🏽;Päerdscourse: mëttel Hautfaarf;Course|Coursepäerd|Jockey|mëttel Hautfaarf|Päerd|Päerdscourse|Päerdscourse: mëttel Hautfaarf
	🏇🏾;Päerdscourse: mëtteldäischter Hautfaarf;Course|Coursepäerd|Jockey|mëtteldäischter Hautfaarf|Päerd|Päerdscourse|Päerdscourse: mëtteldäischter Hautfaarf
	🏇🏿;Päerdscourse: däischter Hautfaarf;Course|Coursepäerd|däischter Hautfaarf|Jockey|Päerd|Päerdscourse|Päerdscourse: däischter Hautfaarf
⛷️;Skifuerer;Schnéi|Ski|Skifuerer
🏂;Snowboarder;Schnéi|Ski|Snowboard|Snowboarder
	🏂🏻;Snowboarder: hell Hautfaarf;hell Hautfaarf|Schnéi|Ski|Snowboard|Snowboarder|Snowboarder: hell Hautfaarf
	🏂🏼;Snowboarder: mëttelhell Hautfaarf;mëttelhell Hautfaarf|Schnéi|Ski|Snowboard|Snowboarder|Snowboarder: mëttelhell Hautfaarf
	🏂🏽;Snowboarder: mëttel Hautfaarf;mëttel Hautfaarf|Schnéi|Ski|Snowboard|Snowboarder|Snowboarder: mëttel Hautfaarf
	🏂🏾;Snowboarder: mëtteldäischter Hautfaarf;mëtteldäischter Hautfaarf|Schnéi|Ski|Snowboard|Snowboarder|Snowboarder: mëtteldäischter Hautfaarf
	🏂🏿;Snowboarder: däischter Hautfaarf;däischter Hautfaarf|Schnéi|Ski|Snowboard|Snowboarder|Snowboarder: däischter Hautfaarf
🏌️;Golferspiller;Ball|Golf|Golferspiller
	🏌🏻;Golferspiller: hell Hautfaarf;Ball|Golf|Golferspiller|Golferspiller: hell Hautfaarf|hell Hautfaarf
	🏌🏼;Golferspiller: mëttelhell Hautfaarf;Ball|Golf|Golferspiller|Golferspiller: mëttelhell Hautfaarf|mëttelhell Hautfaarf
	🏌🏽;Golferspiller: mëttel Hautfaarf;Ball|Golf|Golferspiller|Golferspiller: mëttel Hautfaarf|mëttel Hautfaarf
	🏌🏾;Golferspiller: mëtteldäischter Hautfaarf;Ball|Golf|Golferspiller|Golferspiller: mëtteldäischter Hautfaarf|mëtteldäischter Hautfaarf
	🏌🏿;Golferspiller: däischter Hautfaarf;Ball|däischter Hautfaarf|Golf|Golferspiller|Golferspiller: däischter Hautfaarf
🏌️‍♂️;Golfer;Golf|Golfer|Mann
	🏌🏻‍♂️;Golfer: hell Hautfaarf;Golf|Golfer|Golfer: hell Hautfaarf|hell Hautfaarf|Mann
	🏌🏼‍♂️;Golfer: mëttelhell Hautfaarf;Golf|Golfer|Golfer: mëttelhell Hautfaarf|Mann|mëttelhell Hautfaarf
	🏌🏽‍♂️;Golfer: mëttel Hautfaarf;Golf|Golfer|Golfer: mëttel Hautfaarf|Mann|mëttel Hautfaarf
	🏌🏾‍♂️;Golfer: mëtteldäischter Hautfaarf;Golf|Golfer|Golfer: mëtteldäischter Hautfaarf|Mann|mëtteldäischter Hautfaarf
	🏌🏿‍♂️;Golfer: däischter Hautfaarf;däischter Hautfaarf|Golf|Golfer|Golfer: däischter Hautfaarf|Mann
🏌️‍♀️;Golferin;Fra|Golf|Golferin
	🏌🏻‍♀️;Golferin: hell Hautfaarf;Fra|Golf|Golferin|Golferin: hell Hautfaarf|hell Hautfaarf
	🏌🏼‍♀️;Golferin: mëttelhell Hautfaarf;Fra|Golf|Golferin|Golferin: mëttelhell Hautfaarf|mëttelhell Hautfaarf
	🏌🏽‍♀️;Golferin: mëttel Hautfaarf;Fra|Golf|Golferin|Golferin: mëttel Hautfaarf|mëttel Hautfaarf
	🏌🏾‍♀️;Golferin: mëtteldäischter Hautfaarf;Fra|Golf|Golferin|Golferin: mëtteldäischter Hautfaarf|mëtteldäischter Hautfaarf
	🏌🏿‍♀️;Golferin: däischter Hautfaarf;däischter Hautfaarf|Fra|Golf|Golferin|Golferin: däischter Hautfaarf
🏄;Surfer(in);Surfen|Surfer(in)
	🏄🏻;Surfer(in): hell Hautfaarf;hell Hautfaarf|Surfen|Surfer(in)|Surfer(in): hell Hautfaarf
	🏄🏼;Surfer(in): mëttelhell Hautfaarf;mëttelhell Hautfaarf|Surfen|Surfer(in)|Surfer(in): mëttelhell Hautfaarf
	🏄🏽;Surfer(in): mëttel Hautfaarf;mëttel Hautfaarf|Surfen|Surfer(in)|Surfer(in): mëttel Hautfaarf
	🏄🏾;Surfer(in): mëtteldäischter Hautfaarf;mëtteldäischter Hautfaarf|Surfen|Surfer(in)|Surfer(in): mëtteldäischter Hautfaarf
	🏄🏿;Surfer(in): däischter Hautfaarf;däischter Hautfaarf|Surfen|Surfer(in)|Surfer(in): däischter Hautfaarf
🏄‍♂️;Surfer;Mann|Surfen|Surfer
	🏄🏻‍♂️;Surfer: hell Hautfaarf;hell Hautfaarf|Mann|Surfen|Surfer|Surfer: hell Hautfaarf
	🏄🏼‍♂️;Surfer: mëttelhell Hautfaarf;Mann|mëttelhell Hautfaarf|Surfen|Surfer|Surfer: mëttelhell Hautfaarf
	🏄🏽‍♂️;Surfer: mëttel Hautfaarf;Mann|mëttel Hautfaarf|Surfen|Surfer|Surfer: mëttel Hautfaarf
	🏄🏾‍♂️;Surfer: mëtteldäischter Hautfaarf;Mann|mëtteldäischter Hautfaarf|Surfen|Surfer|Surfer: mëtteldäischter Hautfaarf
	🏄🏿‍♂️;Surfer: däischter Hautfaarf;däischter Hautfaarf|Mann|Surfen|Surfer|Surfer: däischter Hautfaarf
🏄‍♀️;Surferin;Fra|Surfen|Surferin
	🏄🏻‍♀️;Surferin: hell Hautfaarf;Fra|hell Hautfaarf|Surfen|Surferin|Surferin: hell Hautfaarf
	🏄🏼‍♀️;Surferin: mëttelhell Hautfaarf;Fra|mëttelhell Hautfaarf|Surfen|Surferin|Surferin: mëttelhell Hautfaarf
	🏄🏽‍♀️;Surferin: mëttel Hautfaarf;Fra|mëttel Hautfaarf|Surfen|Surferin|Surferin: mëttel Hautfaarf
	🏄🏾‍♀️;Surferin: mëtteldäischter Hautfaarf;Fra|mëtteldäischter Hautfaarf|Surfen|Surferin|Surferin: mëtteldäischter Hautfaarf
	🏄🏿‍♀️;Surferin: däischter Hautfaarf;däischter Hautfaarf|Fra|Surfen|Surferin|Surferin: däischter Hautfaarf
🚣;rudderend Persoun;Boot|Rudderboot|rudderend Persoun
	🚣🏻;rudderend Persoun: hell Hautfaarf;Boot|hell Hautfaarf|Rudderboot|rudderend Persoun|rudderend Persoun: hell Hautfaarf
	🚣🏼;rudderend Persoun: mëttelhell Hautfaarf;Boot|mëttelhell Hautfaarf|Rudderboot|rudderend Persoun|rudderend Persoun: mëttelhell Hautfaarf
	🚣🏽;rudderend Persoun: mëttel Hautfaarf;Boot|mëttel Hautfaarf|Rudderboot|rudderend Persoun|rudderend Persoun: mëttel Hautfaarf
	🚣🏾;rudderend Persoun: mëtteldäischter Hautfaarf;Boot|mëtteldäischter Hautfaarf|Rudderboot|rudderend Persoun|rudderend Persoun: mëtteldäischter Hautfaarf
	🚣🏿;rudderend Persoun: däischter Hautfaarf;Boot|däischter Hautfaarf|Rudderboot|rudderend Persoun|rudderend Persoun: däischter Hautfaarf
🚣‍♂️;rudderende Mann;Boot|Mann|Rudderboot|rudderende Mann
	🚣🏻‍♂️;rudderende Mann: hell Hautfaarf;Boot|hell Hautfaarf|Mann|Rudderboot|rudderende Mann|rudderende Mann: hell Hautfaarf
	🚣🏼‍♂️;rudderende Mann: mëttelhell Hautfaarf;Boot|Mann|mëttelhell Hautfaarf|Rudderboot|rudderende Mann|rudderende Mann: mëttelhell Hautfaarf
	🚣🏽‍♂️;rudderende Mann: mëttel Hautfaarf;Boot|Mann|mëttel Hautfaarf|Rudderboot|rudderende Mann|rudderende Mann: mëttel Hautfaarf
	🚣🏾‍♂️;rudderende Mann: mëtteldäischter Hautfaarf;Boot|Mann|mëtteldäischter Hautfaarf|Rudderboot|rudderende Mann|rudderende Mann: mëtteldäischter Hautfaarf
	🚣🏿‍♂️;rudderende Mann: däischter Hautfaarf;Boot|däischter Hautfaarf|Mann|Rudderboot|rudderende Mann|rudderende Mann: däischter Hautfaarf
🚣‍♀️;rudderend Fra;Boot|Fra|Rudderboot|rudderend Fra
	🚣🏻‍♀️;rudderend Fra: hell Hautfaarf;Boot|Fra|hell Hautfaarf|Rudderboot|rudderend Fra|rudderend Fra: hell Hautfaarf
	🚣🏼‍♀️;rudderend Fra: mëttelhell Hautfaarf;Boot|Fra|mëttelhell Hautfaarf|Rudderboot|rudderend Fra|rudderend Fra: mëttelhell Hautfaarf
	🚣🏽‍♀️;rudderend Fra: mëttel Hautfaarf;Boot|Fra|mëttel Hautfaarf|Rudderboot|rudderend Fra|rudderend Fra: mëttel Hautfaarf
	🚣🏾‍♀️;rudderend Fra: mëtteldäischter Hautfaarf;Boot|Fra|mëtteldäischter Hautfaarf|Rudderboot|rudderend Fra|rudderend Fra: mëtteldäischter Hautfaarf
	🚣🏿‍♀️;rudderend Fra: däischter Hautfaarf;Boot|däischter Hautfaarf|Fra|Rudderboot|rudderend Fra|rudderend Fra: däischter Hautfaarf
🏊;Schwëmmer(in);schwammen|Schwëmmer(in)
	🏊🏻;Schwëmmer(in): hell Hautfaarf;hell Hautfaarf|schwammen|Schwëmmer(in)|Schwëmmer(in): hell Hautfaarf
	🏊🏼;Schwëmmer(in): mëttelhell Hautfaarf;mëttelhell Hautfaarf|schwammen|Schwëmmer(in)|Schwëmmer(in): mëttelhell Hautfaarf
	🏊🏽;Schwëmmer(in): mëttel Hautfaarf;mëttel Hautfaarf|schwammen|Schwëmmer(in)|Schwëmmer(in): mëttel Hautfaarf
	🏊🏾;Schwëmmer(in): mëtteldäischter Hautfaarf;mëtteldäischter Hautfaarf|schwammen|Schwëmmer(in)|Schwëmmer(in): mëtteldäischter Hautfaarf
	🏊🏿;Schwëmmer(in): däischter Hautfaarf;däischter Hautfaarf|schwammen|Schwëmmer(in)|Schwëmmer(in): däischter Hautfaarf
🏊‍♂️;Schwëmmer;Mann|schwammen|Schwëmmer
	🏊🏻‍♂️;Schwëmmer: hell Hautfaarf;hell Hautfaarf|Mann|schwammen|Schwëmmer|Schwëmmer: hell Hautfaarf
	🏊🏼‍♂️;Schwëmmer: mëttelhell Hautfaarf;Mann|mëttelhell Hautfaarf|schwammen|Schwëmmer|Schwëmmer: mëttelhell Hautfaarf
	🏊🏽‍♂️;Schwëmmer: mëttel Hautfaarf;Mann|mëttel Hautfaarf|schwammen|Schwëmmer|Schwëmmer: mëttel Hautfaarf
	🏊🏾‍♂️;Schwëmmer: mëtteldäischter Hautfaarf;Mann|mëtteldäischter Hautfaarf|schwammen|Schwëmmer|Schwëmmer: mëtteldäischter Hautfaarf
	🏊🏿‍♂️;Schwëmmer: däischter Hautfaarf;däischter Hautfaarf|Mann|schwammen|Schwëmmer|Schwëmmer: däischter Hautfaarf
🏊‍♀️;Schwëmmerin;Fra|schwammen|Schwëmmerin
	🏊🏻‍♀️;Schwëmmerin: hell Hautfaarf;Fra|hell Hautfaarf|schwammen|Schwëmmerin|Schwëmmerin: hell Hautfaarf
	🏊🏼‍♀️;Schwëmmerin: mëttelhell Hautfaarf;Fra|mëttelhell Hautfaarf|schwammen|Schwëmmerin|Schwëmmerin: mëttelhell Hautfaarf
	🏊🏽‍♀️;Schwëmmerin: mëttel Hautfaarf;Fra|mëttel Hautfaarf|schwammen|Schwëmmerin|Schwëmmerin: mëttel Hautfaarf
	🏊🏾‍♀️;Schwëmmerin: mëtteldäischter Hautfaarf;Fra|mëtteldäischter Hautfaarf|schwammen|Schwëmmerin|Schwëmmerin: mëtteldäischter Hautfaarf
	🏊🏿‍♀️;Schwëmmerin: däischter Hautfaarf;däischter Hautfaarf|Fra|schwammen|Schwëmmerin|Schwëmmerin: däischter Hautfaarf
⛹️;mam Ball dribbelend Persoun;Ball|mam Ball dribbelend Persoun
	⛹🏻;mam Ball dribbelend Persoun: hell Hautfaarf;Ball|hell Hautfaarf|mam Ball dribbelend Persoun|mam Ball dribbelend Persoun: hell Hautfaarf
	⛹🏼;mam Ball dribbelend Persoun: mëttelhell Hautfaarf;Ball|mam Ball dribbelend Persoun|mam Ball dribbelend Persoun: mëttelhell Hautfaarf|mëttelhell Hautfaarf
	⛹🏽;mam Ball dribbelend Persoun: mëttel Hautfaarf;Ball|mam Ball dribbelend Persoun|mam Ball dribbelend Persoun: mëttel Hautfaarf|mëttel Hautfaarf
	⛹🏾;mam Ball dribbelend Persoun: mëtteldäischter Hautfaarf;Ball|mam Ball dribbelend Persoun|mam Ball dribbelend Persoun: mëtteldäischter Hautfaarf|mëtteldäischter Hautfaarf
	⛹🏿;mam Ball dribbelend Persoun: däischter Hautfaarf;Ball|däischter Hautfaarf|mam Ball dribbelend Persoun|mam Ball dribbelend Persoun: däischter Hautfaarf
⛹️‍♂️;mam Ball dribbelende Mann;Ball|mam Ball dribbelende Mann|Mann
	⛹🏻‍♂️;mam Ball dribbelende Mann: hell Hautfaarf;Ball|hell Hautfaarf|mam Ball dribbelende Mann|mam Ball dribbelende Mann: hell Hautfaarf|Mann
	⛹🏼‍♂️;mam Ball dribbelende Mann: mëttelhell Hautfaarf;Ball|mam Ball dribbelende Mann|mam Ball dribbelende Mann: mëttelhell Hautfaarf|Mann|mëttelhell Hautfaarf
	⛹🏽‍♂️;mam Ball dribbelende Mann: mëttel Hautfaarf;Ball|mam Ball dribbelende Mann|mam Ball dribbelende Mann: mëttel Hautfaarf|Mann|mëttel Hautfaarf
	⛹🏾‍♂️;mam Ball dribbelende Mann: mëtteldäischter Hautfaarf;Ball|mam Ball dribbelende Mann|mam Ball dribbelende Mann: mëtteldäischter Hautfaarf|Mann|mëtteldäischter Hautfaarf
	⛹🏿‍♂️;mam Ball dribbelende Mann: däischter Hautfaarf;Ball|däischter Hautfaarf|mam Ball dribbelende Mann|mam Ball dribbelende Mann: däischter Hautfaarf|Mann
⛹️‍♀️;mam Ball dribbelend Fra;Ball|Fra|mam Ball dribbelend Fra
	⛹🏻‍♀️;mam Ball dribbelend Fra: hell Hautfaarf;Ball|Fra|hell Hautfaarf|mam Ball dribbelend Fra|mam Ball dribbelend Fra: hell Hautfaarf
	⛹🏼‍♀️;mam Ball dribbelend Fra: mëttelhell Hautfaarf;Ball|Fra|mam Ball dribbelend Fra|mam Ball dribbelend Fra: mëttelhell Hautfaarf|mëttelhell Hautfaarf
	⛹🏽‍♀️;mam Ball dribbelend Fra: mëttel Hautfaarf;Ball|Fra|mam Ball dribbelend Fra|mam Ball dribbelend Fra: mëttel Hautfaarf|mëttel Hautfaarf
	⛹🏾‍♀️;mam Ball dribbelend Fra: mëtteldäischter Hautfaarf;Ball|Fra|mam Ball dribbelend Fra|mam Ball dribbelend Fra: mëtteldäischter Hautfaarf|mëtteldäischter Hautfaarf
	⛹🏿‍♀️;mam Ball dribbelend Fra: däischter Hautfaarf;Ball|däischter Hautfaarf|Fra|mam Ball dribbelend Fra|mam Ball dribbelend Fra: däischter Hautfaarf
🏋️;Gewiichthiewer(in);Gewiicht|Gewiichthiewer(in)|Hiewer
	🏋🏻;Gewiichthiewer(in): hell Hautfaarf;Gewiicht|Gewiichthiewer(in)|Gewiichthiewer(in): hell Hautfaarf|hell Hautfaarf|Hiewer
	🏋🏼;Gewiichthiewer(in): mëttelhell Hautfaarf;Gewiicht|Gewiichthiewer(in)|Gewiichthiewer(in): mëttelhell Hautfaarf|Hiewer|mëttelhell Hautfaarf
	🏋🏽;Gewiichthiewer(in): mëttel Hautfaarf;Gewiicht|Gewiichthiewer(in)|Gewiichthiewer(in): mëttel Hautfaarf|Hiewer|mëttel Hautfaarf
	🏋🏾;Gewiichthiewer(in): mëtteldäischter Hautfaarf;Gewiicht|Gewiichthiewer(in)|Gewiichthiewer(in): mëtteldäischter Hautfaarf|Hiewer|mëtteldäischter Hautfaarf
	🏋🏿;Gewiichthiewer(in): däischter Hautfaarf;däischter Hautfaarf|Gewiicht|Gewiichthiewer(in)|Gewiichthiewer(in): däischter Hautfaarf|Hiewer
🏋️‍♂️;Gewiichthiewer;Gewiichthiewer|Mann
	🏋🏻‍♂️;Gewiichthiewer: hell Hautfaarf;Gewiichthiewer|Gewiichthiewer: hell Hautfaarf|hell Hautfaarf|Mann
	🏋🏼‍♂️;Gewiichthiewer: mëttelhell Hautfaarf;Gewiichthiewer|Gewiichthiewer: mëttelhell Hautfaarf|Mann|mëttelhell Hautfaarf
	🏋🏽‍♂️;Gewiichthiewer: mëttel Hautfaarf;Gewiichthiewer|Gewiichthiewer: mëttel Hautfaarf|Mann|mëttel Hautfaarf
	🏋🏾‍♂️;Gewiichthiewer: mëtteldäischter Hautfaarf;Gewiichthiewer|Gewiichthiewer: mëtteldäischter Hautfaarf|Mann|mëtteldäischter Hautfaarf
	🏋🏿‍♂️;Gewiichthiewer: däischter Hautfaarf;däischter Hautfaarf|Gewiichthiewer|Gewiichthiewer: däischter Hautfaarf|Mann
🏋️‍♀️;Gewiichthiewerin;Fra|Gewiichthiewer|Gewiichthiewerin
	🏋🏻‍♀️;Gewiichthiewerin: hell Hautfaarf;Fra|Gewiichthiewer|Gewiichthiewerin|Gewiichthiewerin: hell Hautfaarf|hell Hautfaarf
	🏋🏼‍♀️;Gewiichthiewerin: mëttelhell Hautfaarf;Fra|Gewiichthiewer|Gewiichthiewerin|Gewiichthiewerin: mëttelhell Hautfaarf|mëttelhell Hautfaarf
	🏋🏽‍♀️;Gewiichthiewerin: mëttel Hautfaarf;Fra|Gewiichthiewer|Gewiichthiewerin|Gewiichthiewerin: mëttel Hautfaarf|mëttel Hautfaarf
	🏋🏾‍♀️;Gewiichthiewerin: mëtteldäischter Hautfaarf;Fra|Gewiichthiewer|Gewiichthiewerin|Gewiichthiewerin: mëtteldäischter Hautfaarf|mëtteldäischter Hautfaarf
	🏋🏿‍♀️;Gewiichthiewerin: däischter Hautfaarf;däischter Hautfaarf|Fra|Gewiichthiewer|Gewiichthiewerin|Gewiichthiewerin: däischter Hautfaarf
🚴;Vëlosfuerer(in);Vëlo|Vëlofueren|Vëlosfuerer|Vëlosfuerer(in)
	🚴🏻;Vëlosfuerer(in): hell Hautfaarf;hell Hautfaarf|Vëlo|Vëlofueren|Vëlosfuerer|Vëlosfuerer(in)|Vëlosfuerer(in): hell Hautfaarf
	🚴🏼;Vëlosfuerer(in): mëttelhell Hautfaarf;mëttelhell Hautfaarf|Vëlo|Vëlofueren|Vëlosfuerer|Vëlosfuerer(in)|Vëlosfuerer(in): mëttelhell Hautfaarf
	🚴🏽;Vëlosfuerer(in): mëttel Hautfaarf;mëttel Hautfaarf|Vëlo|Vëlofueren|Vëlosfuerer|Vëlosfuerer(in)|Vëlosfuerer(in): mëttel Hautfaarf
	🚴🏾;Vëlosfuerer(in): mëtteldäischter Hautfaarf;mëtteldäischter Hautfaarf|Vëlo|Vëlofueren|Vëlosfuerer|Vëlosfuerer(in)|Vëlosfuerer(in): mëtteldäischter Hautfaarf
	🚴🏿;Vëlosfuerer(in): däischter Hautfaarf;däischter Hautfaarf|Vëlo|Vëlofueren|Vëlosfuerer|Vëlosfuerer(in)|Vëlosfuerer(in): däischter Hautfaarf
🚴‍♂️;Vëlosfuerer;Mann|Vëlo|Vëlofueren|Vëlosfuerer
	🚴🏻‍♂️;Vëlosfuerer: hell Hautfaarf;hell Hautfaarf|Mann|Vëlo|Vëlofueren|Vëlosfuerer|Vëlosfuerer: hell Hautfaarf
	🚴🏼‍♂️;Vëlosfuerer: mëttelhell Hautfaarf;Mann|mëttelhell Hautfaarf|Vëlo|Vëlofueren|Vëlosfuerer|Vëlosfuerer: mëttelhell Hautfaarf
	🚴🏽‍♂️;Vëlosfuerer: mëttel Hautfaarf;Mann|mëttel Hautfaarf|Vëlo|Vëlofueren|Vëlosfuerer|Vëlosfuerer: mëttel Hautfaarf
	🚴🏾‍♂️;Vëlosfuerer: mëtteldäischter Hautfaarf;Mann|mëtteldäischter Hautfaarf|Vëlo|Vëlofueren|Vëlosfuerer|Vëlosfuerer: mëtteldäischter Hautfaarf
	🚴🏿‍♂️;Vëlosfuerer: däischter Hautfaarf;däischter Hautfaarf|Mann|Vëlo|Vëlofueren|Vëlosfuerer|Vëlosfuerer: däischter Hautfaarf
🚴‍♀️;Vëlosfuererin;Fra|Vëlo|Vëlofueren|Vëlosfuerer|Vëlosfuererin
	🚴🏻‍♀️;Vëlosfuererin: hell Hautfaarf;Fra|hell Hautfaarf|Vëlo|Vëlofueren|Vëlosfuerer|Vëlosfuererin|Vëlosfuererin: hell Hautfaarf
	🚴🏼‍♀️;Vëlosfuererin: mëttelhell Hautfaarf;Fra|mëttelhell Hautfaarf|Vëlo|Vëlofueren|Vëlosfuerer|Vëlosfuererin|Vëlosfuererin: mëttelhell Hautfaarf
	🚴🏽‍♀️;Vëlosfuererin: mëttel Hautfaarf;Fra|mëttel Hautfaarf|Vëlo|Vëlofueren|Vëlosfuerer|Vëlosfuererin|Vëlosfuererin: mëttel Hautfaarf
	🚴🏾‍♀️;Vëlosfuererin: mëtteldäischter Hautfaarf;Fra|mëtteldäischter Hautfaarf|Vëlo|Vëlofueren|Vëlosfuerer|Vëlosfuererin|Vëlosfuererin: mëtteldäischter Hautfaarf
	🚴🏿‍♀️;Vëlosfuererin: däischter Hautfaarf;däischter Hautfaarf|Fra|Vëlo|Vëlofueren|Vëlosfuerer|Vëlosfuererin|Vëlosfuererin: däischter Hautfaarf
🚵;Mountainbikesfuerer(in);Bierg|Mountainbike|Mountainbikesfuerer(in)|Vëlo|Vëlofueren|Vëlosfuerer
	🚵🏻;Mountainbikesfuerer(in): hell Hautfaarf;Bierg|hell Hautfaarf|Mountainbike|Mountainbikesfuerer(in)|Mountainbikesfuerer(in): hell Hautfaarf|Vëlo|Vëlofueren|Vëlosfuerer
	🚵🏼;Mountainbikesfuerer(in): mëttelhell Hautfaarf;Bierg|mëttelhell Hautfaarf|Mountainbike|Mountainbikesfuerer(in)|Mountainbikesfuerer(in): mëttelhell Hautfaarf|Vëlo|Vëlofueren|Vëlosfuerer
	🚵🏽;Mountainbikesfuerer(in): mëttel Hautfaarf;Bierg|mëttel Hautfaarf|Mountainbike|Mountainbikesfuerer(in)|Mountainbikesfuerer(in): mëttel Hautfaarf|Vëlo|Vëlofueren|Vëlosfuerer
